DateCommande,Montant,ClientID,Produit,Quantite
17-11-2024,"1 063,96",C145,Machine Y,4
10-08-2023,"2 791,60",C010,Ecran G,5
14-02-2025,"5 390,12",C031,Meuble R,4
01-02-2025,"3 739,60",C073,Cable A,4
19-05-2024,"1 329,95",C016,Machine Y,5
02-10-2023,"3 739,60",C087,Cable A,4
01-12-2024,"421,06",C104,Souri E,1
17-02-2024,"2 393,67",C163,Imprimante N,1
13-05-2023,"4 778,30",C085,Meuble S,5
24-04-2023,"1 721,04",C009,Smartphone M,2
22-09-2024,"1 320,84",C130,Souri D,3
21-03-2025,"2 581,56",C041,Smartphone M,3
05-01-2023,"7 421,91",C195,Clavier F,3
27-09-2024,"6 737,65",C032,Meuble R,5
20-06-2023,"539,29",C181,Casque K,1
31-07-2024,"323,76",C125,Tablette H,4
16-06-2023,"539,29",C059,Casque K,1
14-09-2023,"2 156,34",C114,Fourniture U,1
10-12-2024,"2 035,32",C095,Cable B,3
31-08-2024,"1 227,35",C082,Imprimante O,5
11-08-2024,"6 995,10",C140,Clavier G,5
20-07-2023,"1 617,87",C189,Casque K,3
25-01-2023,"1 263,18",C163,Souri E,3
23-02-2023,"10 132,15",C146,Smartphone K,5
07-03-2025,"1 743,99",C060,Machine W,3
22-07-2023,"2 696,45",C166,Casque K,5
27-01-2023,"161,88",C001,Tablette H,2
28-12-2023,"798,90",C129,Casque J,1
02-07-2023,"421,06",C020,Souri E,1
16-11-2024,"1 356,88",C038,Cable B,2
28-03-2023,"2 695,06",C097,Meuble R,2
19-09-2023,"1 721,04",C156,Smartphone M,2
25-09-2024,"3 189,36",C037,Cable Z,2
18-10-2023,"2 581,56",C064,Smartphone M,3
02-02-2024,"6 328,47",C142,Clavier H,3
25-02-2024,"1 721,04",C177,Smartphone M,2
09-02-2024,"8 928,28",C078,Ecran E,4
24-11-2023,"8 304,28",C120,Fourniture T,4
01-05-2024,"4 876,11",C166,Souri C,3
27-07-2024,"5 317,40",C022,Ecran F,5
18-01-2024,"698,45",C098,Ordinateur C,1
13-05-2024,"678,44",C177,Cable B,1
22-02-2025,"3 442,08",C101,Smartphone M,4
28-12-2024,"2 026,43",C046,Smartphone K,1
11-01-2023,"880,56",C126,Souri D,2
03-05-2023,"4 947,94",C160,Clavier F,2
24-09-2023,"2 251,16",C051,Tablette J,4
18-01-2023,"1 721,04",C142,Smartphone M,2
16-03-2024,"2 336,72",C108,Casque I,4
05-08-2023,"10 547,45",C152,Clavier H,5
21-03-2024,"7 380,52",C089,Ordinateur D,4
02-09-2023,"2 095,35",C046,Ordinateur C,3
13-07-2024,"8 829,30",C067,Fourniture V,5
17-11-2023,"8 082,84",C002,Meuble Q,4
02-09-2024,"2 105,30",C133,Souri E,5
29-01-2023,"8 928,28",C062,Ecran E,4
15-05-2023,"10 781,70",C077,Fourniture U,5
23-08-2023,"2 095,35",C195,Ordinateur C,3
