TransactionID,Region,Montant,Date
TXN-00001,IT,3548.61,2024-01-19
TXN-00002,IT,711.98,2024-09-29
TXN-00003,ES,2659.22,2024-10-24
TXN-00004,UK,1060.93,2024-06-20
TXN-00005,ES,1822.48,2024-06-06
TXN-00006,ES,3233.79,2024-05-16
TXN-00007,UK,4011.63,2024-07-11
TXN-00008,IT,3139.68,2024-07-02
TXN-00009,UK,3714.58,2024-12-06
TXN-00010,IT,462.03,2024-10-30
TXN-00011,UK,3680.37,2024-08-18
TXN-00012,FR,1090.79,2024-08-11
TXN-00013,DE,4566.23,2024-04-08
TXN-00014,FR,1767.65,2024-11-06
TXN-00015,FR,2353.0,2024-10-30
TXN-00016,UK,4192.45,2024-12-10
TXN-00017,FR,2398.53,2024-06-19
TXN-00018,FR,2640.78,2024-05-27
TXN-00019,ES,544.31,2024-07-09
TXN-00020,UK,725.86,2024-09-06
TXN-00021,FR,4946.52,2024-06-10
TXN-00022,DE,3264.82,2024-10-09
TXN-00023,FR,1995.02,2024-12-06
TXN-00024,FR,2426.2,2024-09-27
TXN-00025,DE,3567.18,2024-03-23
TXN-00026,IT,268.2,2024-09-25
TXN-00027,UK,3791.07,2024-10-28
TXN-00028,IT,2066.8,2024-01-13
TXN-00029,UK,3787.81,2024-01-01
TXN-00030,IT,4507.07,2024-03-12
TXN-00031,ES,931.02,2024-07-27
TXN-00032,IT,3928.13,2024-02-15
TXN-00033,ES,2763.74,2024-04-21
TXN-00034,FR,4082.0,2024-03-11
TXN-00035,FR,2293.55,2024-11-23
TXN-00036,DE,1001.97,2024-12-05
TXN-00037,FR,211.47,2024-03-01
TXN-00038,UK,175.91,2024-12-26
TXN-00039,IT,1789.98,2024-05-21
TXN-00040,FR,1996.86,2024-05-10
TXN-00041,FR,4989.74,2024-05-11
TXN-00042,IT,2238.18,2024-03-22
TXN-00043,ES,1433.65,2024-07-26
TXN-00044,DE,987.06,2024-03-03
TXN-00045,ES,3093.57,2024-09-14
TXN-00046,ES,734.62,2024-05-24
TXN-00047,UK,4469.92,2024-02-10
TXN-00048,ES,1309.14,2024-05-20
TXN-00049,DE,2199.59,2024-07-13
TXN-00050,FR,579.27,2024-05-06
TXN-00051,DE,4733.2,2024-02-15
TXN-00052,ES,1263.27,2024-03-13
TXN-00053,FR,3354.74,2024-06-20
TXN-00054,FR,4728.88,2024-01-28
TXN-00055,UK,4371.36,2024-05-04
TXN-00056,DE,3911.4,2024-12-29
TXN-00057,IT,2983.95,2024-04-14
TXN-00058,IT,653.55,2024-12-29
TXN-00059,ES,2228.12,2024-08-23
TXN-00060,IT,2522.66,2024-05-31
TXN-00061,IT,1846.88,2024-03-14
TXN-00062,FR,2042.6,2024-05-22
TXN-00063,IT,1884.03,2024-08-16
TXN-00064,UK,2495.15,2024-03-05
TXN-00065,DE,3652.04,2024-09-13
TXN-00066,UK,1597.21,2024-12-24
TXN-00067,UK,3445.16,2024-02-27
TXN-00068,UK,2206.07,2024-04-13
TXN-00069,IT,321.44,2024-09-06
TXN-00070,FR,344.55,2024-02-22
TXN-00071,DE,3361.02,2024-03-18
TXN-00072,ES,552.86,2024-01-29
TXN-00073,UK,1217.53,2024-07-16
TXN-00074,IT,1472.54,2024-02-03
TXN-00075,UK,4809.23,2024-02-10
TXN-00076,FR,4485.7,2024-07-18
TXN-00077,IT,3519.14,2024-05-10
TXN-00078,IT,3897.12,2024-12-26
TXN-00079,UK,832.43,2024-08-28
TXN-00080,IT,2937.1,2024-07-19
TXN-00081,ES,1168.93,2024-04-17
TXN-00082,FR,3247.75,2024-06-26
TXN-00083,IT,1656.26,2024-07-09
TXN-00084,UK,403.29,2024-08-21
TXN-00085,ES,50.67,2024-09-01
TXN-00086,DE,2975.03,2024-11-07
TXN-00087,FR,3320.86,2024-04-04
TXN-00088,DE,4683.47,2024-03-27
TXN-00089,ES,3147.34,2024-09-13
TXN-00090,DE,168.55,2024-09-08
TXN-00091,DE,2539.98,2024-07-19
TXN-00092,DE,4872.93,2024-12-08
TXN-00093,FR,1711.68,2024-01-08
TXN-00094,IT,51.91,2024-10-15
TXN-00095,IT,1505.25,2024-07-13
TXN-00096,FR,3627.68,2024-04-22
TXN-00097,IT,3927.31,2024-01-27
TXN-00098,DE,4663.48,2024-05-10
TXN-00099,UK,173.62,2024-11-28
