SourceFolder,FileName,SheetName,Data
C:\Rapports\2024,Ventes_2024.xlsx,Ventes,Ignore
C:\Rapports\2025,Ventes_2025.xlsx,Ventes,Ignore
C:\Rapports\2024,Ventes_2024.xlsx,Ventes,Ignore
C:\Rapports\2025,Ventes_2025.xlsx,Ventes,Ignore
D:\Data\Sources,Clients.xlsx,Clients,Ignore
D:\Data\Sources,Produits.xlsx,Produits,Ignore
C:\Rapports\2023,Ventes_2023_01.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_02.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_03.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_04.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_05.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_06.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_07.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_08.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_09.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_10.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_11.xlsx,Data,Ignore
C:\Rapports\2023,Ventes_2023_12.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_01.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_02.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_03.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_04.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_05.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_06.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_07.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_08.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_09.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_10.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_11.xlsx,Data,Ignore
C:\Rapports\2024,Ventes_2024_12.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_01.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_02.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_03.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_04.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_05.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_06.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_07.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_08.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_09.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_10.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_11.xlsx,Data,Ignore
C:\Rapports\2025,Ventes_2025_12.xlsx,Data,Ignore
