OrderID,Date,Revenue
2025-ORD-00001,2025-05-02,1985.76
2025-ORD-00002,2025-02-05,593.61
2025-ORD-00003,2025-03-24,1983.59
2025-ORD-00004,2025-09-01,1224.63
2025-ORD-00005,2025-12-29,1600.8
2025-ORD-00006,2025-04-30,1877.35
2025-ORD-00007,2025-06-10,2472.84
2025-ORD-00008,2025-02-10,1406.17
2025-ORD-00009,2025-01-11,1525.14
2025-ORD-00010,2025-03-09,1796.17
2025-ORD-00011,2025-03-18,2054.27
2025-ORD-00012,2025-05-29,1046.07
2025-ORD-00013,2025-03-01,1655.74
2025-ORD-00014,2025-02-09,1630.41
2025-ORD-00015,2025-01-21,1612.29
2025-ORD-00016,2025-06-08,1455.0
2025-ORD-00017,2025-09-16,1769.73
2025-ORD-00018,2025-03-30,472.47
2025-ORD-00019,2025-01-04,1286.9
2025-ORD-00020,2025-12-12,2487.91
2025-ORD-00021,2025-08-19,1752.34
2025-ORD-00022,2025-11-07,2774.42
2025-ORD-00023,2025-07-17,635.16
2025-ORD-00024,2025-03-17,672.91
2025-ORD-00025,2025-10-17,659.92
2025-ORD-00026,2025-05-30,1631.09
2025-ORD-00027,2025-05-04,125.78
2025-ORD-00028,2025-07-30,2065.46
2025-ORD-00029,2025-04-01,801.9
2025-ORD-00030,2025-08-17,1772.9
2025-ORD-00031,2025-01-09,471.29
2025-ORD-00032,2025-12-17,905.11
2025-ORD-00033,2025-06-20,2915.57
2025-ORD-00034,2025-01-07,2611.16
2025-ORD-00035,2025-10-18,1245.93
2025-ORD-00036,2025-12-21,2594.74
2025-ORD-00037,2025-05-26,1725.9
2025-ORD-00038,2025-08-29,2359.56
2025-ORD-00039,2025-10-19,1500.12
2025-ORD-00040,2025-01-19,1553.45
2025-ORD-00041,2025-12-30,1866.8
2025-ORD-00042,2025-05-24,2006.4
2025-ORD-00043,2025-10-25,606.63
2025-ORD-00044,2025-05-13,2549.19
2025-ORD-00045,2025-07-30,2241.8
2025-ORD-00046,2025-04-30,175.27
2025-ORD-00047,2025-04-08,1235.88
2025-ORD-00048,2025-07-19,2355.92
2025-ORD-00049,2025-09-08,1748.19
2025-ORD-00050,2025-04-30,2164.87
2025-ORD-00051,2025-12-08,2363.27
2025-ORD-00052,2025-03-04,595.18
2025-ORD-00053,2025-03-24,637.85
2025-ORD-00054,2025-10-21,897.68
2025-ORD-00055,2025-04-09,992.39
2025-ORD-00056,2025-09-10,1487.64
2025-ORD-00057,2025-03-02,2835.46
2025-ORD-00058,2025-04-20,918.44
2025-ORD-00059,2025-01-24,1073.96
2025-ORD-00060,2025-08-24,2757.63
2025-ORD-00061,2025-05-10,2242.87
2025-ORD-00062,2025-01-21,1536.01
2025-ORD-00063,2025-03-04,700.12
2025-ORD-00064,2025-01-23,1532.5
2025-ORD-00065,2025-07-14,356.61
2025-ORD-00066,2025-04-10,1580.7
2025-ORD-00067,2025-10-13,2262.2
2025-ORD-00068,2025-06-19,912.76
2025-ORD-00069,2025-03-20,282.63
2025-ORD-00070,2025-12-05,1568.57
2025-ORD-00071,2025-07-21,2326.12
2025-ORD-00072,2025-03-30,2993.64
2025-ORD-00073,2025-05-04,1463.45
2025-ORD-00074,2025-10-08,2474.73
2025-ORD-00075,2025-04-09,1693.01
2025-ORD-00076,2025-01-27,807.48
2025-ORD-00077,2025-11-10,1271.72
2025-ORD-00078,2025-10-02,2420.52
2025-ORD-00079,2025-08-21,709.03
2025-ORD-00080,2025-08-24,127.95
2025-ORD-00081,2025-10-22,1547.03
2025-ORD-00082,2025-08-12,547.81
2025-ORD-00083,2025-02-06,1163.08
2025-ORD-00084,2025-03-06,684.94
2025-ORD-00085,2025-12-23,1465.28
2025-ORD-00086,2025-01-10,515.7
2025-ORD-00087,2025-05-15,421.24
2025-ORD-00088,2025-01-14,1153.15
2025-ORD-00089,2025-08-24,2946.45
2025-ORD-00090,2025-09-18,2661.28
2025-ORD-00091,2025-05-26,2596.26
2025-ORD-00092,2025-08-06,1723.15
2025-ORD-00093,2025-12-14,2529.78
2025-ORD-00094,2025-10-31,1625.25
2025-ORD-00095,2025-12-14,420.26
2025-ORD-00096,2025-08-17,2136.46
2025-ORD-00097,2025-06-12,831.56
2025-ORD-00098,2025-01-21,2319.09
2025-ORD-00099,2025-06-16,2222.65
2025-ORD-00100,2025-11-14,1560.28
