OrderID,ProductID,Date,Revenue,Region
2024-00001,P001,2024-10-11,389.81,ES
2024-00002,P008,2024-04-09,1912.44,ES
2024-00003,P001,2024-01-16,637.41,ES
2024-00004,P003,2024-04-22,2661.88,DE
2024-00005,P006,2024-10-10,775.59,DE
2024-00006,P001,2024-03-31,2536.5,FR
2024-00007,P001,2024-12-12,454.87,FR
2024-00008,P006,2024-04-17,949.96,DE
2024-00009,P006,2024-07-09,1999.68,UK
2024-00010,P010,2024-08-10,2641.24,FR
2024-00011,P002,2024-03-14,2654.03,DE
2024-00012,P004,2024-04-08,1621.04,ES
2024-00013,P006,2024-11-02,1317.14,DE
2024-00014,P001,2024-11-11,1782.61,UK
2024-00015,P005,2024-03-17,1016.66,FR
2024-00016,P011,2024-05-23,2624.91,UK
2024-00017,P010,2024-09-07,667.25,FR
2024-00018,P008,2024-12-05,1863.92,DE
2024-00019,P009,2024-07-17,2266.36,UK
2024-00020,P006,2024-09-12,1580.73,DE
2024-00021,P006,2024-12-30,1152.94,IT
2024-00022,P012,2024-09-10,1447.59,UK
2024-00023,P007,2024-11-22,2767.5,UK
2024-00024,P011,2024-01-19,661.24,DE
2024-00025,P008,2024-04-30,1217.9,ES
2024-00026,P007,2024-07-12,1735.54,ES
2024-00027,P005,2024-10-08,300.04,FR
2024-00028,P005,2024-08-15,1580.52,DE
2024-00029,P010,2024-01-22,1422.5,UK
2024-00030,P006,2024-08-06,1380.9,IT
2024-00031,P007,2024-07-07,2423.29,ES
2024-00032,P005,2024-07-14,122.92,IT
2024-00033,P004,2024-05-15,1953.8,ES
2024-00034,P002,2024-05-30,2535.68,UK
2024-00035,P009,2024-11-25,280.57,ES
2024-00036,P004,2024-02-20,399.83,ES
2024-00037,P001,2024-10-06,640.9,DE
2024-00038,P011,2024-06-17,787.57,ES
2024-00039,P004,2024-12-27,1831.9,DE
2024-00040,P012,2024-10-05,2741.53,FR
2024-00041,P005,2024-05-24,2475.81,IT
2024-00042,P007,2024-10-23,2285.53,FR
2024-00043,P008,2024-11-30,1562.31,DE
2024-00044,P007,2024-04-26,719.43,DE
2024-00045,P008,2024-04-29,1571.68,UK
2024-00046,P008,2024-08-24,1054.95,FR
2024-00047,P006,2024-04-06,1314.94,IT
2024-00048,P004,2024-08-12,1377.42,UK
2024-00049,P001,2024-07-10,459.9,DE
2024-00050,P005,2024-01-05,1524.41,ES
2024-00051,P006,2024-04-25,1286.48,IT
2024-00052,P012,2024-10-02,933.93,UK
2024-00053,P001,2024-10-17,2366.81,DE
2024-00054,P003,2024-06-18,1726.16,UK
2024-00055,P010,2024-10-20,2607.49,IT
2024-00056,P004,2024-07-19,237.94,IT
2024-00057,P004,2024-08-31,370.48,UK
2024-00058,P008,2024-11-23,2689.49,FR
2024-00059,P003,2024-02-23,2040.91,DE
2024-00060,P001,2024-12-18,1829.92,FR
2024-00061,P003,2024-04-11,255.0,IT
2024-00062,P005,2024-04-15,737.47,UK
2024-00063,P002,2024-08-20,219.49,UK
2024-00064,P001,2024-03-28,1013.98,IT
2024-00065,P007,2024-03-21,2969.31,DE
2024-00066,P009,2024-08-02,1460.84,FR
2024-00067,P007,2024-04-15,433.3,DE
2024-00068,P005,2024-08-09,2462.79,IT
2024-00069,P003,2024-11-05,1746.52,ES
2024-00070,P010,2024-04-13,1532.3,IT
2024-00071,P005,2024-04-13,71.96,DE
2024-00072,P008,2024-02-02,2482.52,UK
2024-00073,P004,2024-09-26,1020.23,UK
2024-00074,P008,2024-08-23,1414.95,FR
2024-00075,P012,2024-02-16,899.34,IT
2024-00076,P006,2024-12-24,2535.79,ES
2024-00077,P007,2024-11-09,2479.12,DE
2024-00078,P007,2024-05-07,579.76,UK
2024-00079,P012,2024-08-09,1400.59,DE
2024-00080,P012,2024-10-18,331.83,FR
2024-00081,P004,2024-03-21,857.64,UK
2024-00082,P005,2024-12-07,2753.07,DE
2024-00083,P008,2024-07-29,2977.55,UK
2024-00084,P002,2024-07-07,275.77,FR
2024-00085,P009,2024-06-15,1259.78,DE
2024-00086,P005,2024-04-16,1542.89,IT
2024-00087,P001,2024-02-07,1934.66,IT
2024-00088,P007,2024-06-24,2250.57,DE
2024-00089,P007,2024-01-20,81.68,FR
2024-00090,P012,2024-03-10,1014.98,IT
2024-00091,P008,2024-08-24,251.3,UK
2024-00092,P011,2024-05-04,2155.07,IT
2024-00093,P003,2024-08-29,2470.26,DE
2024-00094,P003,2024-01-10,1840.62,DE
2024-00095,P005,2024-03-04,1627.23,IT
2024-00096,P003,2024-02-09,2030.61,FR
2024-00097,P011,2024-05-19,502.81,ES
2024-00098,P003,2024-04-20,2157.52,UK
2024-00099,P004,2024-08-14,2105.39,UK
2024-00100,P011,2024-12-05,2163.41,FR
2024-00101,P007,2024-12-19,959.56,FR
2024-00102,P010,2024-01-03,193.56,IT
2024-00103,P004,2024-05-07,1155.2,DE
2024-00104,P004,2024-02-16,97.31,FR
2024-00105,P001,2024-06-21,2470.55,FR
2024-00106,P004,2024-02-19,2400.93,DE
2024-00107,P012,2024-03-26,179.84,UK
2024-00108,P002,2024-06-16,1001.9,DE
2024-00109,P010,2024-04-16,2806.27,IT
2024-00110,P007,2024-03-02,735.6,FR
