Produit,Jan,Fév,Mar,Avr,Mai,Juin,Juil,Août,Sept,Oct,Nov,Déc
Ordinateur,1259.27,1764.21,6405.01,2061.65,13567.38,1053.23,8274.93,5316.87,12855.26,2815.1,5389.64,5340.05
Tablette,4054.87,524.22,6826.0,1770.4,9165.19,1513.22,5074.16,7000.66,13628.28,1845.09,2561.54,11956.04
Téléphone,807.92,13711.68,8814.42,4347.16,12648.65,11647.52,5480.2,12121.7,3499.51,9329.09,8142.59,12235.41
Écran,5071.32,6274.45,11654.55,7934.91,10430.14,9756.12,10166.54,13406.43,7548.98,10192.82,5930.56,961.7
Clavier,11435.51,3131.24,12392.76,13747.87,10042.08,2966.84,5385.28,6172.3,1562.72,7123.12,8810.94,5373.54
Souris,3241.4,1778.28,9610.6,686.02,5602.75,3822.38,8213.96,10993.12,13682.72,9762.61,14881.0,14478.86
Imprimante,9634.87,3883.91,7515.27,3075.05,14883.39,6945.25,11398.93,1139.88,2453.55,3301.07,4217.25,5604.69
Câble HDMI,4442.98,6796.89,6595.18,2075.0,1407.83,5648.39,1787.44,6781.4,624.14,8269.11,1565.52,10565.99
Câble USB,6361.01,14787.55,4306.83,7351.41,11386.82,5355.04,5551.32,9767.36,14560.45,13316.26,6576.05,10906.91
Support,10346.25,5895.59,3906.97,1636.46,13244.18,1328.81,8021.09,8294.28,2619.02,10011.01,13779.44,11753.93
Housse,6144.26,2333.81,14636.48,7998.0,9629.46,12133.01,6100.57,1399.81,2472.23,10192.48,5568.33,13130.62
Webcam,11232.39,14716.37,10198.1,4905.18,11971.08,909.74,8063.07,13135.22,7963.43,2491.89,7751.78,8409.14
