SourceID,CodePays
SRC-00001,de
SRC-00002, DE
SRC-00003,italia
SRC-00004,it
SRC-00005,united kingdom
SRC-00006,DEU
SRC-00007,deutschland
SRC-00008, UK
SRC-00009,united kingdom
SRC-00010, UK
SRC-00011,italia
SRC-00012,uk
SRC-00013,FR 
SRC-00014,FRA
SRC-00015, DE
SRC-00016, DE
SRC-00017,italia
SRC-00018,DEU
SRC-00019,DEU
SRC-00020,ESP
SRC-00021, ES
SRC-00022, UK
SRC-00023,ESP
SRC-00024,espana
SRC-00025,FR 
SRC-00026, IT
SRC-00027,espana
SRC-00028,GBR
SRC-00029, IT
SRC-00030,it
SRC-00031, IT
SRC-00032, UK
SRC-00033,united kingdom
SRC-00034, DE
SRC-00035,uk
SRC-00036,ESP
SRC-00037,uk
SRC-00038,france
SRC-00039,espana
SRC-00040,de
SRC-00041, UK
SRC-00042, DE
SRC-00043,es
SRC-00044,GBR
SRC-00045,united kingdom
SRC-00046,es
SRC-00047,fr
SRC-00048,italia
SRC-00049,ESP
SRC-00050, UK
SRC-00051,france
SRC-00052,fr
SRC-00053, DE
SRC-00054,DEU
SRC-00055,ITA
SRC-00056,italia
SRC-00057,DEU
SRC-00058, IT
SRC-00059,deutschland
SRC-00060, ES
SRC-00061,de
SRC-00062,uk
SRC-00063, IT
SRC-00064,FR 
SRC-00065,it
SRC-00066, UK
SRC-00067,GBR
SRC-00068,ITA
SRC-00069,france
SRC-00070,united kingdom
SRC-00071, UK
SRC-00072,deutschland
SRC-00073,FRA
SRC-00074, ES
SRC-00075,FRA
SRC-00076,fr
SRC-00077,de
SRC-00078,deutschland
SRC-00079,FR 
SRC-00080,de
SRC-00081, UK
SRC-00082,espana
SRC-00083,italia
SRC-00084,es
SRC-00085,france
SRC-00086,de
SRC-00087, DE
SRC-00088, IT
SRC-00089,fr
SRC-00090,united kingdom
SRC-00091,fr
SRC-00092,uk
SRC-00093,uk
SRC-00094,fr
SRC-00095, ES
SRC-00096,GBR
SRC-00097,DEU
SRC-00098,italia
SRC-00099,united kingdom
SRC-00100,uk
SRC-00101,espana
SRC-00102,DEU
SRC-00103,italia
SRC-00104,FRA
SRC-00105,it
SRC-00106, IT
SRC-00107,espana
SRC-00108,DEU
SRC-00109,FRA
SRC-00110,GBR
SRC-00111, IT
SRC-00112,it
SRC-00113,fr
SRC-00114,uk
SRC-00115,uk
SRC-00116,de
SRC-00117,FRA
SRC-00118, UK
SRC-00119,FRA
SRC-00120,es
SRC-00121,ESP
SRC-00122,deutschland
SRC-00123,united kingdom
SRC-00124, IT
SRC-00125,italia
SRC-00126, DE
SRC-00127,ITA
SRC-00128,es
SRC-00129,DEU
SRC-00130,italia
SRC-00131,FRA
SRC-00132,fr
SRC-00133,espana
SRC-00134,it
SRC-00135,FRA
SRC-00136,FRA
SRC-00137,DEU
SRC-00138,it
SRC-00139,united kingdom
SRC-00140,espana
SRC-00141,france
SRC-00142,uk
SRC-00143,united kingdom
SRC-00144,FRA
SRC-00145,GBR
SRC-00146,FR 
SRC-00147,es
SRC-00148, IT
SRC-00149,uk
SRC-00150,france
SRC-00151, DE
SRC-00152,FRA
SRC-00153,fr
SRC-00154, IT
SRC-00155,france
SRC-00156,italia
SRC-00157, UK
SRC-00158, UK
SRC-00159,FR 
SRC-00160,deutschland
SRC-00161,es
SRC-00162,ITA
SRC-00163,espana
SRC-00164,united kingdom
SRC-00165,fr
SRC-00166, ES
SRC-00167, UK
SRC-00168, ES
SRC-00169,it
SRC-00170,espana
SRC-00171,fr
SRC-00172,DEU
SRC-00173,deutschland
SRC-00174,ITA
SRC-00175,DEU
SRC-00176,deutschland
SRC-00177,it
SRC-00178,united kingdom
SRC-00179,italia
SRC-00180,it
SRC-00181,DEU
SRC-00182,FR 
SRC-00183,FRA
SRC-00184,france
SRC-00185,ESP
SRC-00186,espana
SRC-00187,deutschland
SRC-00188,ITA
SRC-00189,ESP
SRC-00190,italia
SRC-00191,FR 
SRC-00192, UK
SRC-00193,ITA
SRC-00194, DE
SRC-00195,united kingdom
SRC-00196,france
SRC-00197,de
SRC-00198,fr
SRC-00199,ITA
SRC-00200,united kingdom
