TransactionID,Date,Region,Montant,Categorie,Statut
TXN-000001,2024-03-07,DE,627.28,B,Inactif
TXN-000002,2024-01-09,ES,244.56,B,Actif
TXN-000003,2024-07-19,UK,167.47,A,Inactif
TXN-000004,2024-03-30,IT,319.23,A,Inactif
TXN-000005,2024-11-27,FR,13.22,B,Actif
TXN-000006,2024-01-07,IT,444.82,C,Actif
TXN-000007,2024-02-09,UK,488.27,A,Actif
TXN-000008,2024-09-30,ES,200.31,A,Inactif
TXN-000009,2024-08-10,ES,330.39,C,Actif
TXN-000010,2024-04-28,DE,475.38,B,Actif
TXN-000011,2024-10-15,FR,73.85,B,Actif
TXN-000012,2024-05-04,IT,407.54,B,Actif
TXN-000013,2024-01-20,DE,13.77,B,Inactif
TXN-000014,2024-08-11,DE,674.14,B,Inactif
TXN-000015,2024-09-26,DE,255.01,B,Actif
TXN-000016,2024-07-02,ES,142.34,B,Actif
TXN-000017,2024-11-25,IT,587.96,A,Actif
TXN-000018,2024-05-31,UK,195.68,C,Actif
TXN-000019,2024-06-13,IT,803.51,C,Inactif
TXN-000020,2024-02-10,IT,405.91,A,Inactif
TXN-000021,2024-10-19,IT,110.03,C,Actif
TXN-000022,2024-02-14,ES,351.23,A,Actif
TXN-000023,2024-03-04,UK,725.49,C,Inactif
TXN-000024,2024-02-05,UK,994.33,B,Inactif
TXN-000025,2024-01-03,UK,404.74,A,Actif
TXN-000026,2024-11-21,IT,136.9,B,Inactif
TXN-000027,2024-03-17,DE,681.85,B,Actif
TXN-000028,2024-03-03,IT,349.81,B,Inactif
TXN-000029,2024-12-28,DE,222.97,B,Inactif
TXN-000030,2024-03-22,IT,442.59,A,Actif
TXN-000031,2024-07-31,FR,939.3,A,Actif
TXN-000032,2024-12-14,UK,576.54,A,Actif
TXN-000033,2024-03-07,UK,56.17,A,Actif
TXN-000034,2024-09-15,DE,496.91,C,Actif
TXN-000035,2024-11-16,IT,416.16,B,Actif
TXN-000036,2024-07-02,ES,632.78,C,Actif
TXN-000037,2024-09-11,UK,27.84,B,Inactif
TXN-000038,2024-10-04,FR,358.33,C,Actif
TXN-000039,2024-10-20,DE,774.65,C,Inactif
TXN-000040,2024-06-02,DE,251.44,B,Inactif
TXN-000041,2024-02-09,DE,492.85,C,Actif
TXN-000042,2024-02-15,FR,293.38,C,Actif
TXN-000043,2024-08-04,UK,798.27,B,Actif
TXN-000044,2024-11-20,DE,859.36,C,Actif
TXN-000045,2024-07-03,FR,919.35,A,Actif
TXN-000046,2024-05-25,ES,321.61,A,Inactif
TXN-000047,2024-02-26,UK,319.69,C,Inactif
TXN-000048,2024-03-18,IT,879.93,B,Inactif
TXN-000049,2024-03-05,ES,145.08,B,Inactif
TXN-000050,2024-12-30,DE,181.05,A,Actif
TXN-000051,2024-09-28,ES,296.0,B,Actif
TXN-000052,2024-10-22,ES,300.84,C,Actif
TXN-000053,2024-02-20,IT,191.08,C,Actif
TXN-000054,2024-11-05,IT,484.82,B,Actif
TXN-000055,2024-03-24,DE,610.17,A,Inactif
TXN-000056,2024-05-16,FR,230.64,C,Actif
TXN-000057,2024-09-15,ES,201.07,C,Inactif
TXN-000058,2024-08-12,ES,345.61,A,Actif
