OrderID,ProductID,ProductName,Revenue
ORD-00001,P004,Écran,2499.56
ORD-00002,P005,Clavier,718.85
ORD-00003,P003,Téléphone,122.53
ORD-00004,P005,Clavier,2987.99
ORD-00005,P005,Clavier,2718.08
ORD-00006,P004,Écran,746.17
ORD-00007,P003,Téléphone,1352.05
ORD-00008,P004,Écran,425.87
ORD-00009,P003,Téléphone,2415.2
ORD-00010,P003,Téléphone,1166.89
ORD-00011,P001,Ordinateur,1534.54
ORD-00012,P004,Écran,397.69
ORD-00013,P005,Clavier,394.12
ORD-00014,P001,Ordinateur,2863.8
ORD-00015,P005,Clavier,320.5
ORD-00016,P001,Ordinateur,1533.75
ORD-00017,P005,Clavier,1184.68
ORD-00018,P001,Ordinateur,1032.8
ORD-00019,P004,Écran,1351.06
ORD-00020,P003,Téléphone,2880.1
ORD-00021,P004,Écran,1035.85
ORD-00022,P002,Tablette,2620.08
ORD-00023,P001,Ordinateur,1426.67
ORD-00024,P005,Clavier,2253.33
ORD-00025,P001,Ordinateur,815.78
ORD-00026,P001,Ordinateur,2113.85
ORD-00027,P001,Ordinateur,1859.82
ORD-00028,P005,Clavier,1761.77
ORD-00029,P002,Tablette,2461.8
ORD-00030,P003,Téléphone,1680.86
ORD-00031,P001,Ordinateur,2555.02
ORD-00032,P001,Ordinateur,589.58
ORD-00033,P001,Ordinateur,863.67
ORD-00034,P001,Ordinateur,729.98
ORD-00035,P004,Écran,2175.47
ORD-00036,P005,Clavier,1318.49
ORD-00037,P002,Tablette,2703.55
ORD-00038,P001,Ordinateur,611.4
ORD-00039,P005,Clavier,2612.83
ORD-00040,P002,Tablette,2452.29
ORD-00041,P001,Ordinateur,2646.28
ORD-00042,P005,Clavier,1785.15
ORD-00043,P004,Écran,211.89
ORD-00044,P001,Ordinateur,1423.82
ORD-00045,P005,Clavier,780.39
ORD-00046,P003,Téléphone,1503.64
ORD-00047,P003,Téléphone,1457.59
ORD-00048,P004,Écran,1370.03
ORD-00049,P001,Ordinateur,703.73
ORD-00050,P003,Téléphone,277.96
ORD-00051,P001,Ordinateur,562.57
ORD-00052,P003,Téléphone,2436.06
ORD-00053,P004,Écran,953.78
ORD-00054,P001,Ordinateur,1584.49
ORD-00055,P005,Clavier,611.83
ORD-00056,P001,Ordinateur,729.96
ORD-00057,P004,Écran,2828.7
ORD-00058,P005,Clavier,1287.46
ORD-00059,P004,Écran,1547.3
ORD-00060,P003,Téléphone,909.46
ORD-00061,P003,Téléphone,1893.03
ORD-00062,P001,Ordinateur,400.32
ORD-00063,P004,Écran,2134.34
ORD-00064,P003,Téléphone,2861.89
ORD-00065,P002,Tablette,2688.48
ORD-00066,P001,Ordinateur,1853.91
ORD-00067,P002,Tablette,2554.17
ORD-00068,P001,Ordinateur,1766.66
ORD-00069,P001,Ordinateur,2783.51
ORD-00070,P002,Tablette,2996.14
ORD-00071,P004,Écran,1089.75
ORD-00072,P003,Téléphone,109.74
ORD-00073,P001,Ordinateur,570.14
ORD-00074,P002,Tablette,2434.69
ORD-00075,P005,Clavier,1028.98
ORD-00076,P003,Téléphone,1839.9
ORD-00077,P003,Téléphone,2742.56
ORD-00078,P001,Ordinateur,1018.5
ORD-00079,P001,Ordinateur,2102.62
ORD-00080,P004,Écran,224.97
ORD-00081,P001,Ordinateur,225.1
ORD-00082,P004,Écran,2754.45
ORD-00083,P005,Clavier,1458.66
ORD-00084,P002,Tablette,611.43
ORD-00085,P003,Téléphone,448.38
ORD-00086,P004,Écran,1241.99
ORD-00087,P004,Écran,2824.37
ORD-00088,P003,Téléphone,1351.47
ORD-00089,P001,Ordinateur,2207.47
ORD-00090,P001,Ordinateur,2193.85
ORD-00091,P003,Téléphone,327.44
ORD-00092,P003,Téléphone,2083.33
ORD-00093,P004,Écran,2895.61
ORD-00094,P003,Téléphone,2297.64
ORD-00095,P003,Téléphone,2768.22
ORD-00096,P001,Ordinateur,1229.45
ORD-00097,P001,Ordinateur,219.64
ORD-00098,P005,Clavier,2087.76
ORD-00099,P002,Tablette,180.54
ORD-00100,P002,Tablette,2389.35
ORD-00101,P001,Ordinateur,270.87
ORD-00102,P002,Tablette,90.79
ORD-00103,P001,Ordinateur,2895.1
ORD-00104,P002,Tablette,960.53
ORD-00105,P003,Téléphone,1573.3
