OrderID,ProductID,Category,Revenue
ORD-00001,P002,Électronique,1656.93
ORD-00002,P005,Périphériques,593.0
ORD-00003,P005,Périphériques,1674.94
ORD-00004,P004,Accessoires,2089.2
ORD-00005,P004,Accessoires,2728.56
ORD-00006,P004,Électronique,389.66
ORD-00007,P001,Accessoires,2590.45
ORD-00008,P002,Électronique,2834.17
ORD-00009,P001,Périphériques,2203.61
ORD-00010,P004,Périphériques,1863.64
ORD-00011,P004,Périphériques,2446.43
ORD-00012,P004,Accessoires,655.69
ORD-00013,P002,Accessoires,1086.6
ORD-00014,P005,Accessoires,363.06
ORD-00015,P005,Périphériques,994.97
ORD-00016,P001,Électronique,542.06
ORD-00017,P002,Électronique,2403.26
ORD-00018,P002,Électronique,1124.69
ORD-00019,P002,Périphériques,1752.3
ORD-00020,P005,Électronique,2805.89
ORD-00021,P005,Accessoires,391.62
ORD-00022,P001,Électronique,258.41
ORD-00023,P002,Électronique,820.6
ORD-00024,P005,Périphériques,2855.27
ORD-00025,P002,Électronique,1355.8
ORD-00026,P002,Électronique,306.07
ORD-00027,P002,Accessoires,519.29
ORD-00028,P003,Accessoires,1185.65
ORD-00029,P005,Électronique,658.15
ORD-00030,P005,Accessoires,1640.82
ORD-00031,P004,Périphériques,1338.59
ORD-00032,P002,Accessoires,963.44
ORD-00033,P005,Accessoires,342.1
ORD-00034,P001,Accessoires,490.72
ORD-00035,P002,Périphériques,2825.68
ORD-00036,P004,Électronique,1814.14
ORD-00037,P005,Périphériques,2929.24
ORD-00038,P004,Périphériques,2291.19
ORD-00039,P004,Accessoires,118.61
ORD-00040,P005,Électronique,1791.53
ORD-00041,P001,Accessoires,79.25
ORD-00042,P004,Électronique,1912.69
ORD-00043,P003,Électronique,2404.4
ORD-00044,P005,Accessoires,1330.2
ORD-00045,P001,Périphériques,1609.36
ORD-00046,P001,Périphériques,1440.05
ORD-00047,P001,Électronique,454.49
ORD-00048,P004,Électronique,858.3
ORD-00049,P002,Accessoires,876.74
ORD-00050,P004,Accessoires,1330.54
ORD-00051,P004,Électronique,1395.42
ORD-00052,P002,Électronique,2768.88
ORD-00053,P002,Électronique,1588.49
ORD-00054,P004,Accessoires,1707.33
ORD-00055,P004,Périphériques,121.51
ORD-00056,P003,Électronique,317.71
ORD-00057,P004,Accessoires,2942.71
ORD-00058,P003,Accessoires,2387.14
ORD-00059,P001,Électronique,518.46
ORD-00060,P002,Accessoires,764.35
ORD-00061,P003,Électronique,707.47
ORD-00062,P002,Accessoires,359.5
ORD-00063,P004,Électronique,1674.18
ORD-00064,P004,Périphériques,1574.42
ORD-00065,P002,Périphériques,1280.93
ORD-00066,P003,Périphériques,1359.57
ORD-00067,P001,Accessoires,1424.44
ORD-00068,P003,Accessoires,593.71
ORD-00069,P005,Périphériques,1602.85
ORD-00070,P003,Électronique,291.85
ORD-00071,P005,Accessoires,1614.13
ORD-00072,P003,Accessoires,1706.52
ORD-00073,P005,Périphériques,590.17
ORD-00074,P004,Électronique,2940.02
ORD-00075,P004,Périphériques,2738.03
ORD-00076,P001,Périphériques,1993.79
ORD-00077,P003,Périphériques,2666.26
ORD-00078,P004,Périphériques,679.42
ORD-00079,P005,Périphériques,204.8
ORD-00080,P001,Périphériques,2652.01
ORD-00081,P005,Électronique,2680.99
ORD-00082,P004,Accessoires,1635.55
ORD-00083,P001,Accessoires,1777.89
ORD-00084,P005,Périphériques,376.25
ORD-00085,P003,Accessoires,865.83
ORD-00086,P003,Accessoires,2434.41
ORD-00087,P005,Accessoires,2037.29
ORD-00088,P001,Électronique,129.43
ORD-00089,P002,Accessoires,1157.15
ORD-00090,P003,Électronique,592.11
ORD-00091,P001,Accessoires,2878.89
ORD-00092,P002,Accessoires,1420.09
ORD-00093,P001,Périphériques,930.89
ORD-00094,P002,Accessoires,1271.66
ORD-00095,P001,Électronique,94.4
ORD-00096,P005,Accessoires,2738.69
ORD-00097,P004,Périphériques,2976.12
ORD-00098,P003,Électronique,1372.46
ORD-00099,P003,Accessoires,1677.82
ORD-00100,P003,Périphériques,2854.0
ORD-00101,P004,Périphériques,646.36
ORD-00102,P001,Électronique,2195.5
ORD-00103,P003,Périphériques,852.12
ORD-00104,P004,Électronique,444.75
ORD-00105,P004,Périphériques,959.46
ORD-00106,P004,Accessoires,2003.0
ORD-00107,P003,Périphériques,687.49
ORD-00108,P005,Accessoires,1761.08
ORD-00109,P004,Périphériques,2501.11
ORD-00110,P004,Périphériques,1403.56
ORD-00111,P003,Électronique,2769.78
ORD-00112,P002,Périphériques,243.44
ORD-00113,P001,Accessoires,538.28
ORD-00114,P001,Périphériques,313.95
ORD-00115,P003,Accessoires,2152.19
ORD-00116,P005,Électronique,1200.19
ORD-00117,P004,Électronique,291.76
ORD-00118,P005,Accessoires,1132.53
ORD-00119,P003,Électronique,673.37
ORD-00120,P005,Électronique,1168.37
ORD-00121,P005,Périphériques,902.89
ORD-00122,P004,Électronique,1038.6
ORD-00123,P003,Accessoires,2835.21
ORD-00124,P005,Électronique,1712.19
ORD-00125,P003,Électronique,1903.34
ORD-00126,P005,Électronique,2442.97
ORD-00127,P005,Accessoires,1054.03
ORD-00128,P002,Périphériques,120.11
ORD-00129,P002,Périphériques,959.6
ORD-00130,P004,Périphériques,1844.33
ORD-00131,P002,Accessoires,2356.97
ORD-00132,P002,Périphériques,2441.37
ORD-00133,P001,Accessoires,1254.95
ORD-00134,P002,Accessoires,2472.51
ORD-00135,P004,Accessoires,1576.44
ORD-00136,P002,Périphériques,476.53
ORD-00137,P001,Périphériques,2135.09
ORD-00138,P002,Périphériques,1505.26
ORD-00139,P005,Électronique,281.87
ORD-00140,P002,Périphériques,2915.47
ORD-00141,P003,Périphériques,2425.05
ORD-00142,P002,Électronique,2089.55
ORD-00143,P005,Électronique,2409.38
ORD-00144,P003,Électronique,1521.66
