ProductID,Category
P001,High-Tech
P002,High-Tech
P003,High-Tech
P004,High-Tech
P005,High-Tech
P006,High-Tech
P006,Bureau
P007,High-Tech
P008,High-Tech
P009,High-Tech
P010,High-Tech
P011,High-Tech
P012,High-Tech
P013,Bureau
P014,Bureau
P015,Bureau
P016,Bureau
P017,Bureau
P018,Bureau
P019,Bureau
P020,Bureau
P021,Bureau
P021,Accessoires
P022,Bureau
P023,Bureau
P024,Bureau
P025,Accessoires
P025,Bureau
P026,Accessoires
P027,Accessoires
P028,Accessoires
P029,Accessoires
P030,Accessoires
P030,Bureau
P031,Accessoires
P032,Accessoires
P032,Bureau
P033,Accessoires
P033,Bureau
P034,Accessoires
P034,High-Tech
P035,Accessoires
P036,Accessoires
