OrderID,Region,ManagerEmail,Revenue
ORD-00001,ES,manager.es@nova.com,263.36
ORD-00002,ES,manager.es@nova.com,1880.45
ORD-00003,UK,manager.uk@nova.com,1207.9
ORD-00004,IT,manager.it@nova.com,2708.4
ORD-00005,UK,manager.uk@nova.com,407.54
ORD-00006,DE,manager.de@nova.com,1830.08
ORD-00007,UK,manager.uk@nova.com,2919.9
ORD-00008,DE,manager.de@nova.com,802.94
ORD-00009,IT,manager.it@nova.com,2786.46
ORD-00010,FR,manager.fr@nova.com,473.42
ORD-00011,ES,manager.es@nova.com,631.98
ORD-00012,FR,manager.fr@nova.com,948.56
ORD-00013,IT,manager.it@nova.com,2505.93
ORD-00014,FR,manager.fr@nova.com,734.66
ORD-00015,FR,manager.fr@nova.com,726.43
ORD-00016,DE,manager.de@nova.com,845.8
ORD-00017,FR,manager.fr@nova.com,2355.17
ORD-00018,IT,manager.it@nova.com,561.23
ORD-00019,FR,manager.fr@nova.com,1304.12
ORD-00020,FR,manager.fr@nova.com,2104.66
ORD-00021,ES,manager.es@nova.com,2828.53
ORD-00022,IT,manager.it@nova.com,2686.83
ORD-00023,ES,manager.es@nova.com,1936.1
ORD-00024,ES,manager.es@nova.com,976.5
ORD-00025,IT,manager.it@nova.com,171.77
ORD-00026,FR,manager.fr@nova.com,466.52
ORD-00027,IT,manager.it@nova.com,417.81
ORD-00028,FR,manager.fr@nova.com,927.09
ORD-00029,FR,manager.fr@nova.com,387.02
ORD-00030,ES,manager.es@nova.com,714.37
ORD-00031,UK,manager.uk@nova.com,1805.75
ORD-00032,DE,manager.de@nova.com,1632.38
ORD-00033,IT,manager.it@nova.com,188.25
ORD-00034,ES,manager.es@nova.com,1119.15
ORD-00035,UK,manager.uk@nova.com,133.02
ORD-00036,ES,manager.es@nova.com,1212.32
ORD-00037,DE,manager.de@nova.com,2912.74
ORD-00038,FR,manager.fr@nova.com,2198.79
ORD-00039,DE,manager.de@nova.com,102.3
ORD-00040,IT,manager.it@nova.com,93.52
ORD-00041,IT,manager.it@nova.com,2506.83
ORD-00042,ES,manager.es@nova.com,2714.0
ORD-00043,UK,manager.uk@nova.com,1657.82
