OrderID,OrderDate,ProductID,ProductName,Category,CustomerID,CustomerName,Region,Segment,Revenue,Quantity
ORD-00001,2024-10-18,P006,Souris,Périphériques,C015,Client C015,UK,Particulier,388.71,3
ORD-00002,2024-05-15,P004,Écran,Électronique,C021,Client C021,UK,Particulier,283.08,4
ORD-00003,2024-04-12,P004,Écran,Électronique,C033,Client C033,UK,Particulier,249.11,1
ORD-00004,2024-06-11,P002,Tablette,Électronique,C039,Client C039,UK,Particulier,422.55,1
ORD-00005,2024-09-04,P009,Câble USB,Accessoires,C009,Client C009,FR,PME,3528.24,4
ORD-00006,2024-09-05,P012,Webcam,Périphériques,C037,Client C037,DE,Grand Compte,1461.18,3
ORD-00007,2024-11-21,P003,Téléphone,Électronique,C040,Client C040,UK,Grand Compte,1079.96,1
ORD-00008,2024-12-22,P008,Câble HDMI,Accessoires,C022,Client C022,FR,PME,821.65,5
ORD-00009,2024-12-08,P008,Câble HDMI,Accessoires,C024,Client C024,DE,PME,1569.2,4
ORD-00010,2024-04-08,P006,Souris,Périphériques,C049,Client C049,FR,PME,942.4,2
ORD-00011,2024-05-15,P007,Imprimante,Périphériques,C033,Client C033,IT,PME,2060.94,2
ORD-00012,2024-03-03,P002,Tablette,Électronique,C019,Client C019,UK,PME,1840.02,3
ORD-00013,2024-01-27,P001,Ordinateur,Électronique,C025,Client C025,FR,PME,2391.65,5
ORD-00014,2024-12-27,P010,Support,Accessoires,C049,Client C049,IT,PME,919.05,3
ORD-00015,2024-10-19,P008,Câble HDMI,Accessoires,C037,Client C037,IT,Grand Compte,939.39,3
ORD-00016,2024-06-21,P010,Support,Accessoires,C018,Client C018,FR,PME,235.0,1
ORD-00017,2024-03-08,P011,Housse,Accessoires,C032,Client C032,IT,Grand Compte,2605.68,4
ORD-00018,2024-07-08,P003,Téléphone,Électronique,C021,Client C021,FR,PME,1450.54,2
ORD-00019,2024-05-27,P009,Câble USB,Accessoires,C039,Client C039,FR,PME,5415.4,5
ORD-00020,2024-04-26,P012,Webcam,Périphériques,C025,Client C025,ES,Particulier,1048.47,1
ORD-00021,2024-08-05,P007,Imprimante,Périphériques,C023,Client C023,IT,Grand Compte,736.33,1
ORD-00022,2024-01-24,P003,Téléphone,Électronique,C013,Client C013,UK,Particulier,1917.69,3
ORD-00023,2024-08-27,P005,Clavier,Périphériques,C032,Client C032,FR,Particulier,706.58,2
ORD-00024,2024-10-06,P008,Câble HDMI,Accessoires,C040,Client C040,DE,Grand Compte,1747.85,5
ORD-00025,2024-07-19,P002,Tablette,Électronique,C041,Client C041,IT,Particulier,3845.48,4
ORD-00026,2024-08-09,P001,Ordinateur,Électronique,C037,Client C037,DE,PME,2521.6,4
ORD-00027,2024-04-18,P003,Téléphone,Électronique,C013,Client C013,DE,Particulier,2334.86,2
ORD-00028,2024-01-14,P002,Tablette,Électronique,C026,Client C026,ES,Grand Compte,506.42,1
ORD-00029,2024-05-06,P001,Ordinateur,Électronique,C003,Client C003,DE,PME,3378.44,4
ORD-00030,2024-12-09,P002,Tablette,Électronique,C019,Client C019,FR,Grand Compte,810.51,3
ORD-00031,2024-08-26,P006,Souris,Périphériques,C010,Client C010,UK,Grand Compte,1017.72,2
ORD-00032,2024-10-13,P007,Imprimante,Périphériques,C026,Client C026,IT,Particulier,960.6,2
ORD-00033,2024-08-31,P005,Clavier,Périphériques,C009,Client C009,IT,PME,168.65,1
ORD-00034,2024-01-09,P009,Câble USB,Accessoires,C040,Client C040,ES,PME,2538.52,4
ORD-00035,2024-01-25,P004,Écran,Électronique,C025,Client C025,FR,Grand Compte,620.05,1
ORD-00036,2024-02-12,P011,Housse,Accessoires,C021,Client C021,DE,PME,2303.78,2
ORD-00037,2024-03-12,P003,Téléphone,Électronique,C031,Client C031,FR,PME,211.83,1
ORD-00038,2024-03-15,P001,Ordinateur,Électronique,C007,Client C007,DE,Grand Compte,1119.96,2
ORD-00039,2024-01-29,P007,Imprimante,Périphériques,C004,Client C004,FR,Particulier,309.96,2
ORD-00040,2024-07-02,P011,Housse,Accessoires,C003,Client C003,DE,Particulier,4592.68,4
ORD-00041,2024-06-23,P004,Écran,Électronique,C028,Client C028,FR,PME,251.0,2
ORD-00042,2024-07-24,P006,Souris,Périphériques,C043,Client C043,FR,Particulier,2845.59,3
ORD-00043,2024-02-26,P009,Câble USB,Accessoires,C005,Client C005,DE,Grand Compte,719.84,2
ORD-00044,2024-11-24,P001,Ordinateur,Électronique,C039,Client C039,IT,Grand Compte,1653.25,5
ORD-00045,2024-11-16,P006,Souris,Périphériques,C024,Client C024,FR,Grand Compte,2037.74,2
ORD-00046,2024-06-09,P005,Clavier,Périphériques,C023,Client C023,UK,Particulier,964.56,1
ORD-00047,2024-02-10,P011,Housse,Accessoires,C019,Client C019,UK,PME,3476.6,4
ORD-00048,2024-11-01,P008,Câble HDMI,Accessoires,C007,Client C007,FR,Particulier,1272.5,5
