OrderID,OrderDate,ProductID,CustomerID,Revenue
ORD-00001,2024-09-08,P012,C038,1712.5
ORD-00002,2024-10-02,P005,C003,917.27
ORD-00003,2024-04-05,P008,C010,2072.21
ORD-00004,2024-03-08,P006,C049,396.33
ORD-00005,2024-10-31,P005,C010,1441.95
ORD-00006,2024-03-17,P012,C008,2974.91
ORD-00007,2024-07-05,P010,C035,2839.49
ORD-00008,2024-09-28,P010,C044,1511.52
ORD-00009,2024-02-16,P001,C001,2531.55
ORD-00010,2024-04-03,P008,C048,1359.84
ORD-00011,2024-11-12,P008,C002,347.74
ORD-00012,2024-07-11,P004,C032,1016.28
ORD-00013,2024-09-16,P010,C002,1313.62
ORD-00014,2024-12-30,P012,C032,1877.76
ORD-00015,2024-09-28,P006,C046,2739.27
ORD-00016,2024-08-25,P007,C005,1682.45
ORD-00017,2024-06-04,P011,C039,2417.58
ORD-00018,2024-08-14,P003,C034,470.38
ORD-00019,2024-02-21,P009,C035,924.17
ORD-00020,2024-06-30,P012,C039,2713.54
ORD-00021,2024-07-27,P012,C005,2881.52
ORD-00022,2024-08-31,P009,C023,117.19
ORD-00023,2024-03-31,P005,C029,1199.59
ORD-00024,2024-11-04,P008,C005,1099.61
ORD-00025,2024-01-23,P004,C050,2570.28
ORD-00026,2024-10-10,P008,C026,1286.69
ORD-00027,2024-07-14,P001,C035,2469.79
ORD-00028,2024-03-05,P002,C050,472.16
ORD-00029,2024-03-21,P010,C025,1426.5
ORD-00030,2024-08-17,P012,C032,1252.83
ORD-00031,2024-10-03,P011,C007,207.76
ORD-00032,2024-10-13,P009,C016,750.24
ORD-00033,2024-04-21,P006,C029,1919.84
ORD-00034,2024-05-10,P009,C019,1979.04
ORD-00035,2024-01-07,P012,C045,2274.82
ORD-00036,2024-12-17,P008,C006,162.84
ORD-00037,2024-07-26,P009,C043,1166.6
ORD-00038,2024-01-24,P004,C037,2532.64
ORD-00039,2024-01-31,P007,C037,2237.72
ORD-00040,2024-10-18,P006,C035,1277.63
ORD-00041,2024-11-15,P005,C015,2266.92
ORD-00042,2024-11-28,P005,C011,529.56
ORD-00043,2024-01-12,P003,C020,238.48
ORD-00044,2024-04-11,P003,C002,1236.81
ORD-00045,2024-11-12,P012,C009,865.71
ORD-00046,2024-02-24,P003,C025,1339.93
ORD-00047,2024-05-06,P002,C047,2375.07
ORD-00048,2024-05-12,P009,C037,807.55
ORD-00049,2024-11-24,P002,C045,76.25
ORD-00050,2024-08-01,P010,C018,2663.15
ORD-00051,2024-11-19,P002,C004,503.6
ORD-00052,2024-02-14,P002,C044,759.05
ORD-00053,2024-10-28,P010,C040,1496.88
ORD-00054,2024-05-26,P010,C016,454.62
ORD-00055,2024-05-10,P002,C010,2629.98
ORD-00056,2024-12-30,P001,C012,2191.9
ORD-00057,2024-06-29,P002,C008,2307.33
ORD-00058,2024-09-26,P003,C048,1155.14
ORD-00059,2024-03-21,P009,C041,2445.21
ORD-00060,2024-07-02,P001,C041,1668.35
ORD-00061,2024-11-17,P006,C039,2882.52
ORD-00062,2024-03-12,P004,C008,1807.2
ORD-00063,2024-08-18,P012,C010,1298.09
ORD-00064,2024-07-07,P010,C007,1362.88
ORD-00065,2024-02-23,P011,C014,623.12
ORD-00066,2024-01-23,P007,C036,2026.59
ORD-00067,2024-05-01,P007,C025,2566.24
ORD-00068,2024-05-04,P007,C030,1231.85
ORD-00069,2024-08-05,P012,C016,502.12
ORD-00070,2024-04-17,P006,C050,80.84
ORD-00071,2024-11-26,P006,C005,2309.32
ORD-00072,2024-08-09,P006,C012,725.38
ORD-00073,2024-12-21,P007,C036,652.0
ORD-00074,2024-10-08,P009,C036,1557.5
ORD-00075,2024-02-20,P008,C031,839.81
ORD-00076,2024-02-19,P001,C023,2584.06
ORD-00077,2024-12-29,P005,C037,2484.85
ORD-00078,2024-03-16,P010,C002,955.4
ORD-00079,2024-06-06,P002,C034,129.87
ORD-00080,2024-07-07,P007,C046,2884.46
ORD-00081,2024-09-29,P006,C021,2323.23
ORD-00082,2024-09-28,P009,C029,2762.35
ORD-00083,2024-06-22,P009,C043,2488.22
ORD-00084,2024-12-23,P004,C007,1540.49
ORD-00085,2024-05-05,P003,C008,288.02
ORD-00086,2024-06-06,P007,C039,2179.36
ORD-00087,2024-08-06,P001,C019,1924.79
ORD-00088,2024-05-13,P006,C042,2984.35
ORD-00089,2024-02-25,P004,C026,2827.22
ORD-00090,2024-04-04,P006,C028,1690.51
