OrderID,Revenue,Cost
ORD-00001,285.03,130.78
ORD-00002,1715.98,1094.74
ORD-00003,1270.05,886.86
ORD-00004,2296.05,1222.06
ORD-00005,2709.54,1418.87
ORD-00006,2532.13,1764.12
ORD-00007,1346.68,754.9
ORD-00008,1653.42,942.27
ORD-00009,257.96,120.63
ORD-00010,2626.22,1638.94
ORD-00011,2278.22,1277.49
ORD-00012,1609.14,680.87
ORD-00013,2573.06,1594.86
ORD-00014,327.09,235.24
ORD-00015,910.51,497.35
ORD-00016,408.0,164.18
ORD-00017,687.4,450.26
ORD-00018,1987.32,1383.51
ORD-00019,689.16,516.78
ORD-00020,1682.43,1084.63
ORD-00021,1487.83,810.13
ORD-00022,1328.98,639.69
ORD-00023,2912.65,1995.13
ORD-00024,296.98,212.86
ORD-00025,61.39,33.05
ORD-00026,360.89,225.4
ORD-00027,2329.65,1340.79
ORD-00028,613.94,345.57
ORD-00029,312.18,233.28
ORD-00030,777.78,483.3
ORD-00031,1340.8,659.7
ORD-00032,495.05,345.96
ORD-00033,1070.06,604.32
ORD-00034,1608.6,1115.52
ORD-00035,564.69,268.33
ORD-00036,686.24,330.96
ORD-00037,2890.51,2054.45
ORD-00038,1645.94,678.06
ORD-00039,2070.62,1492.1
ORD-00040,1590.11,1100.49
ORD-00041,868.94,536.99
ORD-00042,2333.55,1188.09
ORD-00043,578.52,232.94
ORD-00044,664.76,486.5
ORD-00045,724.85,297.31
ORD-00046,1322.82,801.22
ORD-00047,776.51,435.94
ORD-00048,2732.73,1192.79
ORD-00049,1959.07,809.85
ORD-00050,1392.06,773.99
ORD-00051,258.55,115.07
ORD-00052,1440.6,809.82
ORD-00053,1309.59,946.98
ORD-00054,2229.38,1424.45
ORD-00055,1230.02,507.32
ORD-00056,2064.79,1125.29
ORD-00057,1839.86,898.62
ORD-00058,369.71,152.85
ORD-00059,2073.19,1006.66
ORD-00060,1445.06,827.09
ORD-00061,1174.24,785.9
ORD-00062,609.05,312.04
ORD-00063,639.05,371.69
ORD-00064,2911.77,2178.11
ORD-00065,147.44,69.15
ORD-00066,931.55,554.37
ORD-00067,606.61,400.08
ORD-00068,2111.0,1065.78
ORD-00069,2750.71,1268.92
ORD-00070,2815.37,1342.09
ORD-00071,2441.44,1677.75
ORD-00072,2248.78,1108.13
ORD-00073,2962.34,2126.82
ORD-00074,144.52,59.48
ORD-00075,2123.11,1423.03
ORD-00076,1599.98,834.78
ORD-00077,1115.76,672.59
