OrderID,CustomerID,Revenue
ORD-00001,C040,3105.24
ORD-00002,C001,2294.82
ORD-00003,C026,4683.03
ORD-00004,C008,3988.83
ORD-00005,C003,1580.89
ORD-00006,C033,4034.36
ORD-00007,C032,2409.94
ORD-00008,C015,3256.63
ORD-00009,C013,120.15
ORD-00010,C025,1565.3
ORD-00011,C008,4196.87
ORD-00012,C020,4561.12
ORD-00013,C027,269.19
ORD-00014,C037,174.72
ORD-00015,C002,1200.25
ORD-00016,C007,3316.59
ORD-00017,C023,1523.16
ORD-00018,C027,2847.89
ORD-00019,C003,2030.45
ORD-00020,C036,2573.21
ORD-00021,C014,3190.58
ORD-00022,C016,3593.88
ORD-00023,C008,4668.01
ORD-00024,C032,648.29
ORD-00025,C041,4073.67
ORD-00026,C043,621.7
ORD-00027,C026,4701.21
ORD-00028,C049,3326.84
ORD-00029,C017,2378.92
ORD-00030,C045,3555.76
ORD-00031,C022,1371.96
ORD-00032,C048,3297.61
ORD-00033,C002,4635.26
ORD-00034,C019,3187.51
ORD-00035,C044,3217.39
ORD-00036,C008,3940.56
ORD-00037,C008,3058.43
ORD-00038,C012,4857.31
ORD-00039,C019,3890.07
ORD-00040,C016,3374.85
ORD-00041,C048,4185.33
ORD-00042,C015,2169.27
ORD-00043,C012,2609.74
ORD-00044,C009,2018.61
ORD-00045,C024,1471.73
ORD-00046,C031,3313.91
ORD-00047,C008,2181.2
ORD-00048,C003,4710.98
ORD-00049,C012,664.22
ORD-00050,C043,961.26
ORD-00051,C039,3851.77
ORD-00052,C032,4117.14
ORD-00053,C049,694.26
ORD-00054,C013,2982.14
ORD-00055,C011,114.06
ORD-00056,C028,1283.22
ORD-00057,C042,3082.75
ORD-00058,C026,687.67
ORD-00059,C023,3533.36
ORD-00060,C019,4344.28
ORD-00061,C044,589.8
ORD-00062,C001,677.91
ORD-00063,C015,1026.63
ORD-00064,C033,4024.25
ORD-00065,C047,3197.21
ORD-00066,C025,2890.42
ORD-00067,C050,4308.17
ORD-00068,C010,4861.63
ORD-00069,C026,4297.88
ORD-00070,C030,613.97
ORD-00071,C011,438.09
ORD-00072,C013,339.01
ORD-00073,C038,4556.82
ORD-00074,C026,4105.81
ORD-00075,C039,338.49
ORD-00076,C022,855.54
ORD-00077,C027,3480.6
ORD-00078,C015,3081.88
ORD-00079,C041,1828.98
ORD-00080,C014,3089.11
ORD-00081,C033,4515.49
ORD-00082,C040,3352.72
ORD-00083,C030,3975.88
ORD-00084,C049,420.7
ORD-00085,C042,2665.5
ORD-00086,C023,974.02
ORD-00087,C045,4225.07
ORD-00088,C008,419.44
ORD-00089,C017,2263.92
ORD-00090,C036,1189.24
ORD-00091,C045,3228.3
ORD-00092,C035,3070.44
ORD-00093,C002,459.44
ORD-00094,C002,2343.44
ORD-00095,C016,3564.22
ORD-00096,C040,1313.76
ORD-00097,C020,4052.08
ORD-00098,C021,3884.68
ORD-00099,C015,4732.25
ORD-00100,C009,355.77
ORD-00101,C039,4056.82
ORD-00102,C012,929.34
ORD-00103,C033,314.77
ORD-00104,C033,2783.15
ORD-00105,C028,4286.94
ORD-00106,C005,3136.36
ORD-00107,C004,3955.94
ORD-00108,C009,124.59
ORD-00109,C047,3741.2
ORD-00110,C028,596.52
ORD-00111,C023,262.88
ORD-00112,C041,783.03
ORD-00113,C032,1450.24
ORD-00114,C040,3160.55
ORD-00115,C042,1654.4
ORD-00116,C007,4288.42
ORD-00117,C022,1820.22
ORD-00118,C020,2507.32
ORD-00119,C037,3704.36
ORD-00120,C020,4810.67
ORD-00121,C045,2461.57
ORD-00122,C003,4622.29
ORD-00123,C044,594.14
ORD-00124,C034,3817.99
ORD-00125,C032,545.39
ORD-00126,C035,4140.1
ORD-00127,C046,4131.51
ORD-00128,C023,1696.17
ORD-00129,C002,1203.47
ORD-00130,C003,1235.22
ORD-00131,C033,782.31
ORD-00132,C018,706.32
ORD-00133,C001,589.67
ORD-00134,C033,4493.12
ORD-00135,C033,1450.41
ORD-00136,C034,999.73
ORD-00137,C024,4197.4
ORD-00138,C035,2329.52
ORD-00139,C017,3286.1
ORD-00140,C031,4329.78
ORD-00141,C029,3134.27
ORD-00142,C001,3779.22
ORD-00143,C008,2459.9
ORD-00144,C011,3725.08
ORD-00145,C027,3144.38
ORD-00146,C030,2530.28
ORD-00147,C008,3238.47
ORD-00148,C049,4292.41
ORD-00149,C030,3444.03
ORD-00150,C030,3645.56
ORD-00151,C018,1282.55
ORD-00152,C010,134.77
ORD-00153,C007,1367.48
ORD-00154,C022,2699.43
ORD-00155,C037,637.45
ORD-00156,C045,670.78
ORD-00157,C048,161.31
ORD-00158,C032,4354.32
ORD-00159,C010,2858.31
ORD-00160,C045,102.21
ORD-00161,C035,3075.45
ORD-00162,C027,729.06
ORD-00163,C010,1578.88
ORD-00164,C031,3264.68
ORD-00165,C008,4396.95
ORD-00166,C002,2378.1
ORD-00167,C026,4318.95
ORD-00168,C032,3750.03
ORD-00169,C018,2499.02
ORD-00170,C022,4195.8
ORD-00171,C004,2325.52
ORD-00172,C043,196.73
ORD-00173,C036,496.32
ORD-00174,C036,2509.64
ORD-00175,C008,241.59
ORD-00176,C019,2495.01
ORD-00177,C016,3389.69
ORD-00178,C006,685.25
ORD-00179,C038,4494.7
ORD-00180,C025,1341.46
ORD-00181,C018,821.3
ORD-00182,C043,290.48
ORD-00183,C006,3351.42
ORD-00184,C038,1606.51
ORD-00185,C019,3834.72
ORD-00186,C019,3362.04
ORD-00187,C016,2652.48
ORD-00188,C041,2272.28
ORD-00189,C027,178.93
ORD-00190,C004,1985.82
ORD-00191,C019,4828.06
ORD-00192,C030,1712.22
ORD-00193,C034,4109.65
ORD-00194,C039,1693.62
ORD-00195,C049,62.18
ORD-00196,C025,2682.47
ORD-00197,C018,318.48
ORD-00198,C003,3548.77
ORD-00199,C050,1266.19
ORD-00200,C006,103.21
ORD-00201,C042,3539.51
ORD-00202,C037,2487.23
ORD-00203,C012,1994.42
ORD-00204,C005,4191.46
ORD-00205,C014,1730.08
ORD-00206,C007,2317.14
ORD-00207,C048,715.06
ORD-00208,C005,456.01
ORD-00209,C030,869.04
ORD-00210,C009,3594.87
ORD-00211,C046,2952.34
ORD-00212,C032,2565.0
ORD-00213,C002,4116.16
ORD-00214,C032,1584.88
ORD-00215,C043,2423.59
ORD-00216,C014,4542.18
ORD-00217,C044,3073.58
ORD-00218,C049,4151.02
ORD-00219,C035,2611.35
ORD-00220,C006,403.37
ORD-00221,C046,3196.64
ORD-00222,C022,4682.91
ORD-00223,C014,4159.17
ORD-00224,C004,4606.7
ORD-00225,C043,3177.87
ORD-00226,C017,278.47
ORD-00227,C008,4609.21
ORD-00228,C016,1559.91
ORD-00229,C038,1134.13
ORD-00230,C027,2283.47
ORD-00231,C024,2417.17
ORD-00232,C027,125.06
ORD-00233,C040,1572.31
ORD-00234,C031,2501.74
ORD-00235,C050,4115.99
ORD-00236,C008,4689.83
ORD-00237,C019,623.85
ORD-00238,C038,2769.11
ORD-00239,C044,185.25
ORD-00240,C019,3278.76
ORD-00241,C030,1572.34
ORD-00242,C029,4116.57
ORD-00243,C029,3475.11
ORD-00244,C018,1719.09
ORD-00245,C043,1168.14
ORD-00246,C025,3047.39
ORD-00247,C015,2559.34
ORD-00248,C011,686.31
ORD-00249,C015,4453.04
ORD-00250,C045,3090.55
ORD-00251,C026,3439.32
ORD-00252,C006,1263.34
ORD-00253,C022,711.58
ORD-00254,C009,1121.11
ORD-00255,C016,2478.69
ORD-00256,C022,99.02
ORD-00257,C027,301.97
ORD-00258,C042,3506.45
ORD-00259,C048,1135.85
ORD-00260,C039,3303.7
ORD-00261,C018,4297.92
ORD-00262,C013,715.89
ORD-00263,C046,4109.03
ORD-00264,C031,1673.98
ORD-00265,C010,671.89
ORD-00266,C047,2209.94
ORD-00267,C027,2632.82
ORD-00268,C021,1451.5
ORD-00269,C049,2770.1
ORD-00270,C017,1601.29
ORD-00271,C014,343.04
ORD-00272,C018,2080.58
ORD-00273,C005,3556.25
ORD-00274,C050,858.15
ORD-00275,C011,4529.04
ORD-00276,C041,928.01
ORD-00277,C030,759.67
ORD-00278,C033,4396.6
ORD-00279,C004,2046.83
ORD-00280,C002,4722.32
ORD-00281,C006,4643.08
ORD-00282,C036,3332.78
ORD-00283,C013,1961.3
ORD-00284,C004,3927.83
ORD-00285,C012,3245.28
ORD-00286,C034,4247.4
ORD-00287,C012,1809.3
ORD-00288,C042,2507.95
ORD-00289,C017,3645.06
ORD-00290,C013,4288.65
ORD-00291,C019,2594.73
ORD-00292,C022,3721.08
ORD-00293,C041,3512.22
ORD-00294,C025,4679.92
ORD-00295,C021,3694.02
ORD-00296,C040,1568.79
ORD-00297,C007,1863.71
ORD-00298,C031,1397.29
ORD-00299,C030,2983.69
ORD-00300,C019,1875.91
ORD-00301,C036,385.91
ORD-00302,C022,3914.06
ORD-00303,C004,3640.5
ORD-00304,C018,2102.16
ORD-00305,C023,2791.16
ORD-00306,C026,4362.36
ORD-00307,C006,2779.87
ORD-00308,C036,3450.08
ORD-00309,C008,4421.16
ORD-00310,C030,439.06
ORD-00311,C050,1972.54
ORD-00312,C010,3524.41
ORD-00313,C043,1582.94
ORD-00314,C050,4259.98
ORD-00315,C029,4100.76
ORD-00316,C011,4072.26
ORD-00317,C037,4383.14
ORD-00318,C018,3050.31
ORD-00319,C038,1674.16
ORD-00320,C048,2488.54
ORD-00321,C047,739.79
ORD-00322,C009,1161.78
ORD-00323,C006,4481.68
ORD-00324,C026,2775.95
ORD-00325,C017,3273.18
ORD-00326,C043,3550.24
ORD-00327,C019,3391.68
ORD-00328,C001,1451.27
ORD-00329,C033,2195.18
ORD-00330,C042,3285.48
ORD-00331,C044,403.14
ORD-00332,C034,2698.82
ORD-00333,C007,1751.14
ORD-00334,C019,611.63
ORD-00335,C002,2313.02
ORD-00336,C042,4941.31
ORD-00337,C033,3228.2
ORD-00338,C023,3014.5
ORD-00339,C021,3235.12
ORD-00340,C026,2666.44
ORD-00341,C039,3069.37
ORD-00342,C024,4716.55
ORD-00343,C021,4917.8
ORD-00344,C002,178.4
ORD-00345,C014,3877.36
ORD-00346,C020,974.86
ORD-00347,C005,447.22
ORD-00348,C033,1821.9
ORD-00349,C005,4939.72
ORD-00350,C030,1428.39
ORD-00351,C037,1433.33
ORD-00352,C046,530.72
ORD-00353,C013,1810.61
ORD-00354,C006,4301.46
ORD-00355,C013,2456.48
ORD-00356,C046,3768.61
ORD-00357,C027,2699.67
ORD-00358,C048,331.3
ORD-00359,C032,4033.39
ORD-00360,C006,4179.06
ORD-00361,C046,2565.48
ORD-00362,C030,1897.72
ORD-00363,C005,4455.17
ORD-00364,C044,725.89
ORD-00365,C018,4633.85
ORD-00366,C045,2971.77
ORD-00367,C028,2863.78
ORD-00368,C013,1046.35
ORD-00369,C023,2249.47
ORD-00370,C044,64.85
ORD-00371,C020,1579.45
ORD-00372,C024,4622.83
ORD-00373,C044,647.41
ORD-00374,C034,3398.74
ORD-00375,C037,3279.3
ORD-00376,C030,437.03
ORD-00377,C029,4871.58
ORD-00378,C018,1373.11
ORD-00379,C037,1104.89
ORD-00380,C035,127.4
ORD-00381,C046,4641.93
ORD-00382,C012,745.92
ORD-00383,C001,1033.28
ORD-00384,C012,4932.51
ORD-00385,C032,3834.61
ORD-00386,C040,3325.08
ORD-00387,C032,3299.95
ORD-00388,C008,2180.43
ORD-00389,C048,729.93
ORD-00390,C044,2088.87
ORD-00391,C007,3699.35
ORD-00392,C017,2675.74
ORD-00393,C047,2642.0
ORD-00394,C021,4809.2
ORD-00395,C022,3571.12
ORD-00396,C007,1014.55
ORD-00397,C034,243.31
ORD-00398,C015,4940.41
ORD-00399,C003,1716.69
ORD-00400,C026,4321.69
ORD-00401,C015,4219.75
ORD-00402,C028,2486.76
ORD-00403,C024,1541.44
ORD-00404,C045,1466.37
ORD-00405,C022,1104.74
ORD-00406,C003,3700.45
ORD-00407,C010,3361.31
ORD-00408,C033,81.16
ORD-00409,C019,2909.98
ORD-00410,C046,4482.49
ORD-00411,C035,909.75
ORD-00412,C046,3178.82
ORD-00413,C030,2414.47
ORD-00414,C046,137.96
ORD-00415,C002,4145.05
ORD-00416,C002,4278.29
ORD-00417,C038,2845.65
ORD-00418,C003,1399.09
ORD-00419,C013,148.94
ORD-00420,C026,808.08
ORD-00421,C038,3623.9
ORD-00422,C017,4891.17
ORD-00423,C042,1858.57
ORD-00424,C037,299.82
ORD-00425,C047,3837.15
ORD-00426,C025,3458.42
ORD-00427,C017,239.13
ORD-00428,C025,1097.44
ORD-00429,C007,867.46
ORD-00430,C030,999.35
ORD-00431,C033,4767.86
ORD-00432,C017,4169.48
ORD-00433,C037,3617.57
ORD-00434,C003,3505.11
ORD-00435,C008,190.85
ORD-00436,C034,2219.02
ORD-00437,C023,552.44
ORD-00438,C050,4739.75
ORD-00439,C012,3341.41
ORD-00440,C012,575.52
ORD-00441,C009,3217.07
ORD-00442,C013,1490.02
ORD-00443,C018,716.07
ORD-00444,C005,3193.57
ORD-00445,C022,366.64
ORD-00446,C040,1068.0
ORD-00447,C019,3116.59
ORD-00448,C029,1758.87
ORD-00449,C049,4004.31
ORD-00450,C033,3983.83
ORD-00451,C028,2049.8
ORD-00452,C026,333.78
ORD-00453,C004,3433.61
ORD-00454,C022,3901.46
ORD-00455,C047,294.86
ORD-00456,C022,995.25
ORD-00457,C005,1630.63
ORD-00458,C005,951.14
ORD-00459,C005,1474.18
ORD-00460,C007,2952.51
ORD-00461,C007,1236.08
ORD-00462,C015,72.68
ORD-00463,C005,4565.73
ORD-00464,C001,92.01
ORD-00465,C041,3654.46
ORD-00466,C004,3487.45
ORD-00467,C038,2518.36
ORD-00468,C036,2057.44
ORD-00469,C049,1901.2
ORD-00470,C047,3755.99
ORD-00471,C014,1094.68
ORD-00472,C048,4180.07
ORD-00473,C030,3551.44
ORD-00474,C009,2521.32
ORD-00475,C008,1493.53
ORD-00476,C034,4718.54
ORD-00477,C029,3404.57
ORD-00478,C010,941.71
ORD-00479,C024,2134.68
ORD-00480,C040,4444.09
ORD-00481,C027,3850.2
ORD-00482,C026,1315.27
ORD-00483,C002,1097.91
ORD-00484,C019,4162.71
ORD-00485,C050,2616.35
ORD-00486,C005,1612.46
ORD-00487,C003,3157.32
