OrderID,CustomerID,Revenue,OrderDate
ORD-00001,C024,618.35,2024-11-20
ORD-00002,C036,2512.84,2024-10-22
ORD-00003,C037,878.83,2024-01-13
ORD-00004,C029,994.41,2024-10-19
ORD-00005,C018,2119.49,2024-11-19
ORD-00006,C033,376.8,2024-03-06
ORD-00007,C024,2541.82,2024-12-11
ORD-00008,C029,2807.67,2024-02-03
ORD-00009,C048,2601.58,2024-08-26
ORD-00010,C011,2665.52,2024-01-04
ORD-00011,C024,529.99,2024-02-18
ORD-00012,C019,1367.1,2024-12-24
ORD-00013,C036,397.34,2024-12-12
ORD-00014,C050,119.79,2024-07-18
ORD-00015,C027,2195.23,2024-12-13
ORD-00016,C031,1659.08,2024-11-30
ORD-00017,C022,507.68,2024-08-26
ORD-00018,C049,2985.3,2024-08-09
ORD-00019,C037,943.03,2024-12-29
ORD-00020,C030,689.1,2024-02-11
ORD-00021,C019,1861.78,2024-10-06
ORD-00022,C011,868.57,2024-03-09
ORD-00023,C043,1549.68,2024-01-02
ORD-00024,C048,1794.05,2024-06-19
ORD-00025,C006,219.78,2024-11-22
ORD-00026,C036,2502.09,2024-04-20
ORD-00027,C016,2649.7,2024-06-24
ORD-00028,C005,1733.14,2024-08-08
ORD-00029,C031,2436.72,2024-03-24
ORD-00030,C013,2533.29,2024-07-11
ORD-00031,C041,1517.7,2024-07-09
ORD-00032,C038,1457.51,2024-07-02
ORD-00033,C010,414.94,2024-11-28
ORD-00034,C006,2769.81,2024-03-19
ORD-00035,C009,745.25,2024-12-22
ORD-00036,C025,149.35,2024-11-07
ORD-00037,C043,2370.15,2024-04-28
ORD-00038,C007,527.37,2024-09-25
ORD-00039,C024,1557.76,2024-02-06
ORD-00040,C017,873.91,2024-08-08
ORD-00041,C021,2892.16,2024-11-25
ORD-00042,C039,384.78,2024-06-12
ORD-00043,C001,958.3,2024-06-14
ORD-00044,C036,2427.08,2024-07-08
ORD-00045,C012,2876.61,2024-02-28
ORD-00046,C031,2973.19,2024-11-28
ORD-00047,C032,2866.54,2024-10-26
ORD-00048,C008,2434.4,2024-12-20
ORD-00049,C012,2265.63,2024-03-14
ORD-00050,C049,1530.64,2024-07-02
ORD-00051,C046,2759.33,2024-10-17
ORD-00052,C007,1580.1,2024-03-12
ORD-00053,C013,874.03,2024-03-20
ORD-00054,C015,1519.09,2024-09-02
ORD-00055,C002,2347.96,2024-11-25
ORD-00056,C039,2828.58,2024-09-28
ORD-00057,C020,1408.27,2024-01-04
ORD-00058,C012,2521.52,2024-02-22
ORD-00059,C031,86.04,2024-10-11
ORD-00060,C013,2273.93,2024-01-30
ORD-00061,C011,2608.82,2024-08-04
ORD-00062,C025,2326.02,2024-11-07
ORD-00063,C032,1763.77,2024-06-06
ORD-00064,C004,857.9,2024-01-16
ORD-00065,C050,2075.52,2024-11-01
ORD-00066,C035,2694.12,2024-09-04
ORD-00067,C022,1013.52,2024-09-02
ORD-00068,C044,2916.31,2024-06-21
ORD-00069,C040,1805.82,2024-11-14
ORD-00070,C044,904.4,2024-10-02
ORD-00071,C011,1400.73,2024-10-31
ORD-00072,C019,2260.86,2024-06-05
ORD-00073,C015,2517.96,2024-02-04
ORD-00074,C003,252.14,2024-07-30
ORD-00075,C020,1461.96,2024-08-26
ORD-00076,C050,664.01,2024-04-22
ORD-00077,C043,1706.41,2024-06-15
ORD-00078,C038,420.16,2024-08-20
ORD-00079,C031,637.38,2024-12-10
ORD-00080,C049,1967.53,2024-08-18
ORD-00081,C006,1071.38,2024-04-24
ORD-00082,C038,512.74,2024-02-19
ORD-00083,C039,1803.01,2024-12-27
ORD-00084,C002,1080.58,2024-10-30
ORD-00085,C037,976.71,2024-04-02
ORD-00086,C016,535.15,2024-08-22
ORD-00087,C018,91.53,2024-10-17
ORD-00088,C020,278.52,2024-11-16
ORD-00089,C027,2459.22,2024-12-03
ORD-00090,C027,2860.23,2024-01-25
ORD-00091,C044,2920.99,2024-07-18
ORD-00092,C007,590.45,2024-11-04
ORD-00093,C045,2421.16,2024-04-10
ORD-00094,C036,726.8,2024-04-05
ORD-00095,C039,2772.13,2024-07-25
ORD-00096,C033,309.33,2024-04-12
ORD-00097,C010,2151.21,2024-06-11
ORD-00098,C016,654.43,2024-04-09
ORD-00099,C020,2019.97,2024-02-01
ORD-00100,C024,113.28,2024-03-15
ORD-00101,C021,2436.06,2024-12-28
ORD-00102,C028,265.03,2024-12-17
ORD-00103,C028,1448.55,2024-10-19
ORD-00104,C033,2088.46,2024-05-19
ORD-00105,C048,386.49,2024-06-10
ORD-00106,C032,1738.36,2024-08-20
ORD-00107,C032,2510.73,2024-09-21
ORD-00108,C045,1917.82,2024-06-12
ORD-00109,C033,1779.83,2024-04-05
ORD-00110,C038,2055.19,2024-11-26
ORD-00111,C014,2549.67,2024-07-05
ORD-00112,C025,1322.89,2024-03-07
ORD-00113,C049,2444.67,2024-07-19
ORD-00114,C048,662.77,2024-12-11
ORD-00115,C030,2755.95,2024-06-13
ORD-00116,C048,2926.97,2024-09-02
ORD-00117,C005,661.73,2024-09-08
ORD-00118,C002,2939.58,2024-04-05
ORD-00119,C011,1247.0,2024-08-22
ORD-00120,C044,1818.76,2024-04-08
ORD-00121,C048,633.18,2024-12-15
ORD-00122,C009,457.72,2024-04-03
ORD-00123,C005,2299.58,2024-10-15
ORD-00124,C012,1985.65,2024-07-09
ORD-00125,C042,1521.54,2024-08-18
ORD-00126,C048,381.41,2024-12-05
ORD-00127,C036,325.3,2024-04-26
ORD-00128,C023,1844.19,2024-11-29
ORD-00129,C025,233.27,2024-11-03
ORD-00130,C025,1624.14,2024-12-16
ORD-00131,C027,1028.52,2024-10-04
ORD-00132,C002,1446.1,2024-02-10
ORD-00133,C045,2127.53,2024-07-08
ORD-00134,C031,2252.63,2024-09-06
ORD-00135,C007,81.47,2024-12-19
ORD-00136,C002,71.3,2024-05-18
ORD-00137,C043,707.09,2024-11-10
ORD-00138,C033,1674.26,2024-09-09
ORD-00139,C026,2805.12,2024-10-28
ORD-00140,C046,831.52,2024-01-08
ORD-00141,C020,1192.26,2024-01-23
ORD-00142,C033,374.2,2024-06-04
ORD-00143,C038,1553.7,2024-10-29
ORD-00144,C020,2952.73,2024-05-31
ORD-00145,C024,1471.46,2024-12-11
ORD-00146,C020,1332.43,2024-12-23
ORD-00147,C032,2965.28,2024-09-16
ORD-00148,C037,2771.38,2024-05-08
ORD-00149,C020,1546.84,2024-02-23
ORD-00150,C034,2262.14,2024-09-07
ORD-00151,C014,749.4,2024-11-07
ORD-00152,C019,2573.13,2024-04-14
ORD-00153,C016,2330.98,2024-03-26
ORD-00154,C050,1972.01,2024-01-22
ORD-00155,C029,1284.12,2024-07-08
ORD-00156,C046,878.26,2024-11-15
ORD-00157,C041,1571.75,2024-09-19
ORD-00158,C020,256.83,2024-12-29
ORD-00159,C009,586.31,2024-11-18
ORD-00160,C003,728.07,2024-09-20
ORD-00161,C033,2172.85,2024-06-22
ORD-00162,C033,1722.51,2024-09-25
ORD-00163,C002,2760.44,2024-02-25
ORD-00164,C033,917.3,2024-10-31
ORD-00165,C004,140.32,2024-02-20
ORD-00166,C034,1891.4,2024-12-09
ORD-00167,C023,851.01,2024-03-02
ORD-00168,C041,2239.1,2024-04-22
ORD-00169,C021,2424.41,2024-05-20
ORD-00170,C020,2488.49,2024-07-03
ORD-00171,C009,497.17,2024-12-22
ORD-00172,C012,2854.47,2024-07-18
ORD-00173,C034,165.62,2024-01-18
ORD-00174,C044,1740.76,2024-01-01
ORD-00175,C026,1105.91,2024-02-28
ORD-00176,C023,2816.04,2024-01-26
ORD-00177,C001,2281.25,2024-03-10
ORD-00178,C004,2184.78,2024-05-25
ORD-00179,C035,1273.11,2024-11-21
ORD-00180,C014,1063.8,2024-09-03
ORD-00181,C046,2659.36,2024-12-16
ORD-00182,C042,1793.58,2024-04-10
ORD-00183,C001,351.16,2024-11-17
ORD-00184,C042,1208.08,2024-04-02
ORD-00185,C037,326.2,2024-11-22
ORD-00186,C001,195.69,2024-03-06
ORD-00187,C049,769.15,2024-11-20
ORD-00188,C012,812.29,2024-07-20
ORD-00189,C041,392.46,2024-01-27
ORD-00190,C036,868.06,2024-05-17
ORD-00191,C050,2133.67,2024-02-11
ORD-00192,C016,2025.56,2024-03-09
ORD-00193,C043,187.39,2024-01-18
ORD-00194,C036,2870.6,2024-09-30
ORD-00195,C008,1499.75,2024-12-12
ORD-00196,C034,940.92,2024-10-12
ORD-00197,C049,452.0,2024-01-10
ORD-00198,C046,1435.61,2024-02-14
ORD-00199,C039,2285.4,2024-09-28
ORD-00200,C034,1416.27,2024-01-17
ORD-00201,C014,2381.62,2024-09-18
