OrderID,CustomerID,Country,Revenue,OrderDate
ORD-00001,C040,Espagne,882.19,2024-12-21
ORD-00002,C015,Italie,868.94,2024-11-16
ORD-00003,C016,Espagne,2654.96,2024-09-19
ORD-00004,C032,Espagne,2182.72,2024-12-28
ORD-00005,C006,Italie,520.27,2024-10-29
ORD-00006,C008,France,891.73,2024-07-27
ORD-00007,C010,Allemagne,977.31,2024-01-25
ORD-00008,C035,France,2780.02,2024-04-10
ORD-00009,C015,France,2401.17,2024-07-28
ORD-00010,C007,Italie,2111.5,2024-02-23
ORD-00011,C027,France,2618.63,2024-12-05
ORD-00012,C010,Espagne,1173.16,2024-12-10
ORD-00013,C050,Allemagne,1613.95,2024-06-09
ORD-00014,C024,Espagne,1136.57,2024-12-28
ORD-00015,C031,Italie,2569.53,2024-08-24
ORD-00016,C045,Allemagne,2169.81,2024-01-29
ORD-00017,C049,Allemagne,415.02,2024-06-12
ORD-00018,C040,Allemagne,2706.95,2024-01-23
ORD-00019,C021,Allemagne,1988.23,2024-11-13
ORD-00020,C037,Allemagne,942.26,2024-10-28
ORD-00021,C042,Royaume-Uni,454.32,2024-04-16
ORD-00022,C038,Allemagne,1011.84,2024-12-11
ORD-00023,C046,Italie,2850.79,2024-01-15
ORD-00024,C001,Italie,1206.9,2024-11-19
ORD-00025,C019,Allemagne,730.89,2024-11-30
ORD-00026,C005,Italie,974.54,2024-02-18
ORD-00027,C014,Royaume-Uni,192.18,2024-06-25
ORD-00028,C002,Espagne,768.92,2024-08-28
ORD-00029,C045,France,2425.09,2024-01-11
ORD-00030,C017,Royaume-Uni,659.76,2024-05-07
ORD-00031,C023,Allemagne,52.58,2024-09-15
ORD-00032,C009,Italie,1365.29,2024-03-16
ORD-00033,C023,France,83.54,2024-02-09
ORD-00034,C042,France,1867.11,2024-06-01
ORD-00035,C039,Espagne,764.74,2024-12-02
ORD-00036,C001,Espagne,1059.22,2024-10-16
ORD-00037,C041,Royaume-Uni,2398.91,2024-04-22
ORD-00038,C034,Allemagne,1992.97,2024-09-20
ORD-00039,C010,France,865.34,2024-03-26
ORD-00040,C029,Italie,2466.82,2024-03-20
ORD-00041,C015,Italie,2270.94,2024-04-16
ORD-00042,C037,Royaume-Uni,1799.05,2024-11-19
ORD-00043,C004,Allemagne,781.02,2024-10-22
ORD-00044,C047,Royaume-Uni,2072.09,2024-01-20
ORD-00045,C015,Royaume-Uni,1988.9,2024-05-02
ORD-00046,C049,Italie,908.03,2024-03-13
ORD-00047,C028,France,1977.52,2024-09-30
ORD-00048,C019,Italie,2574.24,2024-01-11
ORD-00049,C037,Espagne,2882.04,2024-04-15
ORD-00050,C018,Royaume-Uni,595.48,2024-10-26
ORD-00051,C046,France,2228.31,2024-05-18
ORD-00052,C014,France,333.69,2024-08-13
ORD-00053,C007,Royaume-Uni,2562.68,2024-10-15
ORD-00054,C046,Allemagne,563.59,2024-03-17
ORD-00055,C005,Espagne,737.63,2024-04-04
ORD-00056,C029,Allemagne,1462.98,2024-05-21
ORD-00057,C044,Royaume-Uni,2367.81,2024-03-02
ORD-00058,C032,Espagne,1618.11,2024-01-04
ORD-00059,C019,Royaume-Uni,716.51,2024-01-31
ORD-00060,C039,Royaume-Uni,1557.05,2024-07-08
ORD-00061,C011,Allemagne,934.68,2024-06-19
ORD-00062,C018,Italie,1425.91,2024-05-13
ORD-00063,C045,Italie,2176.53,2024-09-29
ORD-00064,C007,Royaume-Uni,1793.27,2024-08-21
ORD-00065,C038,Royaume-Uni,1619.93,2024-04-07
ORD-00066,C045,Espagne,2122.33,2024-10-13
ORD-00067,C009,France,1473.34,2024-10-18
ORD-00068,C018,Royaume-Uni,2440.13,2024-09-23
ORD-00069,C006,Allemagne,1715.47,2024-09-06
ORD-00070,C020,Allemagne,1570.34,2024-01-02
ORD-00071,C002,Italie,938.56,2024-02-02
ORD-00072,C002,France,2043.31,2024-12-11
ORD-00073,C034,Royaume-Uni,800.84,2024-01-02
ORD-00074,C018,Italie,2175.79,2024-12-21
ORD-00075,C005,Espagne,820.25,2024-10-14
ORD-00076,C027,France,2339.01,2024-05-28
ORD-00077,C048,Royaume-Uni,503.49,2024-01-16
ORD-00078,C041,Royaume-Uni,164.4,2024-07-22
ORD-00079,C037,France,2877.56,2024-07-04
ORD-00080,C026,Royaume-Uni,950.31,2024-08-06
ORD-00081,C001,France,1833.28,2024-03-20
ORD-00082,C004,Italie,1405.16,2024-12-07
ORD-00083,C021,Espagne,1478.97,2024-06-07
ORD-00084,C005,Italie,2374.94,2024-12-09
ORD-00085,C033,Royaume-Uni,1003.75,2024-05-23
ORD-00086,C014,Espagne,171.16,2024-06-11
ORD-00087,C040,Royaume-Uni,594.1,2024-08-10
ORD-00088,C048,Royaume-Uni,1772.2,2024-10-02
ORD-00089,C003,Italie,2391.65,2024-09-17
ORD-00090,C050,France,885.71,2024-05-26
ORD-00091,C023,Espagne,1546.83,2024-06-10
ORD-00092,C032,Royaume-Uni,674.42,2024-03-02
ORD-00093,C020,Royaume-Uni,2659.24,2024-09-29
ORD-00094,C013,Royaume-Uni,2985.0,2024-10-20
ORD-00095,C047,Espagne,2190.99,2024-04-29
ORD-00096,C033,Royaume-Uni,765.84,2024-07-31
ORD-00097,C014,Espagne,1014.63,2024-02-14
ORD-00098,C050,Espagne,1240.62,2024-09-16
ORD-00099,C028,Allemagne,1031.93,2024-03-02
ORD-00100,C015,Espagne,2468.54,2024-08-14
ORD-00101,C033,Allemagne,2730.62,2024-04-15
ORD-00102,C045,Italie,452.84,2024-01-06
ORD-00103,C039,Allemagne,1803.43,2024-07-14
ORD-00104,C013,Espagne,655.55,2024-03-20
ORD-00105,C022,Allemagne,2806.11,2024-12-29
ORD-00106,C023,Italie,1419.8,2024-10-13
ORD-00107,C038,Espagne,2797.49,2024-01-24
ORD-00108,C027,France,1797.85,2024-04-26
ORD-00109,C014,Italie,920.5,2024-10-09
ORD-00110,C003,Royaume-Uni,891.23,2024-08-01
ORD-00111,C017,Espagne,468.99,2024-02-14
ORD-00112,C033,Espagne,1664.71,2024-01-02
ORD-00113,C009,Espagne,64.26,2024-02-04
ORD-00114,C047,Royaume-Uni,1940.59,2024-01-04
ORD-00115,C009,France,1915.06,2024-09-24
ORD-00116,C033,Espagne,2559.74,2024-04-27
ORD-00117,C040,Royaume-Uni,1814.63,2024-12-27
ORD-00118,C050,Royaume-Uni,2370.2,2024-02-21
ORD-00119,C017,Allemagne,2907.31,2024-01-02
ORD-00120,C046,Allemagne,1968.96,2024-06-01
ORD-00121,C045,Italie,2033.91,2024-04-15
ORD-00122,C039,Espagne,526.14,2024-11-29
ORD-00123,C010,Allemagne,2771.5,2024-12-19
ORD-00124,C048,France,1410.36,2024-04-06
ORD-00125,C050,Italie,2387.89,2024-06-16
ORD-00126,C026,France,670.41,2024-08-29
ORD-00127,C017,Espagne,2463.85,2024-02-22
ORD-00128,C011,Espagne,1055.5,2024-11-01
ORD-00129,C026,Italie,1499.12,2024-06-11
ORD-00130,C005,Italie,585.07,2024-11-10
ORD-00131,C029,Espagne,2078.46,2024-11-07
ORD-00132,C042,Allemagne,244.69,2024-08-21
ORD-00133,C041,Italie,392.04,2024-07-05
ORD-00134,C021,Espagne,587.17,2024-08-30
ORD-00135,C023,Espagne,1641.36,2024-10-07
ORD-00136,C050,France,425.3,2024-02-14
ORD-00137,C024,Royaume-Uni,1479.61,2024-06-21
ORD-00138,C014,Espagne,1799.65,2024-02-07
ORD-00139,C006,Royaume-Uni,2352.08,2024-04-19
ORD-00140,C037,Allemagne,2925.25,2024-02-08
ORD-00141,C002,France,600.49,2024-02-01
ORD-00142,C028,Royaume-Uni,604.46,2024-06-15
ORD-00143,C037,Royaume-Uni,392.85,2024-06-05
ORD-00144,C037,Italie,2624.76,2024-01-26
ORD-00145,C022,France,284.86,2024-09-04
ORD-00146,C021,Allemagne,1042.63,2024-12-13
ORD-00147,C015,Italie,197.06,2024-04-28
ORD-00148,C011,Espagne,998.21,2024-12-12
ORD-00149,C019,Espagne,2057.57,2024-11-23
ORD-00150,C006,Italie,2579.23,2024-01-17
ORD-00151,C036,Espagne,370.45,2024-12-22
ORD-00152,C004,Italie,624.27,2024-08-14
ORD-00153,C039,France,2597.19,2024-02-17
ORD-00154,C033,Italie,2014.78,2024-05-07
ORD-00155,C050,Italie,1700.23,2024-09-03
ORD-00156,C046,Royaume-Uni,2116.39,2024-02-25
ORD-00157,C008,Italie,881.14,2024-09-28
ORD-00158,C028,Royaume-Uni,1117.16,2024-07-16
ORD-00159,C012,Royaume-Uni,1615.29,2024-04-29
ORD-00160,C029,Royaume-Uni,1450.21,2024-02-13
