OrderID,OrderDate,ProductID,CustomerID,Revenue
2023-ORD-00001,2023-09-25,P002,C045,1878.27
2023-ORD-00002,2023-09-13,P008,C041,1672.37
2023-ORD-00003,2023-10-29,P003,C031,2308.03
2023-ORD-00004,2023-08-09,P012,C032,2397.34
2023-ORD-00005,2023-09-10,P006,C022,2106.65
2023-ORD-00006,2023-10-05,P006,C015,1677.45
2023-ORD-00007,2023-05-28,P005,C047,453.64
2023-ORD-00008,2023-09-02,P009,C016,776.75
2023-ORD-00009,2023-11-23,P011,C009,1828.58
2023-ORD-00010,2023-04-12,P004,C049,2316.71
2023-ORD-00011,2023-03-26,P006,C001,2611.11
2023-ORD-00012,2023-09-28,P002,C013,2699.31
2023-ORD-00013,2023-08-24,P003,C030,700.84
2023-ORD-00014,2023-05-13,P007,C011,215.19
2023-ORD-00015,2023-07-30,P008,C033,2923.3
2023-ORD-00016,2023-06-22,P011,C002,1875.34
2023-ORD-00017,2023-04-20,P004,C008,372.92
2023-ORD-00018,2023-08-15,P005,C008,2348.45
2023-ORD-00019,2023-12-01,P005,C032,1054.43
2023-ORD-00020,2023-07-02,P009,C020,2681.86
2023-ORD-00021,2023-08-25,P011,C034,907.05
2023-ORD-00022,2023-08-03,P001,C036,2106.97
2023-ORD-00023,2023-08-18,P012,C011,1768.64
2023-ORD-00024,2023-12-06,P004,C002,1700.02
2023-ORD-00025,2023-01-04,P011,C028,98.89
2023-ORD-00026,2023-10-04,P004,C026,253.22
2023-ORD-00027,2023-03-22,P002,C021,2208.15
2023-ORD-00028,2023-04-24,P004,C041,1603.25
2023-ORD-00029,2023-01-14,P009,C024,2847.37
2023-ORD-00030,2023-08-17,P004,C028,215.64
2023-ORD-00031,2023-06-09,P011,C050,922.15
2023-ORD-00032,2023-06-19,P010,C003,1539.1
2023-ORD-00033,2023-09-05,P002,C034,2354.36
2023-ORD-00034,2023-02-28,P010,C037,621.85
2023-ORD-00035,2023-05-14,P003,C036,2281.79
2023-ORD-00036,2023-08-28,P005,C029,935.77
2023-ORD-00037,2023-12-04,P007,C019,2787.45
2023-ORD-00038,2023-08-09,P012,C034,982.82
2023-ORD-00039,2023-11-02,P009,C044,2798.64
2023-ORD-00040,2023-10-25,P007,C006,1868.74
2023-ORD-00041,2023-04-27,P009,C021,2603.59
2023-ORD-00042,2023-12-13,P010,C036,2946.43
2023-ORD-00043,2023-11-27,P008,C003,82.25
2023-ORD-00044,2023-04-07,P012,C041,2448.27
2023-ORD-00045,2023-06-25,P009,C008,2021.77
2023-ORD-00046,2023-11-22,P012,C001,550.62
2023-ORD-00047,2023-11-21,P012,C049,2779.92
2023-ORD-00048,2023-11-02,P009,C008,1842.4
2023-ORD-00049,2023-07-04,P010,C007,1935.28
2023-ORD-00050,2023-05-08,P005,C031,804.55
2023-ORD-00051,2023-11-11,P004,C005,2123.63
2023-ORD-00052,2023-11-05,P008,C001,1997.6
2023-ORD-00053,2023-11-30,P011,C039,2602.16
2023-ORD-00054,2023-10-25,P002,C021,2170.37
2023-ORD-00055,2023-10-05,P001,C037,2256.87
2023-ORD-00056,2023-12-02,P002,C023,614.92
2023-ORD-00057,2023-12-15,P002,C033,916.19
2023-ORD-00058,2023-08-04,P002,C010,2870.42
2023-ORD-00059,2023-12-17,P011,C040,1991.33
