OrderID,Qty,MarginUnit,Revenue
ORD-00001,7,177.53,646.55
ORD-00002,4,181.81,1217.37
ORD-00003,1,127.56,1424.15
ORD-00004,4,155.84,2236.88
ORD-00005,5,109.0,2079.12
ORD-00006,9,138.78,2143.67
ORD-00007,9,156.28,2130.73
ORD-00008,3,61.13,1731.83
ORD-00009,8,121.93,919.91
ORD-00010,9,97.31,1118.16
ORD-00011,6,67.64,1929.52
ORD-00012,8,81.55,2971.32
ORD-00013,4,180.45,1044.32
ORD-00014,6,90.58,439.72
ORD-00015,10,172.72,2829.66
ORD-00016,8,194.44,1327.91
ORD-00017,4,153.03,2657.9
ORD-00018,5,94.42,333.92
ORD-00019,9,121.07,142.6
ORD-00020,9,88.08,1835.51
ORD-00021,9,73.65,172.81
ORD-00022,5,113.15,1726.69
ORD-00023,2,76.01,2424.17
ORD-00024,9,175.38,1497.49
ORD-00025,3,117.25,2713.06
ORD-00026,3,191.42,967.72
ORD-00027,10,103.08,1007.58
ORD-00028,4,56.19,2565.82
ORD-00029,1,45.25,1913.04
ORD-00030,5,114.01,1309.99
ORD-00031,2,12.32,2340.18
ORD-00032,9,103.62,2886.78
ORD-00033,3,153.66,1507.92
ORD-00034,6,45.91,515.72
ORD-00035,4,190.41,890.49
ORD-00036,3,58.15,1697.72
ORD-00037,6,39.48,221.68
ORD-00038,4,146.27,1602.91
ORD-00039,8,158.63,2901.03
ORD-00040,8,79.53,2912.25
ORD-00041,4,43.65,2536.49
ORD-00042,3,8.83,1211.24
ORD-00043,5,10.88,2401.72
ORD-00044,4,65.52,2087.4
ORD-00045,4,29.86,170.66
ORD-00046,2,28.41,249.62
ORD-00047,2,195.89,2603.6
ORD-00048,10,187.4,968.23
ORD-00049,8,106.39,702.9
ORD-00050,5,5.07,1789.56
ORD-00051,7,130.09,2094.8
ORD-00052,4,67.43,1705.67
ORD-00053,1,133.0,2375.68
ORD-00054,10,132.82,294.34
ORD-00055,7,125.49,2770.38
ORD-00056,8,101.12,2137.41
ORD-00057,10,169.65,425.58
ORD-00058,10,18.72,2645.21
ORD-00059,4,22.69,465.25
ORD-00060,9,80.67,871.96
ORD-00061,4,14.29,2223.32
ORD-00062,5,91.73,2800.2
ORD-00063,1,58.22,2888.2
ORD-00064,6,25.46,1205.53
ORD-00065,2,126.91,1788.07
ORD-00066,6,70.01,1968.33
ORD-00067,7,55.65,2737.62
ORD-00068,1,71.31,477.94
ORD-00069,1,180.48,1419.15
ORD-00070,10,32.25,675.39
ORD-00071,1,193.94,356.88
ORD-00072,8,40.5,615.58
ORD-00073,8,20.26,2040.13
ORD-00074,9,139.61,2152.58
ORD-00075,2,182.43,403.53
ORD-00076,3,22.5,1430.81
ORD-00077,4,170.71,217.79
ORD-00078,10,99.61,2867.87
ORD-00079,4,6.26,2220.24
ORD-00080,10,139.97,226.97
ORD-00081,8,59.61,512.84
ORD-00082,6,53.26,1606.15
ORD-00083,7,59.65,873.87
ORD-00084,9,120.36,1000.06
ORD-00085,3,166.8,694.82
ORD-00086,2,144.0,2095.8
ORD-00087,1,40.2,1464.91
ORD-00088,7,92.28,1437.12
ORD-00089,2,25.62,1670.14
ORD-00090,10,97.3,1533.23
ORD-00091,4,159.12,797.26
ORD-00092,1,66.11,2773.8
ORD-00093,8,101.51,2840.42
ORD-00094,4,15.2,690.25
ORD-00095,7,156.3,2652.37
ORD-00096,7,29.83,2323.87
ORD-00097,10,62.13,2426.95
ORD-00098,3,162.19,2804.46
ORD-00099,3,183.09,564.24
ORD-00100,7,129.55,1419.18
ORD-00101,6,176.45,2806.08
ORD-00102,3,162.05,2920.81
ORD-00103,1,33.35,738.01
ORD-00104,6,53.77,2732.31
ORD-00105,7,30.12,726.02
ORD-00106,10,176.2,792.65
ORD-00107,3,13.87,2140.49
ORD-00108,7,162.51,332.75
ORD-00109,7,117.86,1033.94
ORD-00110,1,181.06,1570.9
ORD-00111,7,57.25,2010.08
ORD-00112,3,16.56,193.16
ORD-00113,10,159.8,2986.68
ORD-00114,5,15.66,1444.56
ORD-00115,3,42.48,2583.27
ORD-00116,5,143.29,1417.65
ORD-00117,8,22.98,1697.1
ORD-00118,1,180.89,2384.56
ORD-00119,7,119.59,2183.6
ORD-00120,8,164.71,100.51
ORD-00121,9,51.99,2302.69
ORD-00122,7,78.64,2507.99
ORD-00123,3,87.13,1404.5
ORD-00124,5,45.48,532.83
ORD-00125,5,139.86,2756.49
ORD-00126,4,145.33,2457.81
ORD-00127,9,118.67,2988.72
ORD-00128,2,197.21,2843.6
ORD-00129,2,78.77,2019.76
ORD-00130,5,79.68,340.88
ORD-00131,1,86.91,312.08
ORD-00132,4,133.76,2022.24
ORD-00133,2,50.83,1232.01
ORD-00134,4,87.46,2843.57
ORD-00135,2,23.03,81.98
ORD-00136,7,120.39,2237.36
ORD-00137,2,27.78,466.11
ORD-00138,1,81.37,2445.32
ORD-00139,3,71.95,1295.23
ORD-00140,5,191.35,2331.12
ORD-00141,4,52.76,2568.4
ORD-00142,2,82.94,77.52
ORD-00143,8,120.32,2173.45
ORD-00144,8,147.31,1666.85
ORD-00145,2,89.89,289.06
ORD-00146,10,55.35,1285.3
ORD-00147,8,77.75,1624.52
ORD-00148,2,87.5,2522.21
ORD-00149,9,160.66,1090.32
ORD-00150,1,143.98,261.55
ORD-00151,10,123.88,599.11
ORD-00152,8,150.0,1327.85
ORD-00153,6,82.98,2315.78
ORD-00154,6,119.89,562.31
ORD-00155,1,92.09,62.77
ORD-00156,5,121.55,1507.53
ORD-00157,2,92.18,854.12
ORD-00158,4,88.89,1065.94
ORD-00159,4,128.81,1247.35
ORD-00160,2,29.99,2263.55
ORD-00161,6,154.55,1223.65
ORD-00162,1,156.47,1503.1
ORD-00163,4,31.29,1808.93
ORD-00164,8,198.94,1588.54
ORD-00165,3,171.31,894.42
ORD-00166,10,88.24,1412.17
ORD-00167,4,104.91,2890.24
ORD-00168,3,160.86,394.86
ORD-00169,5,157.93,2856.66
ORD-00170,10,121.71,346.43
ORD-00171,9,127.57,389.28
ORD-00172,7,78.65,1600.12
ORD-00173,8,68.26,1412.78
ORD-00174,5,26.42,1425.63
ORD-00175,8,64.86,810.0
ORD-00176,9,43.19,1790.35
ORD-00177,7,12.95,2698.2
ORD-00178,2,5.42,2845.68
ORD-00179,7,122.56,2662.79
ORD-00180,8,89.48,748.88
ORD-00181,9,149.65,648.4
ORD-00182,1,19.68,2031.1
ORD-00183,7,119.37,2756.92
ORD-00184,10,65.14,1365.05
ORD-00185,5,186.73,1655.75
ORD-00186,6,199.41,2065.65
ORD-00187,7,140.46,1612.82
ORD-00188,6,28.63,1713.64
ORD-00189,3,90.16,1559.14
ORD-00190,4,144.2,1403.75
ORD-00191,9,90.17,2951.41
ORD-00192,9,117.9,2320.64
ORD-00193,5,189.74,1252.46
ORD-00194,4,195.8,2923.33
ORD-00195,7,120.95,2251.73
ORD-00196,6,173.84,784.73
ORD-00197,7,194.12,1301.38
ORD-00198,10,115.35,1926.66
ORD-00199,6,45.44,1509.27
ORD-00200,3,55.91,882.61
ORD-00201,5,32.63,1639.4
ORD-00202,6,168.42,2224.35
ORD-00203,8,199.31,1719.85
ORD-00204,4,171.4,2587.12
ORD-00205,5,182.58,2875.08
ORD-00206,9,64.02,2272.19
ORD-00207,7,9.89,1236.68
ORD-00208,4,11.54,2061.62
ORD-00209,8,143.62,136.87
ORD-00210,1,68.26,1071.94
ORD-00211,1,141.02,2188.07
ORD-00212,10,58.49,2657.97
ORD-00213,5,133.6,744.99
ORD-00214,5,121.25,2513.71
ORD-00215,1,143.46,815.75
ORD-00216,8,109.37,1888.8
ORD-00217,1,87.31,2902.0
ORD-00218,9,121.85,448.76
ORD-00219,6,89.54,1752.03
ORD-00220,2,123.54,426.97
ORD-00221,4,20.68,2015.16
ORD-00222,2,10.01,459.0
ORD-00223,3,166.81,326.89
ORD-00224,8,72.72,1613.73
ORD-00225,1,36.87,2526.87
ORD-00226,3,27.2,1498.15
ORD-00227,4,22.93,912.56
ORD-00228,8,31.03,1629.02
ORD-00229,10,15.4,2392.98
ORD-00230,10,193.41,529.0
ORD-00231,7,31.93,1210.97
ORD-00232,7,42.02,922.83
ORD-00233,1,64.86,2247.9
ORD-00234,10,188.93,1047.53
ORD-00235,1,146.29,1684.12
ORD-00236,4,160.39,1013.9
ORD-00237,8,177.27,2715.48
ORD-00238,9,87.19,2486.72
ORD-00239,1,156.97,578.24
ORD-00240,8,5.37,1419.01
ORD-00241,3,50.98,494.72
ORD-00242,3,176.85,824.68
ORD-00243,8,88.13,2719.02
ORD-00244,7,7.39,2988.05
ORD-00245,1,96.71,480.7
ORD-00246,2,49.25,1046.11
ORD-00247,9,170.51,1363.24
ORD-00248,7,167.78,2800.92
ORD-00249,9,172.67,194.24
ORD-00250,6,103.74,2905.88
ORD-00251,9,167.91,1890.68
