OrderID,ProductID,Revenue
ORD-00001,P004,2933.27
ORD-00002,P008,2449.71
ORD-00003,P005,2080.55
ORD-00004,P009,54.38
ORD-00005,P006,2172.02
ORD-00006,P005,457.75
ORD-00007,P012,491.72
ORD-00008,P009,1028.12
ORD-00009,P011,2298.78
ORD-00010,P005,74.28
ORD-00011,P002,2331.12
ORD-00012,P009,1876.72
ORD-00013,P010,272.42
ORD-00014,P009,672.41
ORD-00015,P005,2206.64
ORD-00016,P007,1677.71
ORD-00017,P003,408.73
ORD-00018,P006,256.48
ORD-00019,P012,1943.55
ORD-00020,P011,638.32
ORD-00021,P011,1118.05
ORD-00022,P002,2963.36
ORD-00023,P010,2361.61
ORD-00024,P005,451.56
ORD-00025,P012,1318.68
ORD-00026,P007,2368.43
ORD-00027,P012,2373.78
ORD-00028,P011,2614.25
ORD-00029,P010,2771.53
ORD-00030,P008,1236.91
ORD-00031,P002,2402.44
ORD-00032,P002,2299.81
ORD-00033,P009,1035.21
ORD-00034,P007,1512.43
ORD-00035,P006,274.61
ORD-00036,P008,681.38
ORD-00037,P009,1542.14
ORD-00038,P003,897.99
ORD-00039,P003,524.43
ORD-00040,P012,2795.25
ORD-00041,P005,2129.39
ORD-00042,P006,106.54
ORD-00043,P006,1027.03
ORD-00044,P012,1936.41
ORD-00045,P007,1780.9
ORD-00046,P002,2225.09
ORD-00047,P012,1276.28
ORD-00048,P008,821.56
ORD-00049,P001,1704.75
ORD-00050,P010,2204.11
ORD-00051,P012,921.7
ORD-00052,P009,461.92
ORD-00053,P005,255.01
ORD-00054,P008,1431.08
ORD-00055,P006,1118.9
ORD-00056,P008,490.35
ORD-00057,P010,2475.76
ORD-00058,P008,1694.98
ORD-00059,P012,893.18
ORD-00060,P006,1570.21
ORD-00061,P006,59.19
ORD-00062,P006,1854.26
ORD-00063,P001,547.36
ORD-00064,P009,677.96
ORD-00065,P007,2251.61
ORD-00066,P008,2378.11
ORD-00067,P003,827.78
ORD-00068,P006,661.14
ORD-00069,P010,258.7
ORD-00070,P009,2419.87
ORD-00071,P012,426.89
ORD-00072,P010,1091.11
ORD-00073,P002,118.14
ORD-00074,P006,504.5
ORD-00075,P006,994.47
ORD-00076,P004,1819.38
ORD-00077,P008,2142.6
ORD-00078,P009,2081.95
ORD-00079,P001,578.03
ORD-00080,P004,780.04
ORD-00081,P011,773.83
ORD-00082,P012,2440.63
