OrderID,OrderDate,Revenue
ORD-00001,2024-04-12,780.0
ORD-00002,2024-07-06,2532.19
ORD-00003,2024-07-26,1538.52
ORD-00004,2024-06-30,1356.8
ORD-00005,2024-05-11,2467.63
ORD-00006,2024-08-17,564.82
ORD-00007,2024-08-06,1205.14
ORD-00008,2024-06-03,2036.16
ORD-00009,2024-09-25,370.55
ORD-00010,2024-10-05,1286.2
ORD-00011,2024-10-30,334.03
ORD-00012,2024-03-11,2690.85
ORD-00013,2024-12-05,1620.95
ORD-00014,2024-09-28,1259.19
ORD-00015,2024-02-12,1105.05
ORD-00016,2024-01-25,2610.87
ORD-00017,2024-02-02,1115.62
ORD-00018,2024-03-11,2976.55
ORD-00019,2024-03-27,583.95
ORD-00020,2024-05-13,629.52
ORD-00021,2024-09-27,1710.48
ORD-00022,2024-09-26,83.67
ORD-00023,2024-01-04,2698.14
ORD-00024,2024-11-04,2058.15
ORD-00025,2024-05-07,2511.91
ORD-00026,2024-07-23,222.46
ORD-00027,2024-07-01,1222.43
ORD-00028,2024-09-14,2392.54
ORD-00029,2024-08-19,1161.75
ORD-00030,2024-02-04,2028.11
ORD-00031,2024-06-02,864.43
ORD-00032,2024-03-09,1684.17
ORD-00033,2024-04-25,2962.36
ORD-00034,2024-10-12,1206.7
ORD-00035,2024-05-17,543.9
ORD-00036,2024-11-27,2038.39
ORD-00037,2024-04-12,2695.15
ORD-00038,2024-01-27,2651.62
ORD-00039,2024-04-01,360.13
ORD-00040,2024-09-29,425.93
ORD-00041,2024-12-24,2961.53
ORD-00042,2024-07-07,2965.74
ORD-00043,2024-10-13,1933.7
ORD-00044,2024-07-14,1358.52
ORD-00045,2024-10-05,2397.68
ORD-00046,2024-08-03,1177.78
ORD-00047,2024-10-21,2783.45
ORD-00048,2024-12-09,867.83
ORD-00049,2024-10-28,2347.76
ORD-00050,2024-01-11,357.4
ORD-00051,2024-01-05,1364.44
ORD-00052,2024-12-26,764.31
ORD-00053,2024-02-09,2719.33
ORD-00054,2024-08-01,2687.46
ORD-00055,2024-06-06,1398.44
ORD-00056,2024-12-14,732.47
ORD-00057,2024-05-18,373.87
ORD-00058,2024-05-24,1349.71
ORD-00059,2024-07-18,766.24
ORD-00060,2024-11-01,163.12
ORD-00061,2024-10-29,1983.11
ORD-00062,2024-02-29,2342.87
ORD-00063,2024-01-28,1633.43
ORD-00064,2024-07-03,2390.27
ORD-00065,2024-02-01,1976.25
ORD-00066,2024-08-08,2557.92
