OrderID,SalespersonID,Revenue
ORD-00001,SP015,1701.63
ORD-00002,SP019,3638.26
ORD-00003,SP017,3918.24
ORD-00004,SP011,2620.29
ORD-00005,SP013,2931.69
ORD-00006,SP019,4317.09
ORD-00007,SP009,3180.99
ORD-00008,SP014,3916.93
ORD-00009,SP010,786.0
ORD-00010,SP011,3614.5
ORD-00011,SP018,605.73
ORD-00012,SP006,1403.32
ORD-00013,SP001,3270.3
ORD-00014,SP014,969.54
ORD-00015,SP017,4297.54
ORD-00016,SP017,2075.34
ORD-00017,SP019,617.57
ORD-00018,SP017,1917.28
ORD-00019,SP003,1256.75
ORD-00020,SP015,66.25
ORD-00021,SP010,380.61
ORD-00022,SP015,2381.26
ORD-00023,SP011,2752.16
ORD-00024,SP011,3284.14
ORD-00025,SP008,2842.32
ORD-00026,SP013,2523.72
ORD-00027,SP014,4863.12
ORD-00028,SP016,1092.47
ORD-00029,SP002,1126.89
ORD-00030,SP012,2797.17
ORD-00031,SP014,4791.58
ORD-00032,SP012,3655.29
ORD-00033,SP008,3242.31
ORD-00034,SP015,384.46
ORD-00035,SP012,1765.13
ORD-00036,SP007,4465.58
ORD-00037,SP016,3121.77
ORD-00038,SP011,1300.66
ORD-00039,SP006,3289.39
ORD-00040,SP017,508.33
ORD-00041,SP016,2257.96
ORD-00042,SP013,4709.14
ORD-00043,SP010,2047.72
ORD-00044,SP008,4899.25
ORD-00045,SP019,3977.23
ORD-00046,SP016,3807.63
ORD-00047,SP003,4362.22
ORD-00048,SP007,3238.03
ORD-00049,SP001,2284.0
ORD-00050,SP016,3292.44
ORD-00051,SP011,2482.69
ORD-00052,SP006,3656.16
ORD-00053,SP001,471.42
ORD-00054,SP018,3240.52
ORD-00055,SP004,4534.95
ORD-00056,SP003,3311.16
ORD-00057,SP009,3094.24
ORD-00058,SP015,444.28
ORD-00059,SP005,2257.49
ORD-00060,SP012,53.23
ORD-00061,SP009,1046.34
ORD-00062,SP005,4502.92
ORD-00063,SP015,4077.34
ORD-00064,SP006,3088.28
ORD-00065,SP001,3469.02
ORD-00066,SP004,1423.23
ORD-00067,SP013,4257.85
ORD-00068,SP020,2340.49
ORD-00069,SP010,2528.57
ORD-00070,SP017,4108.86
ORD-00071,SP018,2285.04
ORD-00072,SP017,4434.7
ORD-00073,SP005,966.08
ORD-00074,SP002,3599.08
ORD-00075,SP011,4951.19
ORD-00076,SP018,4392.01
ORD-00077,SP011,1396.73
ORD-00078,SP006,1848.83
ORD-00079,SP019,875.63
ORD-00080,SP017,3208.58
ORD-00081,SP020,3934.15
ORD-00082,SP006,4956.51
ORD-00083,SP014,229.13
ORD-00084,SP002,978.88
ORD-00085,SP006,3714.83
ORD-00086,SP001,1760.59
ORD-00087,SP013,1840.22
ORD-00088,SP010,3328.02
ORD-00089,SP007,4628.6
ORD-00090,SP008,4612.01
ORD-00091,SP018,4821.51
ORD-00092,SP010,2763.69
ORD-00093,SP004,2158.61
ORD-00094,SP005,954.57
ORD-00095,SP001,1920.74
ORD-00096,SP019,3661.05
ORD-00097,SP016,4540.43
ORD-00098,SP004,2647.84
ORD-00099,SP017,960.64
ORD-00100,SP017,3186.62
ORD-00101,SP019,4364.17
ORD-00102,SP014,1745.72
ORD-00103,SP001,4397.76
ORD-00104,SP016,3177.77
ORD-00105,SP009,2338.04
ORD-00106,SP011,4874.86
ORD-00107,SP009,2861.43
ORD-00108,SP020,2434.37
ORD-00109,SP007,2197.69
ORD-00110,SP018,811.09
ORD-00111,SP003,143.76
ORD-00112,SP009,1396.81
ORD-00113,SP015,4731.39
ORD-00114,SP019,2400.74
ORD-00115,SP015,4349.78
ORD-00116,SP008,602.01
ORD-00117,SP007,2775.59
ORD-00118,SP020,4292.45
ORD-00119,SP009,1100.12
ORD-00120,SP009,3456.04
ORD-00121,SP010,224.33
ORD-00122,SP009,2929.46
ORD-00123,SP007,2908.85
ORD-00124,SP014,3176.5
ORD-00125,SP018,889.35
ORD-00126,SP019,4502.76
ORD-00127,SP007,4245.89
ORD-00128,SP002,3883.49
ORD-00129,SP011,88.54
ORD-00130,SP012,110.3
ORD-00131,SP006,698.15
ORD-00132,SP013,3944.08
ORD-00133,SP002,4440.0
ORD-00134,SP012,2682.36
ORD-00135,SP005,1818.84
ORD-00136,SP009,1505.97
ORD-00137,SP013,3215.86
ORD-00138,SP010,2011.12
ORD-00139,SP004,4208.75
ORD-00140,SP013,3862.7
ORD-00141,SP018,894.14
ORD-00142,SP017,834.22
ORD-00143,SP008,980.5
ORD-00144,SP002,375.27
ORD-00145,SP017,4399.7
ORD-00146,SP004,2899.55
ORD-00147,SP010,1319.56
ORD-00148,SP015,2153.13
ORD-00149,SP001,666.68
ORD-00150,SP015,4184.72
ORD-00151,SP015,2860.84
ORD-00152,SP015,1665.28
ORD-00153,SP002,2066.44
ORD-00154,SP015,3989.68
ORD-00155,SP013,4791.24
ORD-00156,SP015,1159.62
ORD-00157,SP011,4421.37
ORD-00158,SP006,396.9
ORD-00159,SP011,4633.81
ORD-00160,SP009,2553.75
ORD-00161,SP004,1009.77
ORD-00162,SP012,909.61
ORD-00163,SP001,3271.54
ORD-00164,SP011,1778.71
ORD-00165,SP012,4160.18
ORD-00166,SP008,1560.52
ORD-00167,SP003,505.26
ORD-00168,SP012,4161.35
ORD-00169,SP006,3570.74
ORD-00170,SP010,2781.75
ORD-00171,SP009,2964.21
ORD-00172,SP020,3015.38
ORD-00173,SP020,4535.88
ORD-00174,SP005,1655.62
ORD-00175,SP009,2104.59
ORD-00176,SP009,107.48
ORD-00177,SP003,3096.1
ORD-00178,SP016,1873.65
ORD-00179,SP015,1748.21
ORD-00180,SP008,1028.14
ORD-00181,SP005,3289.0
ORD-00182,SP007,2942.94
ORD-00183,SP005,1775.2
ORD-00184,SP013,1786.16
