OrderID,OrderDate,ProductID,CustomerID,Revenue,Cost,Region,Category
ORD-00001,2024-08-04,P009,C040,2240.77,1639.57,DE,Accessoires
ORD-00002,2024-05-27,P012,C022,507.25,296.5,FR,Périphériques
ORD-00003,2024-04-05,P007,C012,1831.97,1109.95,DE,Périphériques
ORD-00004,2024-03-18,P004,C024,562.16,232.53,DE,Électronique
ORD-00005,2024-05-30,P002,C036,1708.06,918.67,ES,Électronique
ORD-00006,2024-12-10,P002,C025,1965.9,1281.89,IT,Électronique
ORD-00007,2024-03-19,P010,C045,1264.59,824.15,DE,Accessoires
ORD-00008,2024-01-30,P012,C002,1334.09,980.5,UK,Périphériques
ORD-00009,2024-10-26,P007,C048,2842.03,1402.84,IT,Périphériques
ORD-00010,2024-01-04,P007,C037,756.65,368.29,FR,Périphériques
ORD-00011,2024-12-09,P002,C004,943.02,401.9,ES,Électronique
ORD-00012,2024-07-04,P002,C027,315.64,154.36,FR,Électronique
ORD-00013,2024-01-10,P011,C045,794.78,355.76,ES,Accessoires
ORD-00014,2024-11-05,P003,C039,2714.97,1938.42,IT,Électronique
ORD-00015,2024-01-03,P002,C021,2199.12,1456.7,ES,Électronique
ORD-00016,2024-03-17,P001,C019,2842.45,1715.36,FR,Électronique
ORD-00017,2024-08-30,P004,C049,2945.45,1910.26,FR,Électronique
ORD-00018,2024-06-21,P011,C044,356.45,239.79,IT,Accessoires
ORD-00019,2024-06-20,P010,C016,1101.61,571.67,DE,Accessoires
ORD-00020,2024-10-14,P004,C041,1000.53,453.96,DE,Électronique
ORD-00021,2024-04-23,P009,C012,1705.56,704.94,IT,Accessoires
ORD-00022,2024-07-30,P001,C008,1671.31,877.99,ES,Électronique
ORD-00023,2024-01-12,P012,C034,1804.15,811.84,IT,Périphériques
ORD-00024,2024-12-22,P005,C017,860.69,453.95,IT,Périphériques
ORD-00025,2024-05-05,P010,C006,1072.04,711.97,FR,Accessoires
ORD-00026,2024-03-10,P007,C031,306.07,153.46,ES,Périphériques
ORD-00027,2024-07-17,P004,C029,1353.68,818.54,DE,Électronique
ORD-00028,2024-09-06,P002,C001,2650.42,1411.17,ES,Électronique
ORD-00029,2024-05-20,P002,C046,2924.89,1699.07,FR,Électronique
ORD-00030,2024-06-03,P009,C023,1543.69,739.56,IT,Accessoires
ORD-00031,2024-02-26,P006,C015,1312.81,620.98,UK,Périphériques
ORD-00032,2024-03-31,P001,C024,2409.95,975.28,IT,Électronique
ORD-00033,2024-02-25,P005,C012,2370.46,1368.39,UK,Périphériques
ORD-00034,2024-02-03,P008,C035,2492.35,1338.65,UK,Accessoires
ORD-00035,2024-09-08,P004,C012,638.1,447.05,IT,Électronique
ORD-00036,2024-06-18,P001,C001,1390.04,608.41,IT,Électronique
ORD-00037,2024-07-20,P002,C003,58.37,31.22,FR,Électronique
ORD-00038,2024-09-01,P010,C039,2772.29,1191.6,DE,Accessoires
ORD-00039,2024-08-25,P002,C041,1783.18,1024.97,FR,Électronique
ORD-00040,2024-05-14,P010,C001,2153.22,1059.52,FR,Accessoires
ORD-00041,2024-07-28,P010,C048,738.71,418.39,IT,Accessoires
ORD-00042,2024-09-13,P002,C033,153.87,98.0,ES,Électronique
ORD-00043,2024-09-15,P002,C040,2795.5,1333.69,ES,Électronique
ORD-00044,2024-02-08,P003,C023,284.84,150.65,IT,Électronique
ORD-00045,2024-05-27,P006,C024,267.35,183.96,FR,Périphériques
ORD-00046,2024-06-10,P008,C038,2128.33,873.92,FR,Accessoires
ORD-00047,2024-07-12,P011,C026,400.88,228.85,ES,Accessoires
ORD-00048,2024-03-08,P008,C029,1123.06,515.31,DE,Accessoires
ORD-00049,2024-03-07,P009,C031,2242.09,1283.37,IT,Accessoires
ORD-00050,2024-08-17,P004,C032,2333.18,1102.02,DE,Électronique
ORD-00051,2024-04-05,P012,C049,213.94,111.88,IT,Périphériques
ORD-00052,2024-01-05,P001,C049,2307.96,1546.9,UK,Électronique
ORD-00053,2024-08-17,P008,C025,1034.58,484.81,IT,Accessoires
ORD-00054,2024-12-20,P002,C008,2936.01,1756.66,IT,Électronique
ORD-00055,2024-08-19,P002,C034,2276.94,935.81,DE,Électronique
ORD-00056,2024-09-15,P010,C046,432.01,230.54,ES,Accessoires
ORD-00057,2024-09-20,P002,C025,2924.17,1924.97,DE,Électronique
ORD-00058,2024-02-01,P002,C038,99.25,57.75,FR,Électronique
ORD-00059,2024-03-10,P005,C028,378.83,259.52,ES,Périphériques
ORD-00060,2024-11-13,P004,C040,2218.96,1519.18,ES,Électronique
ORD-00061,2024-09-08,P006,C009,2286.85,1034.49,DE,Périphériques
ORD-00062,2024-12-28,P012,C038,2831.53,1816.17,UK,Périphériques
ORD-00063,2024-05-20,P012,C042,2557.86,1398.02,DE,Périphériques
ORD-00064,2024-03-23,P009,C023,1646.91,968.22,FR,Accessoires
ORD-00065,2024-07-19,P008,C049,2389.43,1212.13,UK,Accessoires
ORD-00066,2024-04-28,P002,C018,874.8,391.65,UK,Électronique
ORD-00067,2024-07-28,P007,C039,1783.86,921.61,IT,Périphériques
ORD-00068,2024-12-02,P011,C015,772.2,552.77,DE,Accessoires
ORD-00069,2024-10-11,P002,C021,666.96,365.43,FR,Électronique
ORD-00070,2024-10-02,P002,C014,2043.58,1090.9,IT,Électronique
ORD-00071,2024-09-21,P012,C009,495.5,199.42,IT,Périphériques
ORD-00072,2024-10-28,P009,C011,1998.28,1347.36,DE,Accessoires
ORD-00073,2024-09-23,P001,C018,99.64,71.64,DE,Électronique
ORD-00074,2024-07-12,P006,C022,836.97,408.18,IT,Périphériques
ORD-00075,2024-01-13,P004,C013,2778.65,1440.49,DE,Électronique
ORD-00076,2024-12-11,P010,C038,2091.16,1488.06,FR,Accessoires
ORD-00077,2024-01-14,P008,C016,120.82,83.74,IT,Accessoires
ORD-00078,2024-01-28,P011,C049,996.09,642.46,FR,Accessoires
ORD-00079,2024-12-10,P002,C005,2838.61,2057.84,IT,Électronique
ORD-00080,2024-10-19,P007,C043,2640.41,1186.27,DE,Périphériques
ORD-00081,2024-11-02,P012,C003,2695.37,1527.83,DE,Périphériques
ORD-00082,2024-11-15,P008,C047,1743.24,901.16,IT,Accessoires
ORD-00083,2024-03-07,P002,C037,1217.28,552.29,IT,Électronique
ORD-00084,2024-12-01,P009,C023,2468.55,1836.01,DE,Accessoires
ORD-00085,2024-02-06,P012,C016,1516.59,784.18,DE,Périphériques
ORD-00086,2024-03-07,P004,C029,912.93,638.14,ES,Électronique
ORD-00087,2024-09-30,P011,C041,114.71,65.42,ES,Accessoires
ORD-00088,2024-01-06,P003,C030,1564.53,1157.88,ES,Électronique
ORD-00089,2024-06-17,P006,C036,2806.26,1409.49,IT,Périphériques
ORD-00090,2024-01-18,P011,C036,856.21,370.54,FR,Accessoires
ORD-00091,2024-10-30,P002,C003,2184.26,1025.49,IT,Électronique
ORD-00092,2024-03-27,P005,C048,260.86,121.45,DE,Périphériques
ORD-00093,2024-01-06,P002,C003,835.3,341.79,UK,Électronique
ORD-00094,2024-09-08,P006,C050,1170.49,772.76,UK,Périphériques
ORD-00095,2024-05-04,P003,C027,1890.12,1397.3,ES,Électronique
ORD-00096,2024-01-31,P007,C010,1763.91,1198.91,FR,Périphériques
ORD-00097,2024-01-18,P004,C031,2454.67,1813.5,FR,Électronique
ORD-00098,2024-04-30,P008,C041,2609.44,1736.3,ES,Accessoires
ORD-00099,2024-03-21,P007,C033,2629.68,1122.93,FR,Périphériques
ORD-00100,2024-06-21,P006,C016,2320.6,1483.64,DE,Périphériques
ORD-00101,2024-01-22,P012,C011,55.88,36.79,DE,Périphériques
ORD-00102,2024-10-25,P012,C042,2180.6,1577.35,UK,Périphériques
ORD-00103,2024-10-07,P004,C040,2216.76,943.97,ES,Électronique
ORD-00104,2024-10-14,P012,C030,1661.95,862.6,ES,Périphériques
ORD-00105,2024-02-12,P001,C028,454.49,188.9,FR,Électronique
ORD-00106,2024-10-12,P009,C009,946.49,666.27,FR,Accessoires
ORD-00107,2024-10-02,P002,C027,318.68,130.04,UK,Électronique
ORD-00108,2024-10-29,P006,C049,384.8,273.93,ES,Périphériques
ORD-00109,2024-11-18,P006,C041,1944.07,1414.6,DE,Périphériques
ORD-00110,2024-02-06,P009,C040,700.24,349.03,ES,Accessoires
ORD-00111,2024-05-05,P006,C010,566.91,250.14,IT,Périphériques
ORD-00112,2024-08-29,P003,C009,1821.94,1329.33,UK,Électronique
ORD-00113,2024-09-03,P005,C043,118.38,50.47,ES,Périphériques
ORD-00114,2024-03-20,P010,C011,2660.03,1527.24,IT,Accessoires
ORD-00115,2024-06-10,P010,C027,741.76,420.76,DE,Accessoires
ORD-00116,2024-05-04,P001,C046,1882.58,967.74,FR,Électronique
ORD-00117,2024-04-22,P003,C016,829.73,342.89,IT,Électronique
ORD-00118,2024-09-22,P010,C037,2254.3,1229.93,ES,Accessoires
ORD-00119,2024-05-29,P007,C005,215.01,91.45,FR,Périphériques
ORD-00120,2024-05-17,P009,C045,533.96,254.48,UK,Accessoires
ORD-00121,2024-01-11,P008,C001,2623.99,1520.16,FR,Accessoires
ORD-00122,2024-12-05,P011,C031,231.85,116.05,IT,Accessoires
ORD-00123,2024-09-01,P009,C022,1883.67,1214.13,IT,Accessoires
ORD-00124,2024-12-05,P004,C045,2075.66,1294.0,DE,Électronique
ORD-00125,2024-03-30,P002,C012,1658.82,1243.64,IT,Électronique
ORD-00126,2024-12-24,P007,C026,1479.31,1019.36,FR,Périphériques
ORD-00127,2024-08-14,P002,C006,237.13,136.36,DE,Électronique
ORD-00128,2024-05-30,P006,C024,485.5,277.65,UK,Périphériques
ORD-00129,2024-08-05,P002,C014,293.21,203.78,FR,Électronique
ORD-00130,2024-09-24,P011,C033,1544.59,911.33,ES,Accessoires
ORD-00131,2024-12-26,P010,C019,2764.53,1561.63,IT,Accessoires
ORD-00132,2024-02-17,P001,C028,435.16,175.27,UK,Électronique
ORD-00133,2024-11-18,P005,C003,2097.47,936.56,IT,Périphériques
ORD-00134,2024-12-09,P009,C049,2506.81,1678.94,DE,Accessoires
ORD-00135,2024-03-06,P006,C008,1616.37,693.44,DE,Périphériques
ORD-00136,2024-10-31,P007,C037,929.61,494.5,ES,Périphériques
ORD-00137,2024-03-01,P008,C001,2970.29,1831.53,IT,Accessoires
ORD-00138,2024-09-11,P003,C025,1813.97,1036.78,UK,Électronique
ORD-00139,2024-01-04,P007,C026,987.9,733.46,DE,Périphériques
ORD-00140,2024-09-15,P012,C050,879.1,405.69,DE,Périphériques
ORD-00141,2024-12-19,P012,C044,2883.89,1502.66,UK,Périphériques
ORD-00142,2024-05-28,P006,C009,1895.07,906.01,UK,Périphériques
ORD-00143,2024-08-09,P002,C042,1016.68,693.82,UK,Électronique
ORD-00144,2024-02-05,P002,C044,539.1,283.12,IT,Électronique
ORD-00145,2024-12-01,P003,C030,1162.38,603.2,FR,Électronique
ORD-00146,2024-12-10,P007,C048,1604.02,702.24,FR,Périphériques
ORD-00147,2024-03-17,P010,C026,418.68,313.09,UK,Accessoires
ORD-00148,2024-08-04,P007,C027,1575.23,868.89,ES,Périphériques
ORD-00149,2024-07-11,P010,C038,1463.79,867.39,DE,Accessoires
ORD-00150,2024-07-01,P004,C020,608.01,398.17,ES,Électronique
ORD-00151,2024-03-03,P007,C018,2623.94,1864.75,IT,Périphériques
ORD-00152,2024-07-20,P003,C011,86.85,35.76,FR,Électronique
ORD-00153,2024-02-17,P008,C031,2142.9,1223.1,DE,Accessoires
ORD-00154,2024-11-10,P003,C043,1640.39,1091.43,IT,Électronique
ORD-00155,2024-08-11,P008,C026,839.1,379.95,IT,Accessoires
ORD-00156,2024-02-19,P001,C029,464.04,253.0,IT,Électronique
ORD-00157,2024-11-10,P004,C050,2853.12,1447.33,DE,Électronique
ORD-00158,2024-10-20,P004,C044,2826.19,1360.64,FR,Électronique
ORD-00159,2024-12-29,P010,C017,1506.54,619.5,DE,Accessoires
