OrderID,OrderDate,ProductID,CustomerID,Revenue,Region,Country,Category
ORD-00001,2024-01-11,P001,C037,718.07,DE,France,Électronique
ORD-00002,2024-07-17,P012,C048,1924.55,ES,Italie,Périphériques
ORD-00003,2024-08-06,P010,C050,1867.1,FR,Allemagne,Accessoires
ORD-00004,2024-05-07,P005,C020,1798.09,IT,Italie,Périphériques
ORD-00005,2024-10-11,P006,C048,987.07,UK,Allemagne,Périphériques
ORD-00006,2024-09-13,P012,C050,2680.9,IT,Allemagne,Périphériques
ORD-00007,2024-11-15,P005,C038,2414.73,FR,Italie,Périphériques
ORD-00008,2024-04-17,P001,C004,961.84,ES,Italie,Électronique
ORD-00009,2024-05-02,P004,C010,1662.2,FR,France,Électronique
ORD-00010,2024-09-06,P011,C050,2176.0,FR,Italie,Accessoires
ORD-00011,2024-09-25,P006,C005,357.65,UK,Espagne,Périphériques
ORD-00012,2024-02-21,P003,C037,2942.27,ES,Espagne,Électronique
ORD-00013,2024-04-02,P008,C028,2415.31,FR,Allemagne,Accessoires
ORD-00014,2024-10-18,P009,C008,1582.63,ES,Espagne,Accessoires
ORD-00015,2024-09-08,P010,C049,1539.3,DE,France,Accessoires
ORD-00016,2024-10-25,P006,C023,644.38,UK,Italie,Périphériques
ORD-00017,2024-11-04,P001,C047,727.93,DE,Allemagne,Électronique
ORD-00018,2024-06-02,P008,C003,1149.92,ES,Allemagne,Accessoires
ORD-00019,2024-03-19,P004,C042,2928.64,ES,Italie,Électronique
ORD-00020,2024-08-22,P001,C049,2833.49,IT,Espagne,Électronique
ORD-00021,2024-07-28,P003,C018,2433.39,IT,Italie,Électronique
ORD-00022,2024-02-16,P003,C020,2512.04,DE,Royaume-Uni,Électronique
ORD-00023,2024-12-12,P005,C050,565.01,ES,Espagne,Périphériques
ORD-00024,2024-09-06,P002,C050,466.0,DE,Espagne,Électronique
ORD-00025,2024-09-18,P004,C031,276.62,UK,France,Électronique
ORD-00026,2024-10-12,P008,C038,1169.77,UK,France,Accessoires
ORD-00027,2024-10-19,P007,C043,2552.57,IT,Allemagne,Périphériques
ORD-00028,2024-11-07,P011,C047,1344.33,ES,Royaume-Uni,Accessoires
ORD-00029,2024-09-27,P001,C023,2819.52,ES,Italie,Électronique
ORD-00030,2024-12-25,P004,C010,525.44,DE,France,Électronique
ORD-00031,2024-05-29,P008,C037,914.43,IT,Royaume-Uni,Accessoires
ORD-00032,2024-09-02,P006,C020,2027.68,FR,Allemagne,Périphériques
ORD-00033,2024-01-07,P004,C020,1734.24,DE,Allemagne,Électronique
ORD-00034,2024-05-08,P006,C005,1253.54,DE,Allemagne,Périphériques
ORD-00035,2024-01-12,P004,C034,2969.33,UK,Espagne,Électronique
ORD-00036,2024-07-29,P005,C045,66.17,ES,Espagne,Périphériques
ORD-00037,2024-12-06,P002,C039,822.93,IT,Allemagne,Électronique
ORD-00038,2024-04-15,P001,C006,2341.35,UK,Royaume-Uni,Électronique
ORD-00039,2024-06-12,P007,C016,2953.76,UK,Italie,Périphériques
ORD-00040,2024-09-22,P011,C016,222.5,ES,Allemagne,Accessoires
ORD-00041,2024-03-23,P008,C024,1726.87,ES,France,Accessoires
ORD-00042,2024-03-12,P003,C009,872.01,UK,Espagne,Électronique
ORD-00043,2024-04-30,P010,C023,2399.97,DE,Espagne,Accessoires
ORD-00044,2024-02-24,P008,C004,2560.28,FR,Espagne,Accessoires
ORD-00045,2024-07-02,P004,C001,1639.3,FR,Royaume-Uni,Électronique
ORD-00046,2024-05-16,P003,C032,343.22,IT,Espagne,Électronique
ORD-00047,2024-11-05,P004,C026,732.92,DE,Italie,Électronique
ORD-00048,2024-08-20,P007,C029,1368.95,IT,France,Périphériques
ORD-00049,2024-09-14,P005,C015,1466.76,ES,Espagne,Périphériques
ORD-00050,2024-01-12,P005,C041,1720.16,FR,Allemagne,Périphériques
ORD-00051,2024-09-07,P011,C048,2874.55,FR,Royaume-Uni,Accessoires
ORD-00052,2024-08-09,P001,C020,386.67,DE,Espagne,Électronique
ORD-00053,2024-01-16,P007,C017,2542.56,IT,France,Périphériques
