OrderID,Region,ProductID,Revenue
ORD-00001,UK,P009,2506.62
ORD-00002,IT,P007,2069.75
ORD-00003,ES,P011,820.81
ORD-00004,DE,P002,307.25
ORD-00005,IT,P007,1419.28
ORD-00006,IT,P005,776.81
ORD-00007,DE,P003,1328.74
ORD-00008,FR,P012,2625.69
ORD-00009,IT,P002,172.27
ORD-00010,FR,P011,2682.93
ORD-00011,DE,P005,1358.58
ORD-00012,DE,P011,2827.14
ORD-00013,FR,P010,1437.18
ORD-00014,IT,P011,647.19
ORD-00015,UK,P003,2367.23
ORD-00016,UK,P011,583.99
ORD-00017,DE,P001,1165.53
ORD-00018,FR,P010,764.27
ORD-00019,FR,P011,1763.53
ORD-00020,DE,P009,557.85
ORD-00021,UK,P002,2542.41
ORD-00022,FR,P007,381.75
ORD-00023,FR,P001,2217.76
ORD-00024,UK,P003,2945.99
ORD-00025,IT,P012,337.03
ORD-00026,IT,P004,1715.34
ORD-00027,FR,P003,1649.01
ORD-00028,IT,P001,2088.02
ORD-00029,DE,P009,689.6
ORD-00030,DE,P004,711.23
ORD-00031,IT,P001,2975.0
ORD-00032,UK,P002,1699.68
ORD-00033,IT,P012,2963.11
ORD-00034,DE,P001,1123.39
ORD-00035,ES,P004,356.59
ORD-00036,FR,P011,2697.44
ORD-00037,FR,P012,2477.41
ORD-00038,FR,P002,639.51
ORD-00039,ES,P008,2413.81
ORD-00040,DE,P007,210.05
ORD-00041,FR,P008,2982.49
ORD-00042,ES,P012,2988.53
ORD-00043,ES,P010,2080.07
ORD-00044,UK,P004,2182.87
ORD-00045,UK,P012,1898.12
ORD-00046,UK,P006,1319.43
ORD-00047,FR,P009,1982.11
ORD-00048,UK,P002,334.91
ORD-00049,FR,P002,313.63
ORD-00050,DE,P008,2892.19
ORD-00051,UK,P006,809.82
ORD-00052,DE,P008,817.25
ORD-00053,UK,P004,911.76
ORD-00054,DE,P010,2799.62
ORD-00055,IT,P004,2224.25
ORD-00056,DE,P004,2927.39
ORD-00057,ES,P007,2292.03
ORD-00058,DE,P007,2039.26
ORD-00059,ES,P006,2047.83
ORD-00060,FR,P002,192.84
ORD-00061,FR,P004,576.25
ORD-00062,DE,P010,243.71
ORD-00063,ES,P008,462.14
ORD-00064,FR,P011,568.31
ORD-00065,UK,P009,2017.69
ORD-00066,IT,P004,373.86
ORD-00067,UK,P009,2637.6
ORD-00068,ES,P003,2196.24
ORD-00069,DE,P006,2325.25
ORD-00070,DE,P006,1656.98
ORD-00071,ES,P011,383.81
ORD-00072,ES,P004,571.1
ORD-00073,IT,P005,523.74
ORD-00074,DE,P006,1567.97
ORD-00075,UK,P005,2885.6
ORD-00076,IT,P007,2608.8
ORD-00077,FR,P004,1305.88
ORD-00078,DE,P004,2660.75
ORD-00079,FR,P002,1448.95
ORD-00080,FR,P006,1535.04
ORD-00081,IT,P002,2574.01
ORD-00082,IT,P006,605.62
ORD-00083,DE,P008,217.04
ORD-00084,FR,P003,106.2
ORD-00085,FR,P010,2690.77
ORD-00086,IT,P010,1477.13
ORD-00087,IT,P010,1322.87
ORD-00088,FR,P012,712.46
ORD-00089,DE,P005,468.38
ORD-00090,IT,P005,2312.11
ORD-00091,UK,P009,2882.2
ORD-00092,IT,P012,1319.85
ORD-00093,UK,P006,2726.89
ORD-00094,DE,P001,2245.22
ORD-00095,UK,P008,1907.63
ORD-00096,UK,P002,2109.38
ORD-00097,ES,P001,184.4
ORD-00098,FR,P006,1280.58
ORD-00099,UK,P004,269.34
ORD-00100,UK,P008,507.2
ORD-00101,UK,P012,1335.92
ORD-00102,FR,P001,2264.2
ORD-00103,UK,P009,1184.67
ORD-00104,IT,P005,2626.35
ORD-00105,IT,P003,562.29
ORD-00106,FR,P006,1535.26
ORD-00107,DE,P003,337.82
ORD-00108,ES,P011,722.35
ORD-00109,IT,P012,2233.86
ORD-00110,ES,P008,2906.49
ORD-00111,FR,P007,1094.06
ORD-00112,FR,P010,1558.53
ORD-00113,UK,P010,1684.54
ORD-00114,UK,P008,1817.01
ORD-00115,IT,P006,990.18
ORD-00116,ES,P010,186.7
ORD-00117,FR,P005,2193.08
ORD-00118,IT,P003,1341.13
ORD-00119,UK,P002,1746.57
ORD-00120,FR,P007,2875.3
ORD-00121,FR,P004,1544.54
ORD-00122,ES,P005,249.97
ORD-00123,DE,P009,2702.31
ORD-00124,IT,P003,268.56
ORD-00125,UK,P006,1423.84
ORD-00126,ES,P004,50.35
ORD-00127,UK,P006,509.82
ORD-00128,FR,P007,2453.52
ORD-00129,DE,P008,2765.44
ORD-00130,IT,P011,141.95
ORD-00131,IT,P011,891.24
ORD-00132,UK,P003,2902.73
ORD-00133,UK,P010,1860.22
ORD-00134,FR,P003,975.64
ORD-00135,IT,P006,2862.27
ORD-00136,UK,P005,661.59
ORD-00137,DE,P006,2042.08
ORD-00138,ES,P005,88.23
ORD-00139,IT,P004,2171.66
ORD-00140,UK,P006,2417.38
ORD-00141,DE,P008,2180.82
ORD-00142,DE,P001,850.67
ORD-00143,IT,P001,1827.42
ORD-00144,DE,P001,1499.27
ORD-00145,ES,P005,115.08
ORD-00146,FR,P009,538.01
ORD-00147,DE,P006,317.84
ORD-00148,UK,P003,876.06
ORD-00149,UK,P007,2158.29
ORD-00150,ES,P003,1708.29
ORD-00151,FR,P005,1034.79
ORD-00152,FR,P004,2576.78
ORD-00153,UK,P012,2219.85
ORD-00154,FR,P004,2591.77
ORD-00155,IT,P002,2751.48
ORD-00156,ES,P010,137.21
ORD-00157,FR,P003,2091.38
ORD-00158,UK,P007,2237.88
ORD-00159,ES,P011,237.55
ORD-00160,DE,P004,185.28
ORD-00161,IT,P012,2919.09
ORD-00162,DE,P001,2481.17
