OrderID,Revenue,Cost
ORD-00001,2263.74,1839.2
ORD-00002,764.25,629.32
ORD-00003,1822.64,1283.25
ORD-00004,1468.48,846.51
ORD-00005,1927.15,1080.26
ORD-00006,619.78,368.49
ORD-00007,2183.68,1607.42
ORD-00008,2485.67,1854.7
ORD-00009,662.88,440.53
ORD-00010,2262.06,1667.78
ORD-00011,189.51,127.06
ORD-00012,1019.59,788.21
ORD-00013,819.33,551.79
ORD-00014,867.06,515.22
ORD-00015,2261.16,1482.65
ORD-00016,698.78,501.13
ORD-00017,168.18,104.31
ORD-00018,2211.15,1253.98
ORD-00019,1695.02,1069.99
ORD-00020,564.82,394.92
ORD-00021,626.62,517.47
ORD-00022,1254.92,787.82
ORD-00023,498.64,285.95
ORD-00024,2707.58,2197.17
ORD-00025,591.13,457.52
ORD-00026,2607.59,1694.71
ORD-00027,1055.87,701.68
ORD-00028,1875.33,1471.31
ORD-00029,2731.47,1690.53
ORD-00030,2677.04,2023.72
ORD-00031,1791.84,1191.26
ORD-00032,1460.98,830.81
ORD-00033,107.19,89.62
ORD-00034,1144.12,877.48
ORD-00035,1216.8,837.88
ORD-00036,114.95,83.16
ORD-00037,1016.99,635.05
ORD-00038,734.11,492.74
ORD-00039,2406.33,1987.75
ORD-00040,146.01,110.78
ORD-00041,2964.47,1887.14
ORD-00042,519.19,335.94
ORD-00043,1957.22,1147.59
ORD-00044,1736.37,1356.02
ORD-00045,1331.91,952.2
ORD-00046,1151.23,835.22
ORD-00047,2653.92,2217.72
ORD-00048,2883.01,2375.09
ORD-00049,952.6,575.3
ORD-00050,1784.74,1090.48
ORD-00051,786.51,562.3
ORD-00052,2102.18,1459.3
ORD-00053,1379.8,780.72
ORD-00054,1611.65,1353.27
ORD-00055,759.79,617.68
ORD-00056,1926.0,1126.45
ORD-00057,2852.62,1684.93
ORD-00058,431.53,272.78
ORD-00059,304.28,240.27
ORD-00060,1559.08,1226.46
ORD-00061,2531.24,1466.92
ORD-00062,2665.55,1498.7
ORD-00063,308.36,187.45
ORD-00064,540.88,447.05
ORD-00065,742.82,588.52
ORD-00066,1963.05,1174.46
ORD-00067,2911.14,2381.73
ORD-00068,1522.9,1020.57
ORD-00069,1102.62,730.75
ORD-00070,1332.17,1017.79
ORD-00071,1812.67,1462.42
ORD-00072,1043.69,742.09
ORD-00073,322.26,219.36
ORD-00074,2287.47,1437.37
ORD-00075,1803.56,1239.57
ORD-00076,2676.0,2267.38
ORD-00077,2333.01,1600.74
ORD-00078,754.73,636.87
ORD-00079,1107.53,678.22
ORD-00080,778.82,591.9
ORD-00081,1278.94,755.52
ORD-00082,2608.36,2132.33
ORD-00083,1633.93,952.51
ORD-00084,908.55,762.22
ORD-00085,1987.7,1260.71
ORD-00086,2537.59,1668.09
ORD-00087,813.44,502.14
ORD-00088,2201.72,1778.75
ORD-00089,2973.04,1912.62
ORD-00090,2738.55,1743.91
ORD-00091,1532.67,942.45
ORD-00092,1205.44,846.09
ORD-00093,857.79,706.83
ORD-00094,569.76,461.11
ORD-00095,992.4,766.22
ORD-00096,2753.56,2237.71
ORD-00097,2112.84,1168.48
ORD-00098,99.66,55.33
ORD-00099,2975.91,1889.24
ORD-00100,1274.92,927.57
ORD-00101,2821.31,1672.93
ORD-00102,629.5,427.93
ORD-00103,980.95,721.56
ORD-00104,1647.75,1277.18
ORD-00105,932.87,679.53
ORD-00106,1309.07,770.87
ORD-00107,2696.77,1551.67
ORD-00108,1818.16,1299.08
ORD-00109,721.55,505.0
ORD-00110,882.4,721.88
ORD-00111,2836.03,1946.35
ORD-00112,2636.0,2042.38
ORD-00113,2997.74,2112.25
ORD-00114,605.17,470.42
ORD-00115,404.44,245.28
ORD-00116,2925.36,2009.17
ORD-00117,2722.33,2180.95
ORD-00118,1635.4,1269.99
ORD-00119,2926.16,2321.86
ORD-00120,403.25,317.43
ORD-00121,645.53,474.78
ORD-00122,1308.44,1102.68
ORD-00123,323.06,210.46
ORD-00124,1494.66,1254.22
ORD-00125,1553.84,1315.23
ORD-00126,2828.83,1573.68
ORD-00127,1723.14,959.5
ORD-00128,2589.11,2170.01
ORD-00129,2995.63,2201.47
ORD-00130,654.32,485.59
ORD-00131,687.95,383.97
ORD-00132,2072.09,1341.96
ORD-00133,2451.74,1452.91
ORD-00134,987.55,585.12
ORD-00135,2207.81,1222.9
ORD-00136,1896.68,1611.5
ORD-00137,2929.37,1759.03
ORD-00138,1160.77,640.36
ORD-00139,50.06,34.65
ORD-00140,2436.38,1839.95
ORD-00141,1920.09,1293.73
ORD-00142,1802.99,1369.46
ORD-00143,2761.69,2259.01
ORD-00144,498.72,361.3
ORD-00145,275.23,213.75
ORD-00146,937.8,758.12
ORD-00147,2422.03,1485.54
ORD-00148,1087.29,887.0
ORD-00149,2922.74,1820.33
ORD-00150,1378.74,852.98
ORD-00151,284.46,232.68
ORD-00152,2322.38,1546.38
ORD-00153,352.35,253.76
ORD-00154,1675.3,921.93
ORD-00155,2405.28,1804.18
ORD-00156,1288.49,950.97
ORD-00157,1250.68,846.84
ORD-00158,1222.98,776.78
ORD-00159,1111.58,715.55
ORD-00160,2858.49,2324.68
ORD-00161,527.26,360.0
ORD-00162,613.82,421.09
ORD-00163,2820.88,1931.64
ORD-00164,1295.2,716.79
ORD-00165,2610.89,1468.05
ORD-00166,2050.09,1478.51
ORD-00167,2165.41,1438.64
ORD-00168,160.98,112.34
ORD-00169,260.18,212.72
ORD-00170,1285.81,961.26
ORD-00171,2540.14,1748.71
ORD-00172,1350.75,861.75
ORD-00173,556.66,324.47
ORD-00174,1468.01,815.25
ORD-00175,516.05,291.8
ORD-00176,148.55,121.01
ORD-00177,2945.96,2101.87
ORD-00178,812.99,485.24
ORD-00179,1637.13,1253.75
ORD-00180,1533.68,1084.14
ORD-00181,1790.45,1377.71
ORD-00182,1073.86,842.0
ORD-00183,1103.75,667.57
ORD-00184,2092.2,1743.07
ORD-00185,1672.95,941.97
ORD-00186,1478.21,1008.96
ORD-00187,2437.44,1963.45
ORD-00188,2560.19,1979.8
ORD-00189,255.98,164.46
ORD-00190,276.77,212.85
ORD-00191,1455.99,1067.73
ORD-00192,982.44,649.67
ORD-00193,756.48,487.94
ORD-00194,1364.63,761.9
ORD-00195,1990.88,1211.73
ORD-00196,2649.45,1790.42
ORD-00197,437.53,246.45
ORD-00198,2912.37,1753.84
ORD-00199,261.81,184.37
ORD-00200,2043.37,1139.45
ORD-00201,2736.58,1630.55
ORD-00202,1294.78,990.6
ORD-00203,394.33,260.06
ORD-00204,157.62,130.27
ORD-00205,707.92,591.63
ORD-00206,379.03,258.31
ORD-00207,1248.74,793.9
ORD-00208,753.91,604.39
ORD-00209,618.52,448.99
ORD-00210,453.43,328.16
ORD-00211,2597.42,2173.45
ORD-00212,1625.38,1079.81
ORD-00213,286.83,161.46
ORD-00214,973.12,817.33
ORD-00215,2196.63,1258.4
ORD-00216,1822.75,1081.95
ORD-00217,2495.61,1751.48
ORD-00218,1502.68,1196.09
ORD-00219,926.77,744.75
ORD-00220,2512.06,1393.1
ORD-00221,1966.96,1102.36
ORD-00222,1316.53,775.14
ORD-00223,2268.31,1754.71
ORD-00224,694.66,489.14
ORD-00225,53.5,34.81
ORD-00226,668.6,493.28
ORD-00227,1386.33,928.41
ORD-00228,58.4,47.28
ORD-00229,1691.97,1412.09
ORD-00230,1876.34,1404.75
ORD-00231,1781.28,1364.9
ORD-00232,606.82,462.73
ORD-00233,1902.93,1441.4
ORD-00234,2037.03,1724.84
ORD-00235,2134.54,1207.07
ORD-00236,1655.27,1104.6
ORD-00237,76.56,60.88
ORD-00238,2005.42,1317.65
ORD-00239,93.99,78.62
ORD-00240,1417.81,997.98
ORD-00241,1628.06,1033.76
ORD-00242,2001.16,1173.46
ORD-00243,532.45,375.07
ORD-00244,174.94,120.97
ORD-00245,1655.94,971.84
ORD-00246,1171.34,685.71
ORD-00247,1733.6,1168.87
ORD-00248,2177.61,1770.17
ORD-00249,2327.39,1854.48
ORD-00250,868.69,726.88
ORD-00251,2197.66,1435.71
ORD-00252,326.28,188.59
ORD-00253,728.01,524.36
ORD-00254,2560.22,1655.13
ORD-00255,550.31,429.48
ORD-00256,452.0,252.6
ORD-00257,2240.7,1547.7
ORD-00258,760.55,642.2
ORD-00259,249.35,207.41
ORD-00260,2791.68,1831.85
ORD-00261,934.8,516.2
ORD-00262,1303.15,822.73
ORD-00263,2754.12,2183.93
ORD-00264,2271.1,1921.58
ORD-00265,813.78,596.76
ORD-00266,2287.37,1450.32
ORD-00267,2701.57,2286.62
ORD-00268,1693.58,1309.13
ORD-00269,969.33,818.94
ORD-00270,859.48,635.53
ORD-00271,513.66,384.96
ORD-00272,2148.72,1300.76
ORD-00273,1971.14,1200.41
ORD-00274,325.32,187.33
ORD-00275,2023.09,1216.12
ORD-00276,2097.86,1352.35
ORD-00277,1587.8,1229.94
ORD-00278,1491.07,1236.47
