OrderID,OrderDate,Region,ProductID,Revenue,Cost
ORD-00001,2024-06-28,FR,P004,218.91,142.62
ORD-00002,2024-08-30,DE,P012,656.63,274.25
ORD-00003,2024-01-16,IT,P011,211.06,141.02
ORD-00004,2024-04-21,FR,P009,1960.88,939.15
ORD-00005,2024-08-06,FR,P003,2059.25,1110.78
ORD-00006,2024-09-08,FR,P002,2923.84,1506.16
ORD-00007,2024-09-13,DE,P007,2131.3,866.25
ORD-00008,2024-05-04,FR,P009,63.01,36.65
ORD-00009,2024-01-08,IT,P009,1229.72,842.16
ORD-00010,2024-11-04,DE,P005,325.58,197.0
ORD-00011,2024-02-26,UK,P007,2111.3,1184.47
ORD-00012,2024-09-06,ES,P011,2668.49,1751.95
ORD-00013,2024-02-18,ES,P007,398.45,268.29
ORD-00014,2024-07-23,IT,P004,1452.09,680.57
ORD-00015,2024-03-21,DE,P005,2738.42,1695.08
ORD-00016,2024-05-16,DE,P004,112.54,57.9
ORD-00017,2024-05-04,FR,P007,964.98,400.15
ORD-00018,2024-09-29,DE,P001,914.01,624.06
ORD-00019,2024-06-06,IT,P003,560.35,382.03
ORD-00020,2024-06-04,DE,P011,2556.15,1352.16
ORD-00021,2024-10-26,DE,P001,1224.63,640.32
ORD-00022,2024-09-12,IT,P010,786.17,422.55
ORD-00023,2024-11-19,ES,P005,1086.79,473.96
ORD-00024,2024-10-23,IT,P007,498.65,257.84
ORD-00025,2024-01-22,DE,P007,589.51,272.05
ORD-00026,2024-12-09,FR,P005,2957.83,2018.9
ORD-00027,2024-07-23,FR,P006,1398.06,929.2
ORD-00028,2024-12-18,IT,P009,1060.44,452.19
ORD-00029,2024-06-08,FR,P005,1808.67,1259.93
ORD-00030,2024-12-06,FR,P006,867.94,361.57
ORD-00031,2024-02-10,DE,P010,2059.99,869.47
ORD-00032,2024-10-02,IT,P004,2377.62,995.08
ORD-00033,2024-11-02,UK,P006,2405.05,1460.84
ORD-00034,2024-08-19,ES,P004,2584.77,1267.61
ORD-00035,2024-09-06,IT,P006,1709.09,751.26
ORD-00036,2024-12-23,ES,P005,1663.76,766.45
