OrderID,OrderDate,Region,ProductID,Revenue,Cost,Category
ORD-00001,2024-09-04,ES,P007,2767.94,1372.25,Accessoires
ORD-00002,2024-11-06,IT,P011,325.72,231.26,Accessoires
ORD-00003,2024-03-29,DE,P007,2319.36,1178.77,Électronique
ORD-00004,2024-01-25,DE,P008,1711.05,786.19,Électronique
ORD-00005,2024-06-26,UK,P001,604.34,379.86,Périphériques
ORD-00006,2024-06-22,IT,P009,193.97,125.49,Accessoires
ORD-00007,2024-09-13,ES,P008,1789.26,1244.51,Accessoires
ORD-00008,2024-02-26,ES,P003,1941.03,979.74,Périphériques
ORD-00009,2024-02-12,FR,P002,2902.01,1362.17,Périphériques
ORD-00010,2024-12-19,IT,P011,568.73,314.59,Électronique
ORD-00011,2024-06-08,FR,P011,2241.1,962.2,Électronique
ORD-00012,2024-06-30,FR,P008,2055.74,1081.39,Électronique
ORD-00013,2024-03-08,FR,P012,2742.34,1802.07,Périphériques
ORD-00014,2024-04-14,ES,P005,2519.74,1721.19,Électronique
ORD-00015,2024-09-17,DE,P008,694.41,514.75,Périphériques
ORD-00016,2024-08-08,FR,P002,2807.05,1988.73,Accessoires
ORD-00017,2024-08-24,DE,P006,914.17,558.77,Périphériques
ORD-00018,2024-04-02,ES,P005,1757.59,816.22,Périphériques
ORD-00019,2024-11-10,DE,P006,2353.95,1604.84,Électronique
ORD-00020,2024-06-29,FR,P004,1675.61,856.28,Accessoires
ORD-00021,2024-07-18,UK,P008,976.04,486.37,Périphériques
ORD-00022,2024-01-11,DE,P004,859.36,381.53,Accessoires
ORD-00023,2024-11-30,FR,P002,940.12,613.34,Électronique
ORD-00024,2024-10-08,UK,P002,2621.42,1223.07,Électronique
ORD-00025,2024-09-11,FR,P002,1796.12,1116.83,Électronique
ORD-00026,2024-01-25,UK,P006,1091.36,670.97,Périphériques
ORD-00027,2024-08-06,IT,P012,2276.8,1671.44,Accessoires
ORD-00028,2024-11-12,ES,P008,953.29,397.6,Périphériques
ORD-00029,2024-05-01,UK,P009,1438.03,925.72,Accessoires
ORD-00030,2024-12-20,DE,P004,1574.74,745.7,Périphériques
ORD-00031,2024-11-13,UK,P008,1265.04,914.74,Périphériques
ORD-00032,2024-03-30,ES,P003,2789.11,1360.93,Électronique
ORD-00033,2024-10-04,IT,P003,1796.82,1236.36,Accessoires
ORD-00034,2024-07-06,FR,P003,291.64,217.34,Accessoires
ORD-00035,2024-05-25,IT,P005,1974.72,915.32,Périphériques
ORD-00036,2024-10-18,IT,P004,173.56,106.09,Accessoires
ORD-00037,2024-09-24,FR,P006,1860.77,1143.31,Accessoires
ORD-00038,2024-02-18,ES,P002,2450.17,1689.4,Périphériques
ORD-00039,2024-08-31,UK,P003,1218.47,591.04,Accessoires
ORD-00040,2024-12-05,IT,P004,806.47,530.91,Accessoires
ORD-00041,2024-05-31,UK,P008,1095.04,593.74,Périphériques
ORD-00042,2024-06-10,ES,P003,2417.02,1308.33,Accessoires
ORD-00043,2024-04-25,ES,P006,407.55,217.5,Périphériques
ORD-00044,2024-02-29,DE,P007,848.37,520.41,Accessoires
ORD-00045,2024-12-17,UK,P006,2815.03,1843.75,Périphériques
ORD-00046,2024-09-05,IT,P007,1245.45,663.71,Accessoires
ORD-00047,2024-07-20,FR,P003,1921.72,1097.07,Accessoires
ORD-00048,2024-06-10,IT,P008,2482.13,1181.13,Accessoires
ORD-00049,2024-06-24,DE,P001,620.74,330.99,Accessoires
ORD-00050,2024-12-21,FR,P007,323.36,134.83,Périphériques
ORD-00051,2024-02-25,ES,P004,2095.61,1536.69,Accessoires
ORD-00052,2024-04-11,UK,P004,310.45,196.78,Accessoires
ORD-00053,2024-01-14,DE,P011,149.83,95.56,Accessoires
ORD-00054,2024-02-16,FR,P010,1669.3,871.32,Périphériques
ORD-00055,2024-07-19,FR,P001,549.41,315.81,Accessoires
ORD-00056,2024-12-05,FR,P003,1645.15,659.88,Accessoires
ORD-00057,2024-10-10,ES,P003,2514.15,1462.36,Périphériques
