OrderID,ProductID,CustomerID,Revenue,Cost,OrderDate,Channel
4815,P017,C146,1347.53,934.21,2024-11-30,Store
4947,P019,C030,2076.07,1255.25,2024-12-22,Reseller
5457,P035,C029,3994.5,2064.9,2025-03-26,Store
2239,P015,C102,6363.06,3823.77,2023-08-15,Online
3489,P002,C167,2793.8,1413.12,2024-03-28,Online
1370,P020,C131,10781.7,6407.95,2023-03-11,Store
2218,P013,C200,7181.01,3835.74,2023-08-12,Direct
1792,P004,C095,11160.35,5264.7,2023-05-24,Online
1941,P012,C182,1721.04,841.36,2023-06-23,Store
4499,P022,C155,2906.65,1518.3,2024-10-02,Reseller
5350,P005,C115,4253.92,1945.96,2025-03-09,Reseller
2207,P006,C010,2791.6,1608.9,2023-08-10,Reseller
2869,P017,C174,4042.59,2802.63,2023-12-09,Reseller
1760,P029,C172,440.28,278.38,2023-05-18,Reseller
2778,P024,C054,1063.96,552.72,2023-11-21,Online
5032,P016,C004,4041.42,2555.92,2025-01-06,Direct
5236,P017,C100,2695.06,1868.42,2025-02-15,Online
1662,P004,C063,11160.35,5264.7,2023-05-02,Store
5115,P009,C173,2251.16,1344.64,2025-01-23,Online
1894,P008,C084,3259.92,1911.08,2023-06-14,Online
1127,P021,C149,1765.86,814.87,2023-01-25,Online
1350,P018,C188,955.66,561.94,2023-03-07,Reseller
4137,P035,C075,1597.8,825.96,2024-07-28,Store
2234,P003,C107,7380.52,4569.84,2023-08-14,Reseller
3546,P023,C119,426.56,216.78,2024-04-07,Online
2333,P011,C135,10087.3,6299.85,2023-09-02,Direct
4346,P030,C018,1263.18,688.26,2024-09-03,Store
3817,P028,C062,3250.74,1957.86,2024-05-27,Store
4795,P003,C026,1845.13,1142.46,2024-11-26,Direct
5255,P001,C076,1603.98,731.82,2025-02-18,Store
4566,P024,C072,797.97,414.54,2024-10-14,Direct
2779,P002,C106,698.45,353.28,2023-11-21,Direct
3724,P023,C105,426.56,216.78,2024-05-11,Direct
3963,P006,C091,1116.64,643.56,2024-06-24,Direct
5129,P028,C024,4876.11,2936.79,2025-01-25,Reseller
4879,P020,C049,6469.02,3844.77,2024-12-11,Reseller
4700,P031,C042,2473.97,1509.12,2024-11-08,Online
3313,P008,C194,3259.92,1911.08,2024-02-28,Direct
3842,P024,C013,531.98,276.36,2024-05-31,Online
2045,P028,C052,6501.48,3915.72,2023-07-14,Online
4417,P027,C098,678.44,464.16,2024-09-19,Store
2747,P002,C078,2095.35,1059.84,2023-11-15,Online
3462,P023,C102,426.56,216.78,2024-03-24,Direct
5282,P001,C010,6415.92,2927.28,2025-02-23,Online
5368,P034,C077,584.18,267.57,2025-03-12,Direct
2178,P006,C171,2233.28,1287.12,2023-08-06,Store
2601,P025,C105,7973.4,4315.25,2023-10-18,Reseller
5047,P009,C081,2251.16,1344.64,2025-01-09,Store
2222,P034,C104,2920.9,1337.85,2023-08-12,Direct
3577,P032,C081,6995.1,4345.05,2024-04-12,Online
3547,P025,C040,4784.04,2589.15,2024-04-07,Online
3421,P036,C172,1617.87,1109.43,2024-03-17,Store
2522,P006,C032,2233.28,1287.12,2023-10-04,Store
2051,P035,C081,1597.8,825.96,2023-07-15,Direct
3638,P032,C101,2798.04,1738.02,2024-04-25,Reseller
2660,P006,C012,2791.6,1608.9,2023-10-31,Store
3679,P027,C165,2713.76,1856.64,2024-05-03,Store
1957,P025,C096,1594.68,863.05,2023-06-27,Reseller
1554,P019,C119,4152.14,2510.5,2023-04-14,Store
4817,P018,C019,955.66,561.94,2024-11-30,Reseller
5313,P008,C020,3259.92,1911.08,2025-03-01,Direct
2529,P014,C169,245.47,116.4,2023-10-05,Store
1207,P011,C147,8069.84,5039.88,2023-02-10,Direct
3713,P002,C180,3492.25,1766.4,2024-05-09,Direct
1378,P008,C101,3259.92,1911.08,2023-03-12,Direct
3045,P019,C029,2076.07,1255.25,2024-01-13,Direct
3063,P029,C084,880.56,556.76,2024-01-16,Direct
3756,P001,C176,3207.96,1463.64,2024-05-15,Online
3995,P031,C056,4947.94,3018.24,2024-06-30,Store
2888,P007,C036,404.7,202.25,2023-12-13,Direct
5320,P031,C040,4947.94,3018.24,2025-03-02,Store
2530,P012,C002,4302.6,2103.4,2023-10-06,Direct
5185,P022,C120,2325.32,1214.64,2025-02-05,Reseller
4865,P016,C041,2020.71,1277.96,2024-12-09,Online
2302,P021,C178,1765.86,814.87,2023-08-26,Store
1059,P025,C200,1594.68,863.05,2023-01-12,Store
3147,P004,C081,2232.07,1052.94,2024-01-30,Reseller
4616,P023,C034,1066.4,541.95,2024-10-24,Reseller
4250,P028,C130,6501.48,3915.72,2024-08-17,Store
4874,P023,C028,426.56,216.78,2024-12-11,Online
4565,P002,C118,2793.8,1413.12,2024-10-14,Store
4111,P026,C059,2804.7,1409.01,2024-07-23,Reseller
4104,P005,C037,4253.92,1945.96,2024-07-21,Reseller
1363,P033,C121,8437.96,5434.04,2023-03-10,Store
5361,P015,C124,2121.02,1274.59,2025-03-10,Store
2053,P036,C047,539.29,369.81,2023-07-15,Store
5427,P015,C087,6363.06,3823.77,2025-03-22,Reseller
5473,P036,C106,1078.58,739.62,2025-03-29,Reseller
5057,P012,C024,860.52,420.68,2025-01-11,Direct
3452,P026,C193,2804.7,1409.01,2024-03-22,Store
3630,P032,C081,6995.1,4345.05,2024-04-23,Store
5101,P034,C139,1168.36,535.14,2025-01-20,Direct
4660,P001,C165,1603.98,731.82,2024-10-31,Direct
1648,P015,C040,2121.02,1274.59,2023-04-30,Direct
2060,P016,C030,4041.42,2555.92,2023-07-16,Store
1456,P024,C129,265.99,138.18,2023-03-26,Store
4872,P028,C078,6501.48,3915.72,2024-12-10,Online
3568,P024,C119,1329.95,690.9,2024-04-11,Direct
2701,P019,C102,10380.35,6276.25,2023-11-07,Store
1592,P016,C189,2020.71,1277.96,2023-04-20,Store
2763,P011,C147,8069.84,5039.88,2023-11-17,Store
4196,P024,C057,797.97,414.54,2024-08-07,Reseller
3949,P004,C020,6696.21,3158.82,2024-06-21,Direct
2554,P018,C156,955.66,561.94,2023-10-10,Online
1842,P030,C071,1684.24,917.68,2023-06-03,Reseller
4043,P027,C031,2035.32,1392.48,2024-07-09,Direct
2117,P017,C133,4042.59,2802.63,2023-07-26,Direct
4246,P025,C123,3189.36,1726.1,2024-08-17,Store
2052,P017,C160,6737.65,4671.05,2023-07-15,Direct
1781,P022,C140,1162.66,607.32,2023-05-22,Store
1283,P033,C041,2109.49,1358.51,2023-02-25,Reseller
4939,P021,C049,7063.44,3259.48,2024-12-21,Direct
3422,P005,C016,4253.92,1945.96,2024-03-17,Store
1674,P016,C136,6062.13,3833.88,2023-05-04,Reseller
3105,P008,C043,3259.92,1911.08,2024-01-24,Direct
3158,P006,C186,1116.64,643.56,2024-02-01,Reseller
2802,P021,C060,8829.3,4074.35,2023-11-26,Online
1032,P033,C179,8437.96,5434.04,2023-01-07,Store
1998,P005,C026,5317.4,2432.45,2023-07-04,Online
1125,P005,C163,1063.48,486.49,2023-01-25,Direct
4176,P016,C134,4041.42,2555.92,2024-08-04,Online
1669,P030,C168,421.06,229.42,2023-05-03,Online
3273,P008,C027,3259.92,1911.08,2024-02-20,Reseller
3345,P026,C125,934.9,469.67,2024-03-05,Online
