EmployeeID,Nom,BU,DateEntree,DateSortie,Salaire,Absences
E0001,Employé 1,RH,2022-04-09,,7422.06,9
E0002,Employé 2,Marketing,2020-01-16,,6631.94,1
E0003,Employé 3,RH,2020-01-27,2023-10-25,5486.67,8
E0004,Employé 4,Finance,2022-04-29,,3672.65,11
E0005,Employé 5,Sales,2022-01-04,,7602.62,12
E0006,Employé 6,Marketing,2021-04-17,2024-12-25,2765.87,9
E0007,Employé 7,IT,2022-06-10,,7573.89,7
E0008,Employé 8,Sales,2021-09-02,,7104.33,15
E0009,Employé 9,Sales,2022-02-09,,4383.52,11
E0010,Employé 10,Marketing,2020-05-24,,3731.32,14
E0011,Employé 11,IT,2021-08-29,,3587.52,9
E0012,Employé 12,Marketing,2020-08-08,,3656.03,3
E0013,Employé 13,RH,2020-09-07,2022-09-13,3888.54,5
E0014,Employé 14,IT,2022-04-22,,7623.61,5
E0015,Employé 15,IT,2021-09-18,,7776.69,7
E0016,Employé 16,Sales,2021-10-18,,7948.13,10
E0017,Employé 17,IT,2022-01-16,,7408.5,8
E0018,Employé 18,Sales,2020-11-08,,2975.46,5
E0019,Employé 19,RH,2022-05-10,,4495.4,13
E0020,Employé 20,Sales,2020-03-20,,3535.95,2
E0021,Employé 21,Marketing,2021-11-16,,6482.12,13
E0022,Employé 22,IT,2020-03-14,,6616.07,1
E0023,Employé 23,IT,2021-02-05,,2942.64,13
E0024,Employé 24,IT,2021-08-04,,7757.75,5
E0025,Employé 25,Marketing,2020-07-23,2023-11-17,3238.79,0
E0026,Employé 26,Finance,2022-02-27,2025-04-21,4458.4,5
E0027,Employé 27,Marketing,2020-01-04,2022-08-05,4447.17,4
E0028,Employé 28,Sales,2020-07-22,,5095.23,11
E0029,Employé 29,RH,2021-07-12,2023-10-13,4904.04,10
E0030,Employé 30,Finance,2022-04-07,,3418.74,2
E0031,Employé 31,IT,2020-01-14,,5363.21,4
E0032,Employé 32,IT,2021-07-19,,3797.44,9
E0033,Employé 33,Finance,2021-05-21,,5979.73,10
E0034,Employé 34,RH,2022-02-06,,4116.75,13
E0035,Employé 35,Finance,2020-11-12,2024-08-29,4220.32,10
E0036,Employé 36,Sales,2020-12-18,,6067.5,7
E0037,Employé 37,Marketing,2021-01-28,,3238.07,8
E0038,Employé 38,Finance,2021-09-20,2024-08-21,7601.16,1
E0039,Employé 39,Sales,2021-05-19,,4950.21,13
E0040,Employé 40,RH,2022-02-23,2025-03-03,7544.2,12
E0041,Employé 41,RH,2022-02-05,,3159.88,5
E0042,Employé 42,Sales,2021-06-02,2023-11-05,7951.7,1
E0043,Employé 43,Sales,2020-02-23,2022-08-28,3976.99,5
E0044,Employé 44,Finance,2022-04-06,,6824.99,4
E0045,Employé 45,Sales,2021-12-18,,3302.45,4
E0046,Employé 46,Sales,2022-06-17,2025-11-14,3383.68,15
E0047,Employé 47,IT,2021-10-10,2023-05-13,6621.64,15
E0048,Employé 48,RH,2020-09-10,,4615.25,1
E0049,Employé 49,Marketing,2020-04-11,2021-11-27,4902.45,0
E0050,Employé 50,IT,2021-05-09,2023-08-09,3543.67,2
E0051,Employé 51,Finance,2022-01-03,2024-05-04,6088.57,10
E0052,Employé 52,IT,2021-08-23,,6997.79,0
E0053,Employé 53,Sales,2020-07-19,,6199.3,5
E0054,Employé 54,RH,2020-04-13,2021-11-30,5000.7,11
E0055,Employé 55,Finance,2021-12-19,,3502.07,4
E0056,Employé 56,Marketing,2021-10-15,,4060.78,10
E0057,Employé 57,Sales,2020-05-11,,7999.32,9
E0058,Employé 58,Finance,2020-10-28,2021-10-25,5286.12,5
E0059,Employé 59,IT,2021-06-17,,3895.32,2
E0060,Employé 60,IT,2021-12-22,,7574.79,15
E0061,Employé 61,Marketing,2020-04-18,,7297.08,3
E0062,Employé 62,Finance,2021-04-27,,3172.43,11
E0063,Employé 63,RH,2020-04-16,,4616.27,7
E0064,Employé 64,RH,2021-03-25,,7888.28,15
E0065,Employé 65,IT,2022-03-23,2024-12-26,4031.57,15
E0066,Employé 66,RH,2022-03-09,,2735.04,13
E0067,Employé 67,Marketing,2020-07-06,,4452.2,4
E0068,Employé 68,Marketing,2020-06-10,,7996.97,1
E0069,Employé 69,IT,2020-04-05,,4011.48,6
E0070,Employé 70,Finance,2020-11-17,2023-05-11,5361.5,6
E0071,Employé 71,IT,2021-02-24,2024-12-04,7745.93,9
E0072,Employé 72,Finance,2022-05-28,2023-06-01,6311.68,6
E0073,Employé 73,Finance,2021-04-26,,5336.12,11
E0074,Employé 74,Finance,2020-08-13,,3345.29,3
E0075,Employé 75,IT,2020-03-20,,6054.4,11
E0076,Employé 76,Marketing,2020-09-11,,4307.92,8
E0077,Employé 77,Finance,2021-06-22,,6224.64,1
E0078,Employé 78,RH,2022-01-21,2022-09-15,6225.35,2
E0079,Employé 79,Finance,2022-01-31,,4944.48,8
E0080,Employé 80,Marketing,2020-11-12,,5156.78,12
E0081,Employé 81,Marketing,2021-03-10,2023-06-21,7267.67,0
E0082,Employé 82,Finance,2020-03-27,,3773.56,14
E0083,Employé 83,IT,2020-02-04,,5178.66,10
E0084,Employé 84,Sales,2020-05-24,,7249.21,1
E0085,Employé 85,IT,2020-06-08,,5117.35,4
E0086,Employé 86,RH,2020-07-31,2024-07-18,4690.83,13
E0087,Employé 87,IT,2020-05-01,2023-12-04,7615.44,2
E0088,Employé 88,Sales,2021-05-07,,5137.79,13
E0089,Employé 89,IT,2021-08-14,,6275.84,14
E0090,Employé 90,Finance,2021-02-05,2024-04-10,4235.48,15
E0091,Employé 91,IT,2020-02-22,,2920.02,10
E0092,Employé 92,Sales,2020-03-15,2023-02-06,4936.51,15
E0093,Employé 93,Finance,2020-04-25,,7747.2,4
E0094,Employé 94,IT,2020-04-14,,6371.47,4
E0095,Employé 95,RH,2020-08-16,,4416.62,6
E0096,Employé 96,Marketing,2020-01-19,,7689.67,6
E0097,Employé 97,RH,2020-02-15,,7989.76,10
E0098,Employé 98,Marketing,2021-03-18,2023-01-03,6892.14,9
E0099,Employé 99,IT,2022-06-09,,6365.3,14
E0100,Employé 100,IT,2021-10-02,2023-08-03,5191.9,4
E0101,Employé 101,Finance,2020-02-13,,3658.45,10
E0102,Employé 102,Marketing,2021-11-08,,6190.2,1
E0103,Employé 103,Marketing,2022-01-11,2023-10-31,5841.5,11
E0104,Employé 104,RH,2020-02-10,2023-11-04,3348.91,1
E0105,Employé 105,IT,2021-11-10,,6316.8,5
E0106,Employé 106,Finance,2021-03-18,2024-01-13,6793.32,9
E0107,Employé 107,Marketing,2021-12-18,,5006.35,13
E0108,Employé 108,IT,2020-01-01,,4665.89,11
E0109,Employé 109,Finance,2022-01-22,,4639.32,4
