Centre,Mois,Budget,Realise
Marketing,1,45960.07,50013.18
Marketing,2,114359.39,85821.91
Marketing,3,87723.59,110750.0
Marketing,4,100230.9,114147.82
Marketing,5,94547.78,98214.15
Marketing,6,113564.31,83786.51
Marketing,7,80922.86,58252.01
Marketing,8,99137.99,80935.3
Marketing,9,89822.57,75191.72
Marketing,10,73002.97,78137.32
Marketing,11,135403.03,171380.47
Marketing,12,144589.89,115715.77
Ventes,1,123855.57,125384.0
Ventes,2,142404.81,178150.86
Ventes,3,107203.59,121322.52
Ventes,4,115536.76,91907.3
Ventes,5,122144.58,158477.55
Ventes,6,93477.53,94910.34
Ventes,7,85510.07,67931.7
Ventes,8,78409.14,93737.52
Ventes,9,117819.32,100511.51
Ventes,10,39799.41,44944.82
Ventes,11,65746.26,51641.68
Ventes,12,48686.77,38371.19
IT,1,28340.88,36635.23
IT,2,62045.13,70491.13
IT,3,91637.69,84166.5
IT,4,41553.85,37774.31
IT,5,76163.07,66159.92
IT,6,40116.35,46033.94
IT,7,40671.63,40871.56
IT,8,68713.62,62146.52
IT,9,113605.55,130664.02
IT,10,86744.19,107272.57
IT,11,69789.9,81575.27
IT,12,60194.25,66949.3
RH,1,23109.64,25098.53
RH,2,99107.59,108111.1
RH,3,94308.17,100381.61
RH,4,38387.68,42944.69
RH,5,69668.19,72466.48
RH,6,119346.75,132423.22
RH,7,35724.84,36964.32
RH,8,131184.58,97577.08
RH,9,96461.17,98450.49
RH,10,80903.58,59626.74
RH,11,119811.84,120679.89
RH,12,140413.73,108943.56
Logistique,1,144608.82,169326.34
Logistique,2,125177.25,155539.29
Logistique,3,115850.44,120310.29
Logistique,4,116494.21,118044.5
Logistique,5,103365.1,120120.9
Logistique,6,55317.39,45244.61
Logistique,7,42594.94,51454.92
Logistique,8,91410.85,81001.78
Logistique,9,75979.63,82818.78
Logistique,10,33412.25,39166.64
Logistique,11,80783.71,84305.79
Logistique,12,140977.01,131134.8
