CampaignID,Channel,Spend,Conversions,Revenue,Date
CAMP-0001,Email,30865.35,232,201354.82,2024-11-28
CAMP-0002,Affiliation,37032.84,85,294038.7,2024-10-05
CAMP-0003,Email,27243.76,410,194406.63,2024-02-19
CAMP-0004,Display,45185.74,389,322024.25,2024-05-15
CAMP-0005,Email,44721.55,43,284396.46,2024-10-03
CAMP-0006,SEA,49150.08,464,360626.2,2024-10-31
CAMP-0007,Affiliation,34430.3,391,222952.28,2024-04-20
CAMP-0008,Display,28467.99,455,149848.88,2024-08-02
CAMP-0009,Affiliation,22934.17,298,149648.34,2024-04-18
CAMP-0010,Display,46956.05,58,132091.1,2024-03-18
CAMP-0011,Social,36081.2,206,105318.66,2024-04-17
CAMP-0012,Social,34693.21,257,218554.58,2024-03-20
CAMP-0013,Social,29807.93,171,164102.65,2024-11-06
CAMP-0014,Email,43456.43,75,310960.15,2024-09-08
CAMP-0015,Social,1580.89,187,10677.45,2024-12-23
CAMP-0016,Social,31812.21,188,96265.73,2024-11-30
CAMP-0017,Email,23190.99,255,82104.78,2024-08-03
CAMP-0018,Display,48495.67,452,203798.7,2024-09-23
CAMP-0019,Social,27174.58,228,211167.91,2024-09-09
CAMP-0020,Social,2786.83,380,18852.14,2024-05-27
CAMP-0021,Email,12689.87,150,67701.92,2024-02-09
CAMP-0022,Display,30645.26,215,204211.63,2024-07-05
CAMP-0023,Affiliation,34892.32,219,266469.07,2024-01-10
CAMP-0024,Affiliation,14235.26,333,29962.45,2024-11-17
CAMP-0025,Affiliation,47671.76,254,271980.28,2024-10-26
CAMP-0026,SEA,14327.19,407,78870.72,2024-02-14
CAMP-0027,Affiliation,49031.85,35,343633.57,2024-07-21
CAMP-0028,Social,18602.41,293,124072.78,2024-01-20
CAMP-0029,Affiliation,1532.79,143,7845.09,2024-08-21
CAMP-0030,Display,45279.7,363,131547.81,2024-11-29
CAMP-0031,Display,18725.25,453,50482.38,2024-07-06
CAMP-0032,Display,7443.44,25,51022.68,2024-03-23
CAMP-0033,Social,16576.44,150,98050.97,2024-12-13
CAMP-0034,Email,28664.92,138,121852.88,2024-01-12
CAMP-0035,SEA,37605.24,123,200585.48,2024-04-20
CAMP-0036,SEA,21395.35,448,118832.02,2024-04-12
CAMP-0037,Display,7383.37,213,20693.58,2024-06-03
CAMP-0038,SEA,23490.43,16,143901.92,2024-11-09
CAMP-0039,Display,1964.06,306,15454.95,2024-04-08
CAMP-0040,Display,19296.0,493,126211.6,2024-03-26
CAMP-0041,SEA,43117.8,131,219170.79,2024-01-14
CAMP-0042,Affiliation,40641.73,368,230075.97,2024-02-08
CAMP-0043,Display,8404.37,303,57261.63,2024-08-18
CAMP-0044,Email,22244.58,423,107304.99,2024-09-13
CAMP-0045,Display,47076.71,410,220068.33,2024-02-09
CAMP-0046,Affiliation,49909.89,32,246493.85,2024-10-16
CAMP-0047,SEA,11600.1,332,32304.6,2024-04-13
CAMP-0048,Display,31139.65,392,111554.91,2024-01-05
CAMP-0049,Display,31359.99,315,247569.43,2024-08-09
CAMP-0050,Email,23724.57,64,131894.95,2024-03-10
CAMP-0051,Social,16938.05,281,73611.92,2024-07-02
CAMP-0052,Social,43217.85,142,196044.52,2024-05-20
CAMP-0053,Email,46949.94,121,315239.23,2024-12-23
CAMP-0054,Display,1829.73,216,7104.62,2024-11-28
CAMP-0055,SEA,26323.71,26,78609.81,2024-10-04
CAMP-0056,Affiliation,6764.12,91,51579.01,2024-11-23
CAMP-0057,Email,13536.21,271,30583.58,2024-03-04
CAMP-0058,Social,43436.24,439,146388.51,2024-04-29
CAMP-0059,Display,18966.75,324,81027.26,2024-03-16
CAMP-0060,Display,38475.65,126,246581.15,2024-06-20
CAMP-0061,Email,25820.66,311,196301.25,2024-01-05
CAMP-0062,Display,39213.84,171,267588.6,2024-07-29
CAMP-0063,Display,524.95,211,3272.29,2024-03-13
CAMP-0064,Social,1036.16,29,6018.69,2024-05-20
CAMP-0065,Display,10200.13,117,47006.9,2024-04-25
CAMP-0066,Affiliation,9979.32,61,55269.66,2024-03-23
CAMP-0067,Social,15591.15,366,80163.48,2024-07-21
CAMP-0068,Email,19747.76,167,109743.37,2024-09-20
CAMP-0069,Affiliation,46840.57,216,199301.82,2024-02-04
CAMP-0070,SEA,48694.38,457,162850.14,2024-02-07
CAMP-0071,SEA,49298.99,302,179879.23,2024-05-21
CAMP-0072,Email,30146.58,88,228638.56,2024-01-09
CAMP-0073,Display,41248.3,229,101339.41,2024-08-12
CAMP-0074,Display,29921.75,74,239211.83,2024-03-19
CAMP-0075,Social,8275.38,491,42255.34,2024-05-17
CAMP-0076,Affiliation,39360.59,460,116597.28,2024-06-29
CAMP-0077,Affiliation,21738.74,443,72173.14,2024-04-14
CAMP-0078,Affiliation,47068.79,223,243185.05,2024-10-31
CAMP-0079,Email,46713.01,357,115581.03,2024-12-19
CAMP-0080,Display,776.89,20,3063.58,2024-02-08
CAMP-0081,Social,14208.58,464,108884.78,2024-08-10
CAMP-0082,Display,3353.62,282,12049.74,2024-11-05
CAMP-0083,Social,34839.81,411,193999.66,2024-08-23
CAMP-0084,Email,23625.14,311,175860.63,2024-05-07
CAMP-0085,Display,49540.81,358,379909.91,2024-06-13
CAMP-0086,Display,16472.3,447,40769.5,2024-11-06
CAMP-0087,Affiliation,965.74,251,6713.04,2024-09-28
CAMP-0088,Social,30969.11,393,236346.47,2024-08-22
CAMP-0089,Display,33890.95,70,108520.81,2024-02-15
CAMP-0090,Email,14389.82,92,75553.05,2024-10-29
CAMP-0091,Email,28606.63,133,68238.02,2024-06-11
CAMP-0092,SEA,25198.62,153,60031.31,2024-01-25
CAMP-0093,Email,7279.5,158,57892.99,2024-11-12
CAMP-0094,SEA,14096.04,293,85777.57,2024-10-02
CAMP-0095,SEA,36132.83,260,113824.52,2024-03-04
CAMP-0096,Affiliation,15010.43,281,30274.29,2024-03-20
CAMP-0097,Social,45439.19,486,204674.95,2024-12-03
CAMP-0098,Display,16680.0,110,64724.77,2024-09-14
CAMP-0099,Affiliation,18076.03,389,102088.59,2024-03-01
CAMP-0100,Display,9135.58,498,66958.78,2024-09-14
CAMP-0101,Affiliation,40808.57,271,199355.17,2024-09-18
CAMP-0102,Social,6015.41,492,19135.35,2024-05-06
CAMP-0103,Social,27039.35,272,190274.87,2024-01-02
CAMP-0104,Email,2080.43,381,10791.4,2024-09-11
CAMP-0105,Email,36250.39,35,158725.33,2024-12-20
CAMP-0106,Affiliation,13920.02,272,108673.39,2024-04-17
CAMP-0107,SEA,44849.96,112,295003.73,2024-05-15
CAMP-0108,Email,38898.32,23,158785.48,2024-01-09
CAMP-0109,Social,40190.58,395,305096.24,2024-07-21
CAMP-0110,Social,49595.16,232,131980.21,2024-08-14
CAMP-0111,Social,24307.16,434,104729.27,2024-03-07
CAMP-0112,SEA,25924.93,207,100378.54,2024-07-01
CAMP-0113,Affiliation,13962.84,258,109943.08,2024-07-22
CAMP-0114,Email,22180.49,287,109805.63,2024-08-25
CAMP-0115,Affiliation,32952.5,161,162643.76,2024-05-27
CAMP-0116,SEA,31637.42,21,108999.22,2024-08-13
CAMP-0117,Email,30308.54,405,82407.53,2024-08-17
CAMP-0118,Display,7570.12,78,28579.58,2024-05-10
CAMP-0119,SEA,7096.23,398,56270.49,2024-08-08
CAMP-0120,Affiliation,7241.93,325,36320.49,2024-12-01
CAMP-0121,Social,46802.06,414,314609.07,2024-08-09
CAMP-0122,Affiliation,12788.84,438,78226.27,2024-08-29
CAMP-0123,Social,14928.8,41,68122.08,2024-10-18
CAMP-0124,Affiliation,15984.64,287,62244.56,2024-06-13
CAMP-0125,SEA,22363.14,19,138403.25,2024-10-30
CAMP-0126,SEA,15204.84,201,121566.95,2024-11-02
CAMP-0127,Social,31603.75,275,121064.25,2024-02-26
CAMP-0128,SEA,9908.02,316,77194.07,2024-03-12
CAMP-0129,Email,48255.23,400,164557.9,2024-04-14
CAMP-0130,Social,27792.74,31,140874.62,2024-12-29
CAMP-0131,Display,49102.16,77,203531.61,2024-06-14
CAMP-0132,Email,48896.59,292,306327.5,2024-12-17
CAMP-0133,SEA,46559.68,397,307449.18,2024-06-07
CAMP-0134,Affiliation,22974.45,113,123301.43,2024-11-04
CAMP-0135,Display,35452.74,232,176521.11,2024-12-28
CAMP-0136,Email,3431.16,486,16558.26,2024-08-26
CAMP-0137,Email,3407.69,422,19035.0,2024-07-23
CAMP-0138,Social,41265.49,167,129272.96,2024-05-14
CAMP-0139,SEA,46217.62,419,119785.74,2024-11-10
CAMP-0140,Affiliation,35889.38,228,277983.62,2024-08-29
CAMP-0141,Affiliation,27471.14,214,219545.22,2024-08-27
CAMP-0142,Affiliation,39168.37,116,306875.02,2024-01-22
CAMP-0143,Social,13975.25,468,94396.71,2024-06-24
CAMP-0144,Display,41407.05,153,152361.11,2024-07-08
CAMP-0145,Display,22202.25,322,148898.84,2024-02-21
CAMP-0146,Email,6905.45,488,33374.61,2024-04-13
CAMP-0147,Social,18375.02,163,42405.38,2024-06-13
CAMP-0148,Social,10601.37,221,53763.12,2024-07-30
CAMP-0149,Social,21992.25,337,101433.13,2024-07-23
CAMP-0150,Affiliation,22736.69,276,110238.42,2024-11-01
CAMP-0151,Affiliation,17602.95,486,42023.83,2024-08-05
CAMP-0152,Social,1901.72,343,14214.19,2024-01-03
CAMP-0153,Email,40995.36,426,279267.94,2024-08-09
CAMP-0154,Email,17521.19,12,113689.91,2024-03-18
CAMP-0155,Affiliation,5072.69,396,29182.7,2024-09-20
CAMP-0156,Social,33402.1,493,150657.44,2024-10-19
CAMP-0157,SEA,4533.81,10,14421.4,2024-10-12
CAMP-0158,Affiliation,4467.91,206,16297.58,2024-10-14
CAMP-0159,Email,8166.53,277,42704.03,2024-08-01
CAMP-0160,Display,16093.58,235,60657.42,2024-11-06
CAMP-0161,Affiliation,47839.05,342,221438.65,2024-03-09
CAMP-0162,Display,24822.36,353,54979.1,2024-10-10
CAMP-0163,Affiliation,14985.67,207,65207.14,2024-04-10
CAMP-0164,Social,2899.77,294,22336.98,2024-03-05
CAMP-0165,Social,27589.98,170,62758.11,2024-11-17
CAMP-0166,Affiliation,27053.69,139,197470.72,2024-07-14
CAMP-0167,Affiliation,4882.68,392,25335.01,2024-06-12
CAMP-0168,Social,29333.83,443,208339.62,2024-02-23
CAMP-0169,Affiliation,31112.68,82,180332.18,2024-05-12
CAMP-0170,Social,28041.23,106,144599.85,2024-08-03
CAMP-0171,Social,29917.66,369,193911.62,2024-02-26
CAMP-0172,SEA,8232.94,225,64717.39,2024-03-11
CAMP-0173,Social,40918.26,299,226228.33,2024-12-01
CAMP-0174,Email,48234.44,213,296919.82,2024-04-23
CAMP-0175,Social,12934.8,148,60824.62,2024-10-11
CAMP-0176,SEA,26742.73,420,80016.72,2024-09-08
CAMP-0177,SEA,18268.6,247,116549.31,2024-03-08
CAMP-0178,Social,41549.38,221,326884.74,2024-04-26
CAMP-0179,Social,12019.78,192,73039.84,2024-12-06
CAMP-0180,SEA,46863.07,211,324247.53,2024-10-13
CAMP-0181,Display,3566.4,407,25030.24,2024-09-20
CAMP-0182,Email,27379.28,270,59431.64,2024-08-25
CAMP-0183,Display,20641.97,73,100428.06,2024-12-14
CAMP-0184,Display,22352.34,438,151262.06,2024-06-22
CAMP-0185,Affiliation,13477.14,261,66363.82,2024-06-15
CAMP-0186,Display,24901.08,174,80326.12,2024-05-23
CAMP-0187,Display,9218.49,206,60998.93,2024-04-24
CAMP-0188,Display,39391.53,219,298671.94,2024-10-22
CAMP-0189,Email,44664.67,454,149847.07,2024-11-09
CAMP-0190,Affiliation,24690.75,386,186471.57,2024-08-23
CAMP-0191,Display,17434.92,113,100639.48,2024-09-29
CAMP-0192,Email,33249.41,365,107317.86,2024-12-03
CAMP-0193,Email,49090.54,463,171318.33,2024-11-15
CAMP-0194,Affiliation,49288.12,301,150202.11,2024-01-21
CAMP-0195,Social,22820.26,196,126938.15,2024-04-11
CAMP-0196,Display,28294.67,405,226284.6,2024-06-03
CAMP-0197,Display,26178.75,121,201633.33,2024-03-12
CAMP-0198,SEA,46614.52,403,161634.32,2024-06-27
CAMP-0199,Social,19583.78,175,79784.79,2024-03-12
CAMP-0200,Display,41251.95,487,262916.83,2024-01-30
