BulletinID,EmployeeID,Mois,Brut,Net,Charges
BUL-00001,E0001,3,5961.49,3278.82,2682.67
BUL-00002,E0002,3,6379.18,3508.55,2870.63
BUL-00003,E0003,1,3782.65,2080.46,1702.19
BUL-00004,E0004,7,6730.24,3701.63,3028.61
BUL-00005,E0005,11,6315.38,3473.46,2841.92
BUL-00006,E0006,4,2385.31,1311.92,1073.39
BUL-00007,E0007,12,6689.1,3679.0,3010.1
BUL-00008,E0008,9,4289.66,2359.31,1930.35
BUL-00009,E0009,7,5626.16,3094.39,2531.77
BUL-00010,E0010,1,2467.06,1356.88,1110.18
BUL-00011,E0011,8,7412.08,4076.64,3335.44
BUL-00012,E0012,3,6309.33,3470.13,2839.2
BUL-00013,E0013,3,4416.48,2429.06,1987.42
BUL-00014,E0014,4,5108.36,2809.6,2298.76
BUL-00015,E0015,12,3664.57,2015.51,1649.06
BUL-00016,E0016,8,6090.65,3349.86,2740.79
BUL-00017,E0017,8,6430.81,3536.95,2893.86
BUL-00018,E0018,4,4418.92,2430.41,1988.51
BUL-00019,E0019,5,4476.63,2462.15,2014.48
BUL-00020,E0020,1,3219.44,1770.69,1448.75
BUL-00021,E0021,1,4701.79,2585.98,2115.81
BUL-00022,E0022,6,6703.0,3686.65,3016.35
BUL-00023,E0023,1,4711.08,2591.09,2119.99
BUL-00024,E0024,11,2529.65,1391.31,1138.34
BUL-00025,E0025,2,6742.93,3708.61,3034.32
BUL-00026,E0026,1,7394.64,4067.05,3327.59
BUL-00027,E0027,12,4586.24,2522.43,2063.81
BUL-00028,E0028,1,5374.36,2955.9,2418.46
BUL-00029,E0029,4,5322.02,2927.11,2394.91
BUL-00030,E0030,7,4985.12,2741.82,2243.3
BUL-00031,E0031,11,7853.0,4319.15,3533.85
BUL-00032,E0032,9,2254.68,1240.07,1014.61
BUL-00033,E0033,12,6110.47,3360.76,2749.71
BUL-00034,E0034,11,2060.31,1133.17,927.14
BUL-00035,E0035,1,3313.93,1822.66,1491.27
BUL-00036,E0036,4,3310.31,1820.67,1489.64
BUL-00037,E0037,12,6444.65,3544.56,2900.09
BUL-00038,E0038,5,2331.86,1282.52,1049.34
BUL-00039,E0039,11,2780.0,1529.0,1251.0
BUL-00040,E0040,8,6686.08,3677.34,3008.74
BUL-00041,E0041,9,7706.84,4238.76,3468.08
BUL-00042,E0042,5,3693.28,2031.3,1661.98
BUL-00043,E0043,4,4043.46,2223.9,1819.56
BUL-00044,E0044,11,2948.5,1621.67,1326.83
BUL-00045,E0045,9,4249.26,2337.09,1912.17
BUL-00046,E0046,12,5963.83,3280.11,2683.72
BUL-00047,E0047,12,7533.06,4143.18,3389.88
BUL-00048,E0048,11,4394.51,2416.98,1977.53
BUL-00049,E0049,8,4619.41,2540.68,2078.73
BUL-00050,E0050,6,3032.59,1667.92,1364.67
BUL-00051,E0051,8,4297.23,2363.48,1933.75
BUL-00052,E0052,8,4726.18,2599.4,2126.78
BUL-00053,E0053,2,3333.78,1833.58,1500.2
BUL-00054,E0054,11,2244.04,1234.22,1009.82
BUL-00055,E0055,6,6100.21,3355.12,2745.09
BUL-00056,E0056,9,6278.82,3453.35,2825.47
BUL-00057,E0057,12,3549.45,1952.2,1597.25
BUL-00058,E0058,11,7830.57,4306.81,3523.76
BUL-00059,E0059,2,7276.03,4001.82,3274.21
BUL-00060,E0060,6,3433.05,1888.18,1544.87
BUL-00061,E0061,10,7260.09,3993.05,3267.04
BUL-00062,E0062,12,6428.16,3535.49,2892.67
BUL-00063,E0063,2,5442.08,2993.14,2448.94
BUL-00064,E0064,3,6697.49,3683.62,3013.87
BUL-00065,E0065,1,4578.06,2517.93,2060.13
BUL-00066,E0066,1,4252.88,2339.08,1913.8
BUL-00067,E0067,2,4939.47,2716.71,2222.76
BUL-00068,E0068,10,7605.39,4182.96,3422.43
BUL-00069,E0069,7,3949.21,2172.07,1777.14
BUL-00070,E0070,6,7846.8,4315.74,3531.06
BUL-00071,E0071,5,3986.5,2192.58,1793.92
BUL-00072,E0072,5,5490.04,3019.52,2470.52
BUL-00073,E0073,2,3481.1,1914.61,1566.49
BUL-00074,E0074,7,4577.31,2517.52,2059.79
