EmployeeID,BU,DateEntree,DateSortie,Anciennete
E0001,IT,2020-07-18,,5
E0002,Marketing,2020-06-23,,5
E0003,RH,2022-05-08,,3
E0004,Finance,2022-05-03,2026-02-28,3
E0005,Finance,2022-02-05,2024-08-27,3
E0006,Finance,2020-01-08,,5
E0007,Finance,2022-04-14,2022-11-07,3
E0008,Finance,2020-08-28,2023-09-16,5
E0009,Marketing,2020-04-04,,5
E0010,Finance,2021-06-18,,4
E0011,RH,2022-04-11,,3
E0012,Marketing,2020-11-10,2024-09-01,5
E0013,Finance,2021-04-04,,4
E0014,RH,2022-06-05,,3
E0015,Finance,2020-08-24,,5
E0016,Marketing,2020-06-30,,5
E0017,Marketing,2021-08-25,2025-06-17,4
E0018,RH,2022-01-27,,3
E0019,RH,2021-11-16,,4
E0020,IT,2021-09-19,,4
E0021,Marketing,2020-02-25,2023-04-22,5
E0022,IT,2022-03-04,,3
E0023,IT,2021-07-19,,4
E0024,Sales,2021-08-19,,4
E0025,Finance,2022-01-31,,3
E0026,Marketing,2022-01-15,,3
E0027,Sales,2020-06-28,,5
E0028,RH,2020-06-27,2024-02-17,5
E0029,Sales,2021-07-23,2023-08-21,4
E0030,Sales,2020-09-15,,5
E0031,RH,2020-02-24,,5
E0032,Finance,2020-10-23,,5
E0033,Sales,2020-12-01,,5
E0034,Marketing,2021-02-09,,4
E0035,Marketing,2021-09-20,,4
E0036,Sales,2022-06-12,,3
E0037,IT,2020-02-18,,5
E0038,Finance,2020-08-19,,5
E0039,Sales,2021-07-02,,4
E0040,Marketing,2022-01-30,,3
E0041,IT,2020-01-13,2022-12-01,5
E0042,Marketing,2021-02-02,2022-10-24,4
E0043,RH,2021-02-07,2024-10-29,4
E0044,Marketing,2021-01-02,,4
E0045,Sales,2020-09-06,,5
E0046,RH,2021-05-10,,4
E0047,Finance,2021-08-18,,4
E0048,RH,2022-05-08,,3
E0049,RH,2021-11-23,2024-02-20,4
E0050,Sales,2020-04-20,,5
E0051,Finance,2021-10-06,,4
E0052,Finance,2020-11-20,2021-06-11,5
E0053,Finance,2021-12-04,,4
E0054,Marketing,2022-04-03,,3
E0055,Sales,2021-10-26,,4
E0056,Finance,2021-05-14,2024-08-11,4
E0057,Sales,2022-05-13,,3
E0058,Marketing,2020-07-19,,5
E0059,RH,2022-01-05,,3
E0060,Sales,2020-11-11,,5
E0061,Marketing,2020-12-10,,5
E0062,IT,2022-02-25,,3
E0063,Finance,2020-12-17,,5
E0064,Finance,2022-03-05,,3
E0065,IT,2020-12-12,2023-12-09,5
E0066,RH,2021-05-18,,4
E0067,Finance,2020-07-15,,5
E0068,RH,2020-10-06,,5
E0069,Sales,2021-02-23,,4
E0070,IT,2022-05-25,,3
E0071,Finance,2021-12-30,,4
E0072,Finance,2022-01-09,,3
E0073,IT,2021-10-31,,4
E0074,RH,2020-09-05,2022-07-28,5
E0075,Sales,2021-07-31,,4
E0076,Sales,2020-08-03,,5
E0077,IT,2020-10-23,2021-06-17,5
E0078,IT,2022-04-06,,3
E0079,Finance,2021-04-21,,4
E0080,Sales,2020-09-22,2023-07-09,5
E0081,IT,2021-05-05,2022-04-27,4
E0082,Marketing,2020-10-25,,5
E0083,IT,2020-05-21,,5
E0084,Finance,2022-05-07,,3
E0085,Marketing,2020-08-27,,5
E0086,RH,2021-11-08,2024-01-09,4
E0087,Marketing,2020-11-17,,5
E0088,Finance,2020-11-10,2024-04-29,5
E0089,Finance,2021-09-20,,4
E0090,Sales,2020-02-01,2023-12-02,5
E0091,Finance,2020-09-20,,5
E0092,IT,2020-11-02,,5
E0093,IT,2021-12-28,,4
E0094,RH,2021-12-21,2023-07-04,4
E0095,Finance,2020-10-22,2022-11-20,5
E0096,Marketing,2021-11-14,,4
E0097,Sales,2020-03-18,,5
E0098,Finance,2022-02-04,,3
E0099,Finance,2020-03-29,,5
E0100,Marketing,2020-07-22,2024-05-28,5
E0101,Sales,2020-05-13,,5
E0102,Marketing,2021-06-17,,4
E0103,Finance,2022-02-16,2026-01-16,3
E0104,Marketing,2021-05-23,2024-08-23,4
E0105,Sales,2020-10-06,2022-02-02,5
E0106,Marketing,2022-04-17,2024-04-12,3
E0107,RH,2021-09-20,,4
E0108,Sales,2022-02-08,,3
E0109,Sales,2021-01-09,,4
E0110,IT,2021-10-24,2022-05-24,4
E0111,IT,2022-03-26,,3
E0112,Finance,2021-11-29,2022-07-07,4
E0113,Finance,2020-03-29,,5
E0114,RH,2020-02-13,,5
E0115,Sales,2021-07-26,2024-03-08,4
E0116,RH,2021-10-14,2023-07-21,4
E0117,Marketing,2020-02-14,2021-09-25,5
E0118,RH,2021-06-19,2023-02-24,4
E0119,IT,2020-07-03,2024-04-29,5
E0120,IT,2020-07-28,2022-07-08,5
E0121,Marketing,2020-11-19,,5
E0122,Finance,2021-01-07,,4
E0123,IT,2021-08-24,2024-12-15,4
E0124,Finance,2020-09-17,2024-06-26,5
E0125,IT,2020-06-23,2024-02-21,5
E0126,Finance,2020-11-11,,5
E0127,Sales,2020-01-09,,5
E0128,RH,2021-03-13,,4
E0129,Finance,2022-02-21,,3
E0130,Marketing,2020-01-08,,5
E0131,IT,2021-07-26,,4
E0132,Marketing,2020-07-12,,5
E0133,RH,2022-02-21,2022-12-16,3
E0134,IT,2021-06-21,2022-10-07,4
E0135,Sales,2021-12-03,,4
E0136,Marketing,2020-08-30,,5
E0137,RH,2020-08-29,2022-09-20,5
E0138,IT,2022-01-18,,3
E0139,Sales,2021-02-14,,4
E0140,Marketing,2022-06-06,,3
E0141,Marketing,2021-12-10,,4
E0142,RH,2022-01-30,2024-07-29,3
E0143,Sales,2020-03-16,2022-08-01,5
E0144,IT,2021-07-22,,4
E0145,Finance,2020-06-14,2021-08-16,5
E0146,RH,2020-02-25,,5
E0147,IT,2022-03-08,,3
E0148,RH,2020-06-17,,5
E0149,RH,2022-04-29,,3
E0150,Sales,2021-03-06,,4
