Centre,Mois,Budget,Realise
Marketing,1,117918.13,103623.84
Marketing,2,89790.11,63054.08
Marketing,3,26770.05,19978.44
Marketing,4,31867.11,41005.96
Marketing,5,91162.07,112440.04
Marketing,6,93904.41,92162.3
Marketing,7,36271.29,35646.98
Marketing,8,20394.47,14656.48
Marketing,9,87744.35,98709.28
Marketing,10,50962.27,49856.05
Marketing,11,21511.45,21870.65
Marketing,12,63836.32,63210.0
Ventes,1,61285.36,48483.57
Ventes,2,22108.73,16417.15
Ventes,3,145627.6,102623.21
Ventes,4,22358.49,20159.03
Ventes,5,106073.96,132708.18
Ventes,6,97242.61,125513.19
Ventes,7,61310.51,76485.77
Ventes,8,36363.68,27232.69
Ventes,9,139061.48,109055.11
Ventes,10,47063.11,60518.09
Ventes,11,102498.0,115811.7
Ventes,12,41314.38,30075.61
IT,1,115594.34,134021.22
IT,2,59246.95,75377.66
IT,3,27232.15,31596.01
IT,4,81903.54,59498.81
IT,5,115813.46,99686.73
IT,6,61998.09,66589.67
IT,7,56708.54,56532.51
IT,8,51216.95,66222.83
IT,9,143717.34,177480.2
IT,10,119826.98,139578.46
IT,11,108693.16,84023.93
IT,12,128796.75,132028.01
RH,1,93962.59,68040.08
RH,2,29949.58,21891.9
RH,3,69423.03,72847.07
RH,4,61679.46,44287.55
RH,5,119906.42,88782.52
RH,6,93442.4,66962.25
RH,7,123203.74,129861.84
RH,8,138191.9,118158.17
RH,9,114606.42,137921.76
RH,10,21895.45,16199.43
RH,11,47302.07,53381.27
RH,12,104514.56,132171.81
Logistique,1,107578.77,124230.99
Logistique,2,122880.92,140699.81
Logistique,3,47853.25,44302.52
Logistique,4,78922.67,69780.92
Logistique,5,43925.19,36378.29
Logistique,6,99426.15,108915.08
Logistique,7,106042.6,85595.48
Logistique,8,125499.48,160121.29
Logistique,9,48852.96,43801.39
Logistique,10,53559.12,52238.51
Logistique,11,29302.14,36444.11
Logistique,12,20403.3,19191.16
