Centre,Annee,Mois,Budget,Realise
Marketing,2024,1,123938.73,101530.39
Marketing,2025,1,73884.54,59782.46
Marketing,2024,2,133930.7,169670.68
Marketing,2025,2,134964.39,112653.73
Marketing,2024,3,143254.2,179621.77
Marketing,2025,3,104123.87,112034.83
Marketing,2024,4,137889.82,177116.24
Marketing,2025,4,45774.61,51302.2
Marketing,2024,5,41938.27,39448.02
Marketing,2025,5,75757.44,64855.54
Marketing,2024,6,31577.96,29075.47
Marketing,2025,6,143141.66,110277.81
Marketing,2024,7,113415.85,109003.43
Marketing,2025,7,139598.58,135721.19
Marketing,2024,8,107569.31,82947.49
Marketing,2025,8,112763.28,91826.13
Marketing,2024,9,132051.77,154404.59
Marketing,2025,9,57435.06,57234.09
Marketing,2024,10,36925.91,44820.77
Marketing,2025,10,98010.76,127132.16
Marketing,2024,11,56785.74,62822.81
Marketing,2025,11,74383.03,70300.48
Marketing,2024,12,38972.57,34066.54
Marketing,2025,12,54033.93,57849.17
Ventes,2024,1,137952.67,127162.38
Ventes,2025,1,108954.72,106219.79
Ventes,2024,2,21341.63,16644.83
Ventes,2025,2,62021.98,69205.0
Ventes,2024,3,109290.82,123280.22
Ventes,2025,3,112098.91,127979.12
Ventes,2024,4,53309.33,40364.1
Ventes,2025,4,27637.8,24866.21
Ventes,2024,5,50529.39,62905.85
Ventes,2025,5,149576.13,189003.38
Ventes,2024,6,145737.28,154326.92
Ventes,2025,6,117271.44,85292.35
Ventes,2024,7,52975.39,56778.74
Ventes,2025,7,59325.96,55577.63
Ventes,2024,8,68217.16,87374.9
Ventes,2025,8,92742.85,97221.6
Ventes,2024,9,53837.91,53958.94
Ventes,2025,9,140942.5,172899.53
Ventes,2024,10,37149.54,33077.59
Ventes,2025,10,88955.09,69836.63
Ventes,2024,11,35189.47,25565.05
Ventes,2025,11,36623.29,44790.57
Ventes,2024,12,128524.52,147635.35
Ventes,2025,12,140410.82,122123.06
IT,2024,1,134001.73,143081.55
IT,2025,1,119003.31,102135.16
IT,2024,2,60691.34,74990.41
IT,2025,2,61020.58,79127.77
IT,2024,3,119277.8,94319.98
IT,2025,3,130894.38,143257.57
IT,2024,4,123768.62,90590.38
IT,2025,4,39320.7,32947.46
IT,2024,5,24662.09,21114.06
IT,2025,5,111775.17,107511.83
IT,2024,6,149376.23,187664.91
IT,2025,6,25302.92,23124.64
IT,2024,7,112173.79,111177.65
IT,2025,7,84088.51,101537.13
IT,2024,8,132694.31,102730.94
IT,2025,8,32165.12,39270.52
IT,2024,9,43485.15,34830.61
IT,2025,9,86135.91,74393.43
IT,2024,10,135816.29,142798.12
IT,2025,10,95861.16,122987.61
IT,2024,11,88382.0,92135.82
IT,2025,11,74134.47,55311.82
IT,2024,12,119872.95,132596.88
IT,2025,12,135357.8,96858.97
RH,2024,1,108570.6,120337.88
RH,2025,1,71242.07,75103.61
RH,2024,2,143658.58,172704.38
RH,2025,2,39990.81,29938.64
RH,2024,3,127990.9,140242.65
RH,2025,3,79027.22,100611.21
RH,2024,4,97246.55,68411.32
RH,2025,4,146070.17,159757.48
RH,2024,5,143616.48,128529.47
RH,2025,5,115100.88,131283.11
RH,2024,6,144462.36,150456.83
RH,2025,6,47477.69,34621.18
RH,2024,7,103673.72,92674.2
RH,2025,7,27219.55,20208.73
RH,2024,8,143747.02,133517.2
RH,2025,8,71851.6,57970.34
RH,2024,9,145456.41,177356.35
RH,2025,9,31594.48,38273.79
RH,2024,10,41182.29,48088.38
RH,2025,10,57041.67,65685.49
RH,2024,11,105028.36,81119.83
RH,2025,11,83809.86,80408.44
RH,2024,12,124825.92,110603.35
RH,2025,12,109045.05,84921.23
Logistique,2024,1,106517.64,127739.33
Logistique,2025,1,86644.92,86105.45
Logistique,2024,2,135103.7,133193.85
Logistique,2025,2,93197.42,88895.65
Logistique,2024,3,118343.78,140426.33
Logistique,2025,3,99802.81,95856.96
Logistique,2024,4,75382.22,54596.54
Logistique,2025,4,64426.83,63016.84
Logistique,2024,5,49149.93,54642.04
Logistique,2025,5,40159.06,40046.35
Logistique,2024,6,101842.75,103350.7
Logistique,2025,6,57791.39,55619.2
Logistique,2024,7,137937.0,136084.07
Logistique,2025,7,39318.85,30537.92
Logistique,2024,8,137377.47,165529.24
Logistique,2025,8,88001.97,77203.16
Logistique,2024,9,26204.68,19546.58
Logistique,2025,9,25862.34,19773.81
Logistique,2024,10,75238.76,56932.46
Logistique,2025,10,105911.18,110262.74
Logistique,2024,11,52939.44,45152.9
Logistique,2025,11,30630.04,30693.34
Logistique,2024,12,34811.61,38186.49
Logistique,2025,12,43341.79,35077.59
