CustomerID,Nom,Region,Pays,Segment,DateInscription
C001,Client 1,Asie,CN,Particulier,2024-02-27
C002,Client 2,Amériques,CA,Particulier,2020-10-12
C003,Client 3,Asie,CN,Grand Compte,2024-02-25
C004,Client 4,Asie,CN,Grand Compte,2022-05-14
C005,Client 5,Europe,FR,Particulier,2021-03-23
C006,Client 6,Europe,UK,Grand Compte,2020-02-24
C007,Client 7,Asie,JP,Grand Compte,2023-08-23
C008,Client 8,Asie,KR,Particulier,2022-07-08
C009,Client 9,Asie,IN,Particulier,2024-04-03
C010,Client 10,Europe,IT,PME,2021-07-23
C011,Client 11,Europe,DE,PME,2020-07-28
C012,Client 12,Europe,IT,Particulier,2022-01-05
C013,Client 13,Amériques,BR,Particulier,2024-02-03
C014,Client 14,Amériques,US,PME,2020-06-10
C015,Client 15,Asie,IN,Grand Compte,2023-06-20
C016,Client 16,Amériques,CA,Grand Compte,2020-05-22
C017,Client 17,Europe,DE,PME,2020-06-12
C018,Client 18,Europe,FR,PME,2021-07-23
C019,Client 19,Amériques,BR,Particulier,2022-01-28
C020,Client 20,Amériques,CA,Grand Compte,2021-06-30
C021,Client 21,Asie,CN,Grand Compte,2023-07-24
C022,Client 22,Europe,UK,Grand Compte,2021-05-16
C023,Client 23,Europe,IT,PME,2021-07-06
C024,Client 24,Asie,JP,Grand Compte,2021-10-26
C025,Client 25,Europe,DE,Particulier,2024-07-06
C026,Client 26,Amériques,MX,PME,2020-05-15
C027,Client 27,Europe,UK,Grand Compte,2021-10-06
C028,Client 28,Europe,IT,PME,2023-08-09
C029,Client 29,Amériques,CA,PME,2020-10-12
C030,Client 30,Europe,UK,Grand Compte,2021-06-22
C031,Client 31,Asie,KR,Grand Compte,2022-03-28
C032,Client 32,Amériques,CA,Particulier,2022-11-09
C033,Client 33,Amériques,US,Particulier,2024-10-29
C034,Client 34,Europe,DE,Grand Compte,2020-11-23
C035,Client 35,Asie,KR,Grand Compte,2020-05-10
C036,Client 36,Amériques,MX,Grand Compte,2022-08-16
C037,Client 37,Asie,IN,Grand Compte,2024-10-28
C038,Client 38,Europe,FR,Grand Compte,2023-01-04
C039,Client 39,Amériques,BR,Particulier,2021-08-24
C040,Client 40,Amériques,CA,PME,2020-01-07
C041,Client 41,Asie,IN,Grand Compte,2024-04-09
C042,Client 42,Europe,UK,Particulier,2024-11-17
C043,Client 43,Asie,IN,Grand Compte,2022-11-05
C044,Client 44,Asie,JP,Particulier,2022-02-04
C045,Client 45,Europe,UK,Grand Compte,2020-01-02
C046,Client 46,Asie,IN,PME,2020-02-09
C047,Client 47,Europe,ES,PME,2021-05-05
C048,Client 48,Europe,DE,Grand Compte,2020-06-10
C049,Client 49,Europe,IT,Particulier,2024-04-06
C050,Client 50,Asie,JP,Particulier,2023-09-13
C051,Client 51,Amériques,CA,PME,2022-12-16
C052,Client 52,Asie,KR,Particulier,2023-01-09
C053,Client 53,Asie,JP,Grand Compte,2021-09-30
C054,Client 54,Amériques,BR,PME,2022-11-25
C055,Client 55,Amériques,US,Particulier,2021-04-05
C056,Client 56,Europe,ES,Particulier,2023-04-19
C057,Client 57,Asie,JP,Grand Compte,2021-03-27
C058,Client 58,Europe,FR,Grand Compte,2023-07-16
C059,Client 59,Europe,DE,Particulier,2020-03-05
C060,Client 60,Amériques,US,Grand Compte,2021-05-02
C061,Client 61,Amériques,MX,Particulier,2023-01-09
C062,Client 62,Europe,UK,Grand Compte,2022-08-26
