OrderID,OrderDate,ProductID,CustomerID,Quantity,Revenue,Cost,Channel
2025-00001,2025-12-05,P002,C170,5,4863.6,2861.55,Store
2025-00002,2025-11-15,P010,C180,2,460.96,218.6,Store
2025-00003,2025-02-23,P009,C185,5,245.05,171.0,Online
2025-00004,2025-05-25,P002,C028,4,3890.88,2289.24,Online
2025-00005,2025-11-08,P004,C200,3,2643.81,1305.87,Phone
2025-00006,2025-04-14,P006,C181,4,470.8,333.6,Store
2025-00007,2025-03-24,P001,C141,4,4636.36,2292.8,Online
2025-00008,2025-12-19,P008,C085,2,1476.48,786.44,Online
2025-00009,2025-01-07,P011,C023,1,960.43,498.58,Phone
2025-00010,2025-12-09,P008,C039,1,738.24,393.22,Phone
2025-00011,2025-02-08,P012,C186,1,1058.18,682.96,Store
2025-00012,2025-11-26,P004,C117,3,2643.81,1305.87,Store
2025-00013,2025-08-26,P001,C026,2,2318.18,1146.4,Online
2025-00014,2025-05-29,P006,C174,3,353.1,250.2,Store
2025-00015,2025-03-01,P002,C195,1,972.72,572.31,Online
2025-00016,2025-03-12,P011,C166,2,1920.86,997.16,Store
2025-00017,2025-07-03,P008,C160,3,2214.72,1179.66,Phone
2025-00018,2025-02-17,P006,C088,2,235.4,166.8,Online
2025-00019,2025-07-25,P007,C117,3,911.94,513.09,Store
2025-00020,2025-12-20,P008,C108,2,1476.48,786.44,Online
2025-00021,2025-03-09,P012,C186,1,1058.18,682.96,Online
2025-00022,2025-02-23,P007,C152,4,1215.92,684.12,Phone
2025-00023,2025-12-14,P008,C047,5,3691.2,1966.1,Store
2025-00024,2025-07-03,P010,C008,2,460.96,218.6,Store
2025-00025,2025-09-07,P002,C106,4,3890.88,2289.24,Online
2025-00026,2025-02-02,P005,C168,3,3072.84,2122.59,Online
2025-00027,2025-12-27,P011,C135,5,4802.15,2492.9,Phone
2025-00028,2025-10-17,P004,C172,3,2643.81,1305.87,Phone
2025-00029,2025-09-25,P012,C180,5,5290.9,3414.8,Online
2025-00030,2025-08-10,P011,C187,2,1920.86,997.16,Store
2025-00031,2025-06-27,P011,C174,4,3841.72,1994.32,Online
2025-00032,2025-10-13,P010,C014,1,230.48,109.3,Phone
2025-00033,2025-03-22,P009,C121,4,196.04,136.8,Online
2025-00034,2025-02-08,P008,C083,2,1476.48,786.44,Store
2025-00035,2025-05-23,P001,C130,2,2318.18,1146.4,Phone
2025-00036,2025-11-26,P007,C104,2,607.96,342.06,Online
2025-00037,2025-08-24,P008,C147,4,2952.96,1572.88,Online
2025-00038,2025-09-13,P008,C081,1,738.24,393.22,Store
2025-00039,2025-12-01,P001,C027,4,4636.36,2292.8,Store
2025-00040,2025-01-19,P009,C141,1,49.01,34.2,Online
2025-00041,2025-11-06,P010,C164,3,691.44,327.9,Phone
2025-00042,2025-10-15,P004,C168,4,3525.08,1741.16,Store
2025-00043,2025-07-06,P001,C058,4,4636.36,2292.8,Store
2025-00044,2025-10-14,P010,C154,4,921.92,437.2,Phone
2025-00045,2025-12-03,P006,C184,4,470.8,333.6,Online
2025-00046,2025-02-19,P011,C057,1,960.43,498.58,Store
2025-00047,2025-07-01,P011,C075,5,4802.15,2492.9,Phone
2025-00048,2025-07-11,P012,C028,1,1058.18,682.96,Online
2025-00049,2025-09-10,P003,C184,4,2351.76,1299.24,Online
2025-00050,2025-05-11,P010,C051,2,460.96,218.6,Online
2025-00051,2025-07-21,P004,C118,2,1762.54,870.58,Phone
2025-00052,2025-06-23,P002,C194,4,3890.88,2289.24,Online
2025-00053,2025-11-21,P011,C151,1,960.43,498.58,Store
2025-00054,2025-08-23,P011,C151,5,4802.15,2492.9,Online
2025-00055,2025-09-13,P001,C136,1,1159.09,573.2,Phone
2025-00056,2025-08-10,P010,C124,5,1152.4,546.5,Online
2025-00057,2025-12-21,P010,C045,2,460.96,218.6,Online
2025-00058,2025-07-18,P011,C154,5,4802.15,2492.9,Store
2025-00059,2025-09-16,P007,C108,5,1519.9,855.15,Phone
2025-00060,2025-05-08,P005,C102,3,3072.84,2122.59,Store
2025-00061,2025-08-20,P003,C036,4,2351.76,1299.24,Phone
2025-00062,2025-12-25,P012,C132,3,3174.54,2048.88,Phone
2025-00063,2025-10-08,P006,C183,5,588.5,417.0,Phone
2025-00064,2025-04-22,P004,C054,5,4406.35,2176.45,Phone
2025-00065,2025-05-29,P011,C089,2,1920.86,997.16,Phone
2025-00066,2025-11-29,P003,C129,5,2939.7,1624.05,Phone
2025-00067,2025-11-23,P006,C182,1,117.7,83.4,Store
2025-00068,2025-10-15,P008,C150,5,3691.2,1966.1,Phone
2025-00069,2025-12-30,P007,C173,5,1519.9,855.15,Store
2025-00070,2025-08-05,P001,C134,1,1159.09,573.2,Online
2025-00071,2025-07-15,P003,C014,1,587.94,324.81,Online
2025-00072,2025-05-17,P003,C074,3,1763.82,974.43,Online
2025-00073,2025-02-01,P012,C076,2,2116.36,1365.92,Phone
2025-00074,2025-01-17,P006,C116,1,117.7,83.4,Phone
2025-00075,2025-12-12,P012,C144,2,2116.36,1365.92,Phone
2025-00076,2025-11-28,P009,C100,2,98.02,68.4,Phone
2025-00077,2025-12-23,P005,C178,1,1024.28,707.53,Store
2025-00078,2025-07-18,P007,C176,3,911.94,513.09,Phone
2025-00079,2025-01-28,P001,C191,3,3477.27,1719.6,Online
2025-00080,2025-11-14,P008,C058,3,2214.72,1179.66,Phone
2025-00081,2025-10-07,P012,C155,2,2116.36,1365.92,Phone
2025-00082,2025-04-10,P005,C115,2,2048.56,1415.06,Phone
2025-00083,2025-02-08,P003,C045,5,2939.7,1624.05,Online
2025-00084,2025-07-13,P001,C110,3,3477.27,1719.6,Phone
2025-00085,2025-05-16,P003,C042,5,2939.7,1624.05,Store
2025-00086,2025-01-03,P006,C120,2,235.4,166.8,Online
2025-00087,2025-03-20,P006,C153,1,117.7,83.4,Phone
2025-00088,2025-11-12,P011,C078,4,3841.72,1994.32,Phone
2025-00089,2025-10-09,P006,C019,3,353.1,250.2,Phone
2025-00090,2025-04-23,P003,C134,1,587.94,324.81,Phone
2025-00091,2025-03-23,P007,C140,5,1519.9,855.15,Store
2025-00092,2025-02-17,P006,C057,2,235.4,166.8,Phone
2025-00093,2025-06-19,P006,C093,3,353.1,250.2,Online
2025-00094,2025-11-13,P009,C122,5,245.05,171.0,Phone
2025-00095,2025-01-05,P002,C172,3,2918.16,1716.93,Store
2025-00096,2025-05-04,P011,C158,5,4802.15,2492.9,Online
2025-00097,2025-01-21,P011,C083,4,3841.72,1994.32,Online
2025-00098,2025-07-17,P005,C139,3,3072.84,2122.59,Online
2025-00099,2025-09-22,P006,C132,5,588.5,417.0,Store
2025-00100,2025-09-07,P001,C076,2,2318.18,1146.4,Store
2025-00101,2025-09-21,P002,C025,2,1945.44,1144.62,Phone
2025-00102,2025-10-01,P001,C161,1,1159.09,573.2,Online
2025-00103,2025-12-10,P011,C199,2,1920.86,997.16,Phone
2025-00104,2025-08-06,P002,C053,5,4863.6,2861.55,Phone
